basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	organismQuantity	organismQuantityType	scientificNameAuthorship	depth	superdomain	superdomainid	bibliographicCitation	datasetID	day	month	references	typeStatus	year
PreservedSpecimen	P.64324	Pycnogonida	co113	0.8961	100000	Australia	-14.666	145.466	1989-01-29	Rhynchothoracidae	POINT (145.46600 -14.66600)	Rhynchothorax	AM	Animalia	Lizard Island, south of Lizard Head Peninsula	2017-03-02T15:41:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.64324	present	Arthropoda	Rhynchothorax vallatus	urn:lsid:marinespecies.org:taxname:239457	vallatus	species	3910b7ba-f3d8-45e6-a2df-7d863e2a55fb	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	602035200000	602035200000	602035200000	1989	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothorax vallatus	2	1065	1274	1302	1358	379601	379612	22618	134596	239457	239457	Rhynchothorax vallatus	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91															
HumanObservation	25E32714-8B0E-4CE8-8640-E4AFF21D8AAF	Pycnogonida	CReefs - Lizard Island 2009	0.0018	200	Australia	-14.69264	145.46831	2009-02-27	Rhynchothoracidae	POINT (145.46831 -14.69264)	Rhynchothorax	AIMS	Animalia		2018-07-13T09:31:56	25E32714-8B0E-4CE8-8640-E4AFF21D8AAF	present	Arthropoda	Rhynchothorax vallatus	urn:lsid:marinespecies.org:taxname:239457		species	f4b2573b-7798-47c5-86a3-0a75581a1888	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	1235692800000	1235692800000	1235692800000	2009	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothorax vallatus	2	1065	1274	1302	1358	379601	379612	22618	134596	239457	239457	Rhynchothorax vallatus	[]	6.84	190	26.45	34.93	1.0	1.0	1	individuals	Child, 1990	1.0	Biota	1.0							
PreservedSpecimen	sm_id_1402	Pycnogonida	WoRMS type localities				-14.67	145.47	1989-01-29	Rhynchothoracidae		Rhynchothorax	WoRMS Editorial Board	Animalia	Coral Sea	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1402	present	Arthropoda	Rhynchothorax vallatus	urn:lsid:marinespecies.org:taxname:239457	vallatus		f7465999-39ec-41f3-aeab-b0388552951e	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	602035200000	602035200000	602035200000	1989	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothorax vallatus	2	1065	1274	1302	1358	379601	379612	22618	134596	239457	239457	Rhynchothorax vallatus	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-207.4	-696	26.45	34.93		2.0			Child, 1990	2.0	Biota	1.0	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Rhynchothorax vallatus</i> Child, 1990. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239457	https://marineinfo.org/id/dataset/5184	29	1	http://www.marinespecies.org/aphia.php?p=specdetails&id=1402	holotype	1989
