associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	datasetName	materialSampleID	occurrenceID	occurrenceStatus	ownerInstitutionCode	samplingProtocol	taxonRank	taxonRemarks	type	coordinatePrecision	occurrenceRemarks	verbatimDepth	superdomain	superdomainid	stateProvince
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228107.180325	Invertebrate Zoology: Crustacea	Belize	6	16.8033294678	-88.0749969482	observedindividualcount=3;	1980-04-06T12:00:00Z	Child, C. Allan	3.0	USNM	;; juvenile	Carrie Bow Cay	15.0	15.0	4	Alcohol (Ethanol)	G. Hendler	Anoplodactylus pectinus	Hedgpeth	urn:lsid:marinespecies.org:taxname:239619	male; female;;	North Atlantic Ocean	1980	13532b80-52a5-44fc-a5d5-d47ed41de941	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	15.0	323827200000.0	323827200000.0	323827200000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pectinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239619	239619	Anoplodactylus pectinus	[]	19	660	28.13	35.55																
	MaterialSample						25.33725	-81.3455		1995-08-30		2			Outside Florida Bay	6.0	6.0				Anoplodactylus pectinus		urn:lsid:marinespecies.org:taxname:239619				19f80945-46dd-4b61-a23b-5d4e60263cb0	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	6.0	809740800000.0	809740800000.0	809740800000.0	1995.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pectinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239619	239619	Anoplodactylus pectinus	[]	5	19231	26.19	36.2	NOAA NBI	NOAA National Benthic Inventory	FW95_37_1:113579	NOAA:NCCOS:NBI:FW95_37_1:113579	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Anoplodactylus pectinus'	Dataset						
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-050_G1	B89PII			27.3733863831	-97.3691329956			Child, C. A.		HRI		WNW  Gulf of Mexico	33.0	1.0				Anoplodactylus pectinus	Hedgpeth,	urn:lsid:marinespecies.org:taxname:239619		Gulf of Mexico		24718e85-4619-4989-b5a5-b4a5301bdfbd	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pectinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239619	239619	Anoplodactylus pectinus	['ON_LAND']	2	-4875	24.07	34.01											260010.0	Database description and disclaimer at: http://gulfbase.org/	1-33	Biota	1.0	
	MaterialSample						25.463	-81.4443		1994-09-01		1			Outside Florida Bay	6.9	6.9				Anoplodactylus pectinus		urn:lsid:marinespecies.org:taxname:239619				247c50db-4dc2-4134-91cd-2fadae7ece7b	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	6.9	778377600000.0	778377600000.0	778377600000.0	1994.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pectinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239619	239619	Anoplodactylus pectinus	[]	6	24041	26.15	36.21	NOAA NBI	NOAA National Benthic Inventory	FW94_42_3:104683	NOAA:NCCOS:NBI:FW94_42_3:104683	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Anoplodactylus pectinus'	Dataset						
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228585.180747	Invertebrate Zoology: Crustacea	Philippines	6	20.4027805328	121.963890076	observedindividualcount=1;	1985-06-06T12:00:00Z	Child, C. Allan	1.0	USNM		Batan Islands, Batan Island, Mananioy Bay, At Rock Pinnacle	1.5		6	Alcohol (Ethanol)	C. Child	Anoplodactylus pectinus	Hedgpeth	urn:lsid:marinespecies.org:taxname:239619	male	North Pacific Ocean	1985	2d2febf7-58a4-47d9-ac79-2b28b4dfcaf7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	486864000000.0	486864000000.0	486864000000.0	1985.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pectinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239619	239619	Anoplodactylus pectinus	[]	-20	172	27.76	34.37																Batanes
	MaterialSample						25.154	-81.4112		1994-09-07		1			Outside Florida Bay	7.8	7.8				Anoplodactylus pectinus		urn:lsid:marinespecies.org:taxname:239619				4e3652f3-6128-4754-88e8-dc8c69968423	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	7.8	778896000000.0	778896000000.0	778896000000.0	1994.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pectinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239619	239619	Anoplodactylus pectinus	[]	6	25298	26.32	36.17	NOAA NBI	NOAA National Benthic Inventory	FW94_31_1:100204	NOAA:NCCOS:NBI:FW94_31_1:100204	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Anoplodactylus pectinus'	Dataset						
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-050_H2	B89PII			29.0193500519	-92.6140518188			Child, C. A.		HRI		NNW  Gulf of Mexico	33.0	1.0				Anoplodactylus pectinus	Hedgpeth,	urn:lsid:marinespecies.org:taxname:239619		Gulf of Mexico		57b86c70-9dfd-4eda-9fe2-aca21e01b4d1	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pectinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239619	239619	Anoplodactylus pectinus	[]	25	61797	24.1	32.48											277700.0	Database description and disclaimer at: http://gulfbase.org/	1-33	Biota	1.0	
	MaterialSample						25.463	-81.4443		1994-09-01		8			Outside Florida Bay	6.9	6.9				Anoplodactylus pectinus		urn:lsid:marinespecies.org:taxname:239619				5ad36563-146f-44ee-aefb-2bafaf14e42b	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	6.9	778377600000.0	778377600000.0	778377600000.0	1994.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pectinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239619	239619	Anoplodactylus pectinus	[]	6	24041	26.15	36.21	NOAA NBI	NOAA National Benthic Inventory	FW94_42_1:104281	NOAA:NCCOS:NBI:FW94_42_1:104281	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Anoplodactylus pectinus'	Dataset						
	MaterialSample						25.17732	-81.2329		1995-09-11		1			Outside Florida Bay	4.7	4.7				Anoplodactylus pectinus		urn:lsid:marinespecies.org:taxname:239619				6f178e19-b81e-4b35-a8f6-5841656fbb03	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	4.7	810777600000.0	810777600000.0	810777600000.0	1995.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pectinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239619	239619	Anoplodactylus pectinus	[]	2	7908	26.4	36.19	NOAA NBI	NOAA National Benthic Inventory	FW95_32_2:112185	NOAA:NCCOS:NBI:FW95_32_2:112185	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Anoplodactylus pectinus'	Dataset						
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-050_H1	B89PII			29.7485084534	-93.0898971558			Child, C. A.		HRI		NNW  Gulf of Mexico	33.0	1.0				Anoplodactylus pectinus	Hedgpeth,	urn:lsid:marinespecies.org:taxname:239619		Gulf of Mexico		6fc0ea57-15ad-494d-8722-ca69226efda3	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus pectinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239619	239619	Anoplodactylus pectinus	[]	-1	119	23.45	29.07											302390.0	Database description and disclaimer at: http://gulfbase.org/	1-33	Biota	1.0	
