basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	individualCount	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	identifiedBy	lifeStage	month	preparations	scientificNameAuthorship	stateProvince	waterBody	year	coordinatePrecision	datasetID	superdomain	superdomainid
PreservedSpecimen	J48823	Pycnogonida	co119	1000	-38.3267	149.405	1986-07-23	Pycnogonidae	POINT (149.40500 -38.32670)	Pycnogonum	1	NMV	Animalia	South of Point Hicks	951.0	930.0	2017-02-10T11:36:12	J48823	present	1	individuals	Arthropoda	Pycnogonum occa	urn:lsid:marinespecies.org:taxname:239580	Unknown	occa	species	2178e81d-aae9-4437-b348-76568a3076f8	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	940.5	522460800000.0	522460800000.0	522460800000.0	1986.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum occa	2	1065	1274	1302	1358	379601	379611	1567	134595	239580	239580	Pycnogonum occa	[]	850	58422	17.42	35.58																	
PreservedSpecimen	228613.180776	Pycnogonida	Invertebrate Zoology: Crustacea		13.4670000076	123.77166748	1909-06-04T12:00:00Z	Pycnogonidae		Pycnogonum	1.0	USNM	Animalia	Luzon Island, San Miguel Point, 3.5 NE Of San Miguel Point	567.0	567.0						Arthropoda	Pycnogonum occa	urn:lsid:marinespecies.org:taxname:239580				3bc30539-265a-481f-9839-9c21214271dc	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	567.0	-1911686400000.0	-1911686400000.0	-1911686400000.0	1909.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum occa	2	1065	1274	1302	1358	379601	379611	1567	134595	239580	239580	Pycnogonum occa	['DEPTH_EXCEEDS_BATH']	372	6666	28.64	33.81	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Philippines	4	observedindividualcount=1;	Child, C. Allan	juvenile	6	Alcohol (Ethanol)	Loman	Camarines Sur	North Pacific Ocean	1909				
PreservedSpecimen	P.44174	Pycnogonida	co113	1000	-37.32332	150.18833	1994-09-01	Pycnogonidae	POINT (150.18833 -37.32332)	Pycnogonum		AM	Animalia	east of Disaster Bay			2017-03-02T16:16:00	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44174	present			Arthropoda	Pycnogonum occa	urn:lsid:marinespecies.org:taxname:239580	Female	occa	species	5a170d82-ae0c-4d8c-99ff-59a07bf58083	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		778377600000.0	778377600000.0	778377600000.0	1994.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum occa	2	1065	1274	1302	1358	379601	379611	1567	134595	239580	239580	Pycnogonum occa	['NO_DEPTH']	111	13771	18.19	35.58														0.009			
PreservedSpecimen	P.75262	Pycnogonida	co113	10000	-32.82166	152.81832	1982-10-09	Pycnogonidae	POINT (152.81832 -32.82166)	Pycnogonum		AM	Animalia	east of Newcastle			2017-03-02T13:03:03	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.75262	present			Arthropoda	Pycnogonum occa	urn:lsid:marinespecies.org:taxname:239580	Female	occa	species	a46a8c79-942b-472a-8fd1-ce59496602be	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		402969600000.0	402969600000.0	402969600000.0	1982.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum occa	2	1065	1274	1302	1358	379601	379611	1567	134595	239580	239580	Pycnogonum occa	['NO_DEPTH']	1045	46213	22.01	35.54														0.0896			
Occurrence	21716	Pycnogonida	NewCaledonia		-18.8500003814697	163.399993896484		Pycnogonidae		Pycnogonum		IRD-MNHN	Animalia	Bathus 4, DW923	502.0	470.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21716:0xFB07900001000200	present			Arthropoda	Pycnogonum occa	urn:lsid:marinespecies.org:taxname:239580				b905f454-715d-42ae-a2ce-d62ec3f80490	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	486.0					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum occa	2	1065	1274	1302	1358	379601	379611	1567	134595	239580	239580	Pycnogonum occa	['DEPTH_EXCEEDS_BATH']	91	52217	26.38	34.98		Stock JH (1997).	Nouvelle Caledonie												https://marineinfo.org/id/dataset/3128	Biota	1.0
PreservedSpecimen	J48813	Pycnogonida	co119	1000	-38.3267	149.405	1986-07-23	Pycnogonidae	POINT (149.40500 -38.32670)	Pycnogonum	1	NMV	Animalia	South of Point Hicks	951.0	930.0	2017-02-10T11:36:11	J48813	present	1	individuals	Arthropoda	Pycnogonum occa	urn:lsid:marinespecies.org:taxname:239580	Unknown	occa	species	bed43582-d5ed-48ae-a281-747985b5bb78	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	940.5	522460800000.0	522460800000.0	522460800000.0	1986.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum occa	2	1065	1274	1302	1358	379601	379611	1567	134595	239580	239580	Pycnogonum occa	[]	850	58422	17.42	35.58																	
