basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceRemarks	scientificName	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	identifiedBy	individualCount	preparations	recordedBy	scientificNameAuthorship	continent	datasetID	datasetName	eventID	eventTime	footprintWKT	modified	occurrenceID	occurrenceStatus	samplingProtocol	superdomain	superdomainid	coordinatePrecision	institutionID	language	license	rightsHolder	specificEpithet	type
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	68040500720114W41201040110	BENTHIC HABITAT STUDY	United States	15	42.3670005798	-65.9169998169	observedweight=1;observedindividualcount=10;	1968-08-15T12:00:00Z	68040500720114	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum008	192.0	192.0	8	Gear Type: 1-METER NAT. DREDGE	Nymphon stroemi	urn:lsid:marinespecies.org:taxname:134711	North Atlantic Ocean	1968	008ede72-289b-4f4e-bdb3-5c39da5a9551	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	192.0	-43545600000.0	-43545600000.0	-43545600000.0	1968.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon stroemi	2	1065	1274	1302	1358	379601	379609	1566	134591	134711	134711	Nymphon stroemi	[]	217.0	113732	9.97	31.66																									
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1036899.831403	Invertebrate Zoology		28	43.8330001831	-67.0	temperature=5.6;observedindividualcount=4;	1961-06-28T04:00:00Z		USNM		183.0	183.0	6		Nymphon stroemi	urn:lsid:marinespecies.org:taxname:134711	North Atlantic Ocean	1961	0349d877-280d-4b1d-93ed-bb4d52d28800	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	183.0	-268617600000.0	-268617600000.0	-268617600000.0	1961.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon stroemi	2	1065	1274	1302	1358	379601	379609	1566	134591	134711	134711	Nymphon stroemi	[]	170.0	64204	9.34	31.6	National Museum of Natural History, Smithsonian Institution	United States National Marine Fisheries Service	4.0	Alcohol (Ethanol)	United States National Marine Fisheries Service	Kroyer																			
Occurrence		218310006001040	IMRMarbunnBenthos		21	64.280478	8.409652		2020-04-21T20:08:00+00:00/2020-04-21T20:13:00+00:00	catchId: 40	IMR	MAREANO Reference Station: 2183	357.49	354.32	4		Nymphon stroemi	urn:lsid:marinespecies.org:taxname:134711		2020	03c3e3a9-cc45-4d94-88ad-3a4933ee8a51	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	355.905	1587427200000.0	1587427200000.0	1587427200000.0	2020.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon stroemi	2	1065	1274	1302	1358	379601	379609	1566	134591	134711	134711	Nymphon stroemi	[]	359.2	36518	9.61	34.19						Krøyer, 1844	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2020104 Sample: 6	20:08:00+00:00/20:13:00+00:00	LINESTRING(8.409652 64.280478,8.413417 64.281807)	2024-05-23 10:35:05	218310006001040	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0							
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1064806.859310	Invertebrate Zoology		16	42.9500007629	-65.5830001831	observedindividualcount=1;	1968-08-17T00:00:00Z		USNM		119.0	119.0	8		Nymphon stroemi	urn:lsid:marinespecies.org:taxname:134711	North Atlantic Ocean	1968	04527bd6-cc61-4a7a-bfef-d23920256280	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	119.0	-43372800000.0	-43372800000.0	-43372800000.0	1968.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon stroemi	2	1065	1274	1302	1358	379601	379609	1566	134591	134711	134711	Nymphon stroemi	[]	122.0	48994	9.09	30.93	National Museum of Natural History, Smithsonian Institution	United States National Marine Fisheries Service	1.0	Alcohol (Ethanol)	United States National Marine Fisheries Service	Kroyer																			
PreservedSpecimen		8957748	ARC			48.150002	-61.0			H158	The Atlantic reference Centre	unspecified					Nymphon stroemi	urn:lsid:marinespecies.org:taxname:134711			04ef08fb-390f-4694-9159-49598f247496	ce1d93f3-8b0f-4ee7-9a4d-0393a6ec7fea	['7dfb2d90-9317-434d-8d4e-64adf324579a']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon stroemi	2	1065	1274	1302	1358	379601	379609	1566	134591	134711	134711	Nymphon stromi	['NO_DEPTH']	393.0	35724	6.84	29.38						Krøyer, 1844		ARC	Atlantic Reference Centre				20/06/2001	ARC_8957748					0.01667	ARC	En	http://creativecommons.org/licenses/by/4.0/legalcode	The Huntsman Marine Science Centre and Fisheries & Oceans Canada	stromi	Collection
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1039920.834424	Invertebrate Zoology		19	41.6500015259	-69.3499984741	observedindividualcount=1;	1962-10-19T10:00:00Z		USNM		176.0	176.0	10		Nymphon stroemi	urn:lsid:marinespecies.org:taxname:134711	North Atlantic Ocean	1962	08d21425-81fb-463c-b5b3-3d57cdc920ee	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	176.0	-227318400000.0	-227318400000.0	-227318400000.0	1962.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon stroemi	2	1065	1274	1302	1358	379601	379609	1566	134591	134711	134711	Nymphon stroemi	[]	176.0	48499	11.71	32.06	National Museum of Natural History, Smithsonian Institution	United States National Marine Fisheries Service	1.0	Alcohol (Ethanol)	United States National Marine Fisheries Service	Kroyer																			
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	66040100470119W41201040110	NMFS NEFSC BOTTOM TRAWL SURVEY	United States	26	44.6669998169	-66.5	observedweight=0.11;observedindividualcount=1;	1966-01-26T12:00:00Z	66040100470119	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum003	192.0	192.0	1	Gear Type: OTTER TRAWL	Nymphon stroemi	urn:lsid:marinespecies.org:taxname:134711	North Atlantic Ocean	1966	0983c035-8380-4684-ba40-35a5ce171413	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	192.0	-124070400000.0	-124070400000.0	-124070400000.0	1966.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon stroemi	2	1065	1274	1302	1358	379601	379609	1566	134591	134711	134711	Nymphon stroemi	[]	187.0	14891	8.73	30.33																									
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1035841.830345	Invertebrate Zoology		23	43.1500015259	-70.0	temperature=2.9;observedindividualcount=1;	1961-06-23T16:00:00Z		USNM		121.0	121.0	6		Nymphon stroemi	urn:lsid:marinespecies.org:taxname:134711	North Atlantic Ocean	1961	0a61d846-349e-47d4-8c8d-92a6ec8e7e6a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	121.0	-269049600000.0	-269049600000.0	-269049600000.0	1961.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon stroemi	2	1065	1274	1302	1358	379601	379609	1566	134591	134711	134711	Nymphon stroemi	[]	97.0	38538	11.14	31.59	National Museum of Natural History, Smithsonian Institution	United States National Marine Fisheries Service	1.0	Alcohol (Ethanol)	United States National Marine Fisheries Service	Kroyer																			
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	61020200180114W41201040110	BENTHIC HABITAT STUDY	United States	22	43.0	-66.75	observedweight=0;observedindividualcount=7;	1961-06-22T12:00:00Z	61020200180114	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum005	212.0	212.0	6	Gear Type: 1-METER NAT. DREDGE	Nymphon stroemi	urn:lsid:marinespecies.org:taxname:134711	North Atlantic Ocean	1961	0b837393-4fb8-407e-a2a7-a9cde16cbae3	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	212.0	-269136000000.0	-269136000000.0	-269136000000.0	1961.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon stroemi	2	1065	1274	1302	1358	379601	379609	1566	134591	134711	134711	Nymphon stroemi	[]	178.0	72827	9.52	31.51																									
Occurrence		075410396006023	IMRMarbunnBenthos		22	67.803752	9.686782		2011-09-22T12:35:00+00:00/2011-09-22T12:40:00+00:00	catchId: 23	IMR	MAREANO Reference Station: 754	820.84	807.25	9		Nymphon stroemi	urn:lsid:marinespecies.org:taxname:134711		2011	0bc946b6-0fe0-4473-a710-931715c7d477	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	814.0450000000001	1316649600000.0	1316649600000.0	1316649600000.0	2011.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon stroemi	2	1065	1274	1302	1358	379601	379609	1566	134591	134711	134711	Nymphon stroemi	[]	823.0	98972	8.85	34.89						Krøyer, 1844	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2011113 Sample: 396	12:35:00+00:00/12:40:00+00:00	LINESTRING(9.686782 67.803752,9.692313 67.803175)	2024-05-23 10:35:05	075410396006023	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Biota	1.0							
