associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	typeStatus	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228597.180759	Invertebrate Zoology: Crustacea	Philippines	23	11.0	120.94833374	observedindividualcount=1;	1978-05-23T12:00:00Z	Child, C. Allan	1.0	USNM	Cuyo Islands, Canipo Island, N Side	3	2.0	5	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Anoplodactylus tarsalis	Stock	urn:lsid:marinespecies.org:taxname:239526	male	Palawan	North Pacific Ocean	1978	1c7e30bb-0495-4385-95a8-44a438946cad	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.5	264729600000	264729600000	264729600000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tarsalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239526	239526	Anoplodactylus tarsalis	[]	-39	181	28.58	32.41									
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus tarsalis</i> Stock, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239526	sm_id_1670	WoRMS type localities		4	7.67	117.0		1957-03-04			WoRMS Editorial Board	Sulu Sea	2	0.300000011920929	3			Anoplodactylus tarsalis	Stock, 1968	urn:lsid:marinespecies.org:taxname:239526				1957	cbb8c1e8-8216-4712-b681-9938746821c0	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1.1500000059604645	-404870400000	-404870400000	-404870400000	1957	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus tarsalis	2	1065	1274	1302	1358	379601	379610	14469	134592	239526	239526	Anoplodactylus tarsalis	[]	163	14967	28.96	32.14	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1670	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1670	tarsalis	holotype	Biota	1.0
