basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	kingdom	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	recordNumber	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	superfamily	subfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	eventID	individualCount	occurrenceRemarks	sampleSizeUnit	associatedReferences	day	dynamicProperties	month	preparations	stateProvince	typeStatus	waterBody	year	dateIdentified	datasetID	locality	references	specificEpithet	lifeStage
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04820	Pycnogonida	MIIC	200	-35.5399	132.676	2015-12-09 00:00	Colossendeidae	IN2015_C02-155	POINT (132.67600 -35.53990)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	1942.4	1942.4	2023-07-11T05:57:35	urn:csiro:MIIC:MIIC-04820	present	1	individuals	Arthropoda	IN2015_C02_155_101	Karen Gowlett-Holmes	Colossendeis spicula	Child, 1994	urn:lsid:marinespecies.org:taxname:240117	species	45a57fc2-4cac-495c-82f7-e2e96fdce009	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	1942.4	1449619200000.0	1449619200000.0	1449619200000.0	2015.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis spicula	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240117	240117	Colossendeis spicula Child, 1994	[]	2063	202240	16.97	35.53																				
HumanObservation		IN2015_C02_207_114	Pycnogonida	GAB-RP	100	-35.05125	131.0775		Colossendeidae	IN2015_C02:207	LINE (131.0770  -35.0352, 131.0780  -35.0673)	Colossendeis		D.A. Staples	CSIRO	Animalia	2071.0	1957.0	2022-08-29T02:41:47	CS-IN2015_C02-207-2549258-33014022-50	present	1	individuals	Arthropoda			Colossendeis spicula	Child, 1994	urn:lsid:marinespecies.org:taxname:240117		4ca30b0e-2369-458f-85a7-67205c937592	27f7853d-48c4-4365-8b0b-158d8fffb7c7	['2a57cd59-6799-4579-955e-27c9af97aea4']	2014.0					False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis spicula	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240117	240117	Colossendeis spicula	[]	2000	312128	17.13	35.51	Australia	IN2015_C02:207	1	Occurrence Type: Catch specimen	IN2015_C02															
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234643.186384	Pycnogonida	Invertebrate Zoology: Crustacea		44.625	-125.675003052	1970-03-16T12:00:00Z	Colossendeidae			Colossendeis		Bowman, Thomas E.	USNM	Animalia	2816.0	2816.0						Arthropoda			Colossendeis spicula	Child	urn:lsid:marinespecies.org:taxname:240117		56b4f3fd-4d0c-49f7-8bcb-294c31e0055a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2816.0	6393600000.0	6393600000.0	6393600000.0	1970.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis spicula		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240117	240117	Colossendeis spicula	[]	2874	125947	12.71	31.27	United States		1.0			National Museum of Natural History, Smithsonian Institution	16	observedindividualcount=1;	3	Alcohol (Ethanol)	Oregon	Holotype	North Pacific Ocean	1970						
HumanObservation		IN2015_C01_001_120_2	Pycnogonida	GAB-RP	100	-34.2956	131.383	2015-10-23T00:28:41Z	Colossendeidae	IN2015_C01:1	POINT (131.3830  -34.2956)	Colossendeis		D.A. Staples	CSIRO	Animalia	2806.0	2806.0	2022-08-29T02:39:12	CS-IN2015_C01-1-2549172-33014022-30	present	2	individuals	Arthropoda			Colossendeis spicula	Child, 1994	urn:lsid:marinespecies.org:taxname:240117		86e2566b-82ea-43a4-8d03-cde2e79a9b5e	27f7853d-48c4-4365-8b0b-158d8fffb7c7	['2a57cd59-6799-4579-955e-27c9af97aea4']	2806.0	1445558400000.0	1445558400000.0	1445558400000.0	2015.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis spicula	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240117	240117	Colossendeis spicula	['DEPTH_EXCEEDS_BATH']	1366	244640	17.65	35.63	Australia	IN2015_C01:1	2	Occurrence Type: Catch specimen	IN2015_C01										07/JAN/16					
HumanObservation		IN2015_C01_080_110_2	Pycnogonida	GAB-RP	100	-34.41425	130.031	2015-11-17T02:55:21Z	Colossendeidae	IN2015_C01:80	LINE (130.0240  -34.4078, 130.0380  -34.4207)	Colossendeis		D.A. Staples	CSIRO	Animalia	2117.0	2112.0	2022-08-29T02:39:55	CS-IN2015_C01-80-2549217-33014022-30	present	12	individuals	Arthropoda			Colossendeis spicula	Child, 1994	urn:lsid:marinespecies.org:taxname:240117		89a45241-71a4-47f4-9740-b1ea1031e275	27f7853d-48c4-4365-8b0b-158d8fffb7c7	['2a57cd59-6799-4579-955e-27c9af97aea4']	2114.5	1447718400000.0	1447718400000.0	1447718400000.0	2015.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis spicula	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240117	240117	Colossendeis spicula	[]	2203	312488	17.54	35.59	Australia	IN2015_C01:80	12	Occurrence Type: Catch specimen	IN2015_C01										07/JAN/16					
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04821	Pycnogonida	MIIC	200	-39.469	149.2195		Colossendeidae	IN2017_V03-022	POINT (149.21950 -39.46900)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	2750.0	2750.0	2023-07-11T05:57:35	urn:csiro:MIIC:MIIC-04821	present	1	individuals	Arthropoda	IN2017_V03_022_131	Karen Gowlett-Holmes	Colossendeis spicula	Child, 1994	urn:lsid:marinespecies.org:taxname:240117	species	8b455a05-6f7e-4139-a68e-29711fd2ddc9	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	2750.0					False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis spicula	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240117	240117	Colossendeis spicula Child, 1994	[]	2480	90501	17.14	35.57																				
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Colossendeis spicula</i> Child, 1994. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240117	sm_id_1871	Pycnogonida	WoRMS type localities		44.63	-125.68	1970-03-16	Colossendeidae			Colossendeis			WoRMS Editorial Board	Animalia		2816.0	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1871	present			Arthropoda			Colossendeis spicula	Child, 1994	urn:lsid:marinespecies.org:taxname:240117		96aaf4a0-f6d2-4b6a-8bc0-71b6bf8685ad	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2816.0	6393600000.0	6393600000.0	6393600000.0	1970.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis spicula	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240117	240117	Colossendeis spicula	[]	2873	126397	12.71	31.27							16		3			holotype		1970		https://marineinfo.org/id/dataset/5184	Pacific Ocean	http://www.marinespecies.org/aphia.php?p=specdetails&id=1871	spicula	
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04822	Pycnogonida	MIIC	200	-39.469	149.2195		Colossendeidae	IN2017_V03-022	POINT (149.21950 -39.46900)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	2750.0	2750.0	2023-07-11T05:57:35	urn:csiro:MIIC:MIIC-04822	present	1	individuals	Arthropoda	IN2017_V03_022_131	Karen Gowlett-Holmes	Colossendeis spicula	Child, 1994	urn:lsid:marinespecies.org:taxname:240117	species	a8a85af7-abb3-45ae-8268-2e6d3c30bdf1	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	2750.0					False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis spicula	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240117	240117	Colossendeis spicula Child, 1994	[]	2480	90501	17.14	35.57																				
HumanObservation		IN2015_C02_155_5	Pycnogonida	GAB-RP	100	-35.52775	132.6765	2015-12-06T16:34:00Z	Colossendeidae	IN2015_C02:155	LINE (132.6760  -35.5399, 132.6770  -35.5156)	Colossendeis		D.A. Staples	CSIRO	Animalia	1942.0	1926.0	2022-08-29T02:41:13	CS-IN2015_C02-155-2549401-33014022-16	present	2	individuals	Arthropoda			Colossendeis spicula	Child, 1994	urn:lsid:marinespecies.org:taxname:240117		abc49858-6e0a-41ba-b0b2-b18c720f49cf	27f7853d-48c4-4365-8b0b-158d8fffb7c7	['2a57cd59-6799-4579-955e-27c9af97aea4']	1934.0	1449360000000.0	1449360000000.0	1449360000000.0	2015.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis spicula	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240117	240117	Colossendeis spicula	[]	2027	201674	16.97	35.53	Australia	IN2015_C02:155	2	Occurrence Type: Catch specimen	IN2015_C02										01/SEP/16					
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234644.186385	Pycnogonida	Invertebrate Zoology: Crustacea		44.6650009155	-124.806671143	1971-02-20T12:00:00Z	Colossendeidae			Colossendeis		Bowman, Thomas E.	USNM	Animalia	2832.0	2832.0						Arthropoda			Colossendeis spicula	Child	urn:lsid:marinespecies.org:taxname:240117		ad35326b-9ead-4c6e-ba20-94cfae6872c9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2832.0	35856000000.0	35856000000.0	35856000000.0	1971.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis spicula		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	240117	240117	Colossendeis spicula	['DEPTH_EXCEEDS_BATH']	375	57414	12.17	30.45	United States		1.0			National Museum of Natural History, Smithsonian Institution	20	observedindividualcount=1;	2	Alcohol (Ethanol)	Oregon	Paratype	North Pacific Ocean	1971						juvenile
