basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	maximumDepthInMeters	minimumDepthInMeters	month	references	scientificNameAuthorship	typeStatus	year	depth	superdomain	superdomainid
PreservedSpecimen	P.44170	Pycnogonida	co113	0.009	1000	-38.03166	149.216	1994-08-29	Callipallenidae	POINT (149.21600 -38.03166)	Pallenella	AM	Animalia	south of Point Hicks	2017-03-02T16:15:59	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44170	present	Arthropoda	Pallenella inflata	urn:lsid:marinespecies.org:taxname:851546	Female	inflata	species	21eac9eb-f8ef-4fa7-b8af-18eb8c87fbef	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	778118400000	778118400000	778118400000	1994	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella inflata	2	1065	1274	1302	1358	379601	379609	1564	236291	1509514	1509514	Meridionale inflata	['NO_DEPTH']	117	25537	16.89	35.58													
PreservedSpecimen	sm_id_2200	Pycnogonida	WoRMS type localities			-35.37	136.85	2004-02-06	Callipallenidae		Pallenella	WoRMS Editorial Board	Animalia	Indian Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2200	present	Arthropoda	Pallenella inflata	urn:lsid:marinespecies.org:taxname:239958		inflata		45062054-f763-41ef-8343-850a2585e58f	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1076025600000	1076025600000	1076025600000	2004	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella inflata	2	1065	1274	1302	1358	379601	379609	1564	236291	1509514	1509514	Pseudopallene inflata	[]	-14	119	17.23	36.0	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pseudopallene inflata</i> Staples, 2005. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239958	https://marineinfo.org/id/dataset/5184	6	23.0	3.0	2	http://www.marinespecies.org/aphia.php?p=specdetails&id=2200	Staples, 2005	holotype	2004	13.0	Biota	1.0
