basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	continent	country	datasetName	locationID	modified	recordedBy	sex
PreservedSpecimen	JR275_1344.2_02	Pycnogonida	73	AQ	29	-74.706	-29.5074	2012-02-29	JR275	Pallenopsidae	JR275_91	LINESTRING (-29.50822 -74.70666, -29.50656 -74.70542)	Pallenopsis	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	410.0	401.67	2	JR275_1344.2_02	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Pallenopsis patagonica	(Hoek, 1881)	urn:lsid:marinespecies.org:taxname:240108	patagonica	species	PhysicalObject	29/02/2012	2012	0141313e-4a6f-4c63-a419-a35e35e7f769	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	405.83500000000004	1330473600000.0	1330473600000.0	1330473600000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis patagonica	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	240108	240108	Pallenopsis patagonica	[]	409	108404	-1.73	33.98								
PreservedSpecimen	9299	Pycnogonida	500		19	-72.3048	170.2708	19/01/1965		Pallenopsidae		POINT (170.2708 -72.3048)	Pallenopsis	WGS84			NIWA Invertebrate Collection		Animalia	en	37.0	37.0	1	5ed15d58-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda			Arthropoda	Specimen(s), None = 1	Dredge, cone mesh with bag	Pallenopsis patagonica	(Hoek, 1881)	urn:lsid:marinespecies.org:taxname:240108	patagonica				1965	02317d39-d5e7-4498-9622-cd46136b9528	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	37.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis patagonica		2	1065	1274	1302	1358	379601	379609	236317	134593	240108	240108	Pallenopsis patagonica	[]	55	1028	-1.72	33.53	NIWA	Antarctica	Ross Dependency	NIWA Invertebrate Collection	E182	8/04/2022	NZOI	female
PreservedSpecimen	JR275_907.3	Pycnogonida	73	AQ	23	-75.2689	-31.1658	2012-02-23	JR275	Pallenopsidae	JR275_60	LINESTRING (-31.16355 -75.26856, -31.168 -75.26921)	Pallenopsis	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	616.52	614.3	2	JR275_907.3	Present	Pantopoda	2	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Pallenopsis patagonica	(Hoek, 1881)	urn:lsid:marinespecies.org:taxname:240108	patagonica	species	PhysicalObject	23/02/2012	2012	0291cd13-49db-4ddf-8e66-64bfcc6bf8c4	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	615.41	1329955200000.0	1329955200000.0	1329955200000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis patagonica	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	240108	240108	Pallenopsis patagonica	[]	619	103465	-1.76	34.14								
HumanObservation	38446	Pycnogonida				-66.5516967773	93.0			Pallenopsidae			Pallenopsis				BAS		Animalia		20.0	10.0				Pantopoda			Arthropoda			Pallenopsis patagonica		urn:lsid:marinespecies.org:taxname:240108						02ba8888-3116-4c6b-bb72-e10f6f058fd0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	15.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis patagonica		2	1065	1274	1302	1358	379601	379609	236317	134593	240108	240108	Pallenopsis patagonica	[]	293	286	-1.56	33.71	SOMBASE Pycnogonids							
HumanObservation	24385	Pycnogonida				-77.6166000366	166.333297729			Pallenopsidae			Pallenopsis				BAS		Animalia		169.0	169.0				Pantopoda			Arthropoda			Pallenopsis patagonica		urn:lsid:marinespecies.org:taxname:240108						0350b651-d689-41f9-844b-44c172592a8d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	169.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis patagonica		2	1065	1274	1302	1358	379601	379609	236317	134593	240108	240108	Pallenopsis patagonica	['DEPTH_EXCEEDS_BATH']	-15	662	-1.68	34.3	SOMBASE Pycnogonids							
HumanObservation	24501	Pycnogonida				-54.9165992737	-64.3399963379			Pallenopsidae			Pallenopsis				BAS		Animalia		292.0	283.0				Pantopoda			Arthropoda			Pallenopsis patagonica		urn:lsid:marinespecies.org:taxname:240108						035d7f61-b909-482a-9b33-9f0fd1818bfc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	287.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis patagonica		2	1065	1274	1302	1358	379601	379609	236317	134593	240108	240108	Pallenopsis patagonica	['DEPTH_EXCEEDS_BATH']	124	7598	6.77	33.97	SOMBASE Pycnogonids							
HumanObservation	24504	Pycnogonida				-62.9449996948	-60.8265991211			Pallenopsidae			Pallenopsis				BAS		Animalia		109.0	109.0				Pantopoda			Arthropoda			Pallenopsis patagonica		urn:lsid:marinespecies.org:taxname:240108						0389e73c-d4ce-4cd6-9c56-f9e041553f73	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	109.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis patagonica		2	1065	1274	1302	1358	379601	379609	236317	134593	240108	240108	Pallenopsis patagonica	[]	138	3716	-0.44	33.89	SOMBASE Pycnogonids							
HumanObservation	37735	Pycnogonida				-69.8315963745	11.2665996552			Pallenopsidae			Pallenopsis				BAS		Animalia		180.0	160.0				Pantopoda			Arthropoda			Pallenopsis patagonica		urn:lsid:marinespecies.org:taxname:240108						03e343cf-8a44-4962-9b90-feddf93da302	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	170.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis patagonica		2	1065	1274	1302	1358	379601	379609	236317	134593	240108	240108	Pallenopsis patagonica	[]	140	12069	-1.75	33.72	SOMBASE Pycnogonids							
HumanObservation	34689	Pycnogonida				-52.8958015442	-64.625			Pallenopsidae			Pallenopsis				BAS		Animalia		205.0	191.0				Pantopoda			Arthropoda			Pallenopsis patagonica		urn:lsid:marinespecies.org:taxname:240108						04c6dbdf-75ea-47df-b0fd-ef90b3a3168d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	198.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis patagonica		2	1065	1274	1302	1358	379601	379609	236317	134593	240108	240108	Pallenopsis patagonica	[]	199	195752	6.98	33.99	SOMBASE Pycnogonids							
HumanObservation	24400	Pycnogonida				-66.3479995728	110.452697754			Pallenopsidae			Pallenopsis				BAS		Animalia		237.0	183.0				Pantopoda			Arthropoda			Pallenopsis patagonica		urn:lsid:marinespecies.org:taxname:240108						050b79d3-049c-4724-9144-dac4c54a5f3b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	210.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis patagonica		2	1065	1274	1302	1358	379601	379609	236317	134593	240108	240108	Pallenopsis patagonica	['DEPTH_EXCEEDS_BATH']	10	1058	-1.65	33.51	SOMBASE Pycnogonids							
