associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	284326.227740	Invertebrate Zoology: Crustacea	Tonga	3	-21.3041706085	-174.43888855	observedindividualcount=1;	1993-11-03T12:00:00Z	Child, C. Allan	1.0	USNM	Tongatapu Group, Eua Island, NW Shore, On Spur And Groove Reef At Cliff Base	11	11	Alcohol (Ethanol)	Pycnogonum saxulum	Child	urn:lsid:marinespecies.org:taxname:239559	female	Holotype	South Pacific Ocean	1993	19942b0b-d8ed-4299-b36a-b2ce8fd9aff1	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	11	752284800000	752284800000	752284800000	1993	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum saxulum	2	1065	1274	1302	1358	379601	379611	1567	134595	239559	239559	Pycnogonum saxulum	[]	2596	48613	25.82	35.17	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	284327.227741	Invertebrate Zoology: Crustacea	Tonga	3	-21.3041706085	-174.43888855	observedindividualcount=1;	1993-11-03T12:00:00Z	Child, C. Allan	1.0	USNM	Tongatapu Group, Eua Island, NW Shore, On Spur And Groove Reef At Cliff Base	11	11	Alcohol (Ethanol)	Pycnogonum saxulum	Child	urn:lsid:marinespecies.org:taxname:239559		Paratype	South Pacific Ocean	1993	83f5539e-c5d2-4dcb-9e3f-89670ff934cc	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	11	752284800000	752284800000	752284800000	1993	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum saxulum	2	1065	1274	1302	1358	379601	379611	1567	134595	239559	239559	Pycnogonum saxulum	[]	2596	48613	25.82	35.17	juvenile
