associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	216863.170792	Invertebrate Zoology: Crustacea	Japan	33.8533287048	135.148330688	observedindividualcount=2;	1981-02-28T12:00:00Z	Nakamura, K.	2.0	USNM	Honshu Island, Gobo	1.5	1.5	2	Alcohol (Ethanol)	Habe	Achelia japonica	(Lou)	urn:lsid:marinespecies.org:taxname:379218	male; female	Wakayama	North Pacific Ocean	1981	508f75d2-08be-4b0d-9f5b-963744fcdf63	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	352166400000	352166400000	352166400000	1981	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia japonica	2	1065	1274	1302	1358	379601	379608	1562	134568	244388	244388	Achelia echinata sinensis	[]	9	303	21.27	33.45
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	216864.170793	Invertebrate Zoology: Crustacea	Japan	33.8499984741	135.163330078	observedindividualcount=1;	1981-02-28T12:00:00Z	Nakamura, K.	1.0	USNM	Honshu Island, Gobo	1.5	1.5	2	Alcohol (Ethanol)	Habe	Achelia japonica	(Lou)	urn:lsid:marinespecies.org:taxname:379218	female	Wakayama	North Pacific Ocean	1981	896c4fbf-f8b6-43cd-b7d0-562e6376d64c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	352166400000	352166400000	352166400000	1981	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia japonica	2	1065	1274	1302	1358	379601	379608	1562	134568	244388	244388	Achelia echinata sinensis	[]	-1	128	21.27	33.45
	HumanObservation		61703.00	KOBIS	Korea, Republic of	35.6300010681	126.470001221		2007-08-16T12:00:00Z			abd0017925				8			Achelia japonica		urn:lsid:marinespecies.org:taxname:379218			Western Pacific Ocean	2007	9aa5029a-f48f-4b04-892f-6206d82ba626	790f9ddf-433c-4e47-aa6c-ccef0b8634fa	['52486ef2-e094-4e8b-af77-6d434cf30ef2']		1187222400000	1187222400000	1187222400000	2007	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia japonica	2	1065	1274	1302	1358	379601	379608	1562	134568	244388	244388	Achelia echinata sinensis	['NO_DEPTH', 'ON_LAND']	-6	-137	15.2	29.52
	HumanObservation		53060.00	KOBIS	Korea, Republic of	36.2299995422	126.080001831		2007-08-16T12:00:00Z			abd0006338				8			Achelia japonica		urn:lsid:marinespecies.org:taxname:379218			Western Pacific Ocean	2007	a80bca49-6ecd-4378-af2d-d86eb06c590f	790f9ddf-433c-4e47-aa6c-ccef0b8634fa	['52486ef2-e094-4e8b-af77-6d434cf30ef2']		1187222400000	1187222400000	1187222400000	2007	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia japonica	2	1065	1274	1302	1358	379601	379608	1562	134568	244388	244388	Achelia echinata sinensis	['NO_DEPTH', 'ON_LAND']	-20	-188	14.58	30.2
