basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	identifiedByID	institutionID	language	month	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonRank	type	verbatimEventDate	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	bibliographicCitation	continent	datasetID	locality	modified	recordedBy
HumanObservation	34634	SOMBASE Pycnogonids	-64.4000015259	-62.8499984741	BAS	160.0	160	Nymphon biarticulatum	urn:lsid:marinespecies.org:taxname:173374	0aa1573b-7cae-4fca-a8a7-a8207135c64c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	160.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon biarticulatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173374	173374	Nymphon biarticulatum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-127	-287	-0.42	33.63																																					
HumanObservation	37434	SOMBASE Pycnogonids	-67.6832962036	45.75	BAS	240.0	159	Nymphon biarticulatum	urn:lsid:marinespecies.org:taxname:173374	0bb4112b-2490-44ff-9e0c-79de52a767eb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	199.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon biarticulatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173374	173374	Nymphon biarticulatum	['DEPTH_EXCEEDS_BATH']	24	1190	-1.77	33.61																																					
HumanObservation	22893	SOMBASE Pycnogonids	-77.6666030884	-35.5	BAS	608.0	608	Nymphon biarticulatum	urn:lsid:marinespecies.org:taxname:173374	102e167d-c777-42f0-9598-0afff290a979	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	608.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon biarticulatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173374	173374	Nymphon biarticulatum	['DEPTH_EXCEEDS_BATH']	444	11345	-1.76	34.08																																					
HumanObservation	39357	SOMBASE Pycnogonids	-73.5999984741	-22.3166007996	BAS	620.0	620	Nymphon biarticulatum	urn:lsid:marinespecies.org:taxname:173374	13f34818-c2bf-4666-9216-d3088a7af107	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	620.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon biarticulatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173374	173374	Nymphon biarticulatum	[]	681	45340	-1.67	33.87																																					
PreservedSpecimen	JR17003a_0332-11a		-63.8083	-58.0679	BAS	870.0	844	Nymphon biarticulatum	urn:lsid:marinespecies.org:taxname:173374	14a372f2-1d9d-4ef9-b478-e2964e8043e9	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	857.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon biarticulatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173374	173374	Nymphon biarticulatum	[]	844	3550	-1.41	33.39	286	AQ	6	2018-03-06	JR17003a	JR17003a_046	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR17003a_0332-11a	Present	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	(Hodgson, 1907)	biarticulatum	species	PhysicalObject	6/3/2018	2018	1520294400000.0	1520294400000.0	1520294400000.0	2018.0	Biota	1.0						
HumanObservation	39568	SOMBASE Pycnogonids	-73.9804000854	-107.407997131	BAS	544.0	535	Nymphon biarticulatum	urn:lsid:marinespecies.org:taxname:173374	14e586a5-0d1d-4cfc-8594-a0114d1c5d65	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	539.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon biarticulatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173374	173374	Nymphon biarticulatum	[]	528	65959	-1.58	32.88																																					
HumanObservation	34633	SOMBASE Pycnogonids	-60.7167015076	-45.5999984741	BAS	344.0	244	Nymphon biarticulatum	urn:lsid:marinespecies.org:taxname:173374	167e5928-932e-412d-a44c-3e47c79a3a25	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	294.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon biarticulatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173374	173374	Nymphon biarticulatum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	13	-109	-0.96	33.79																																					
humanobservation	290	OC - Pycnogonida	-62.15217	-58.4466	University of Lodz		265	Nymphon biarticulatum	urn:lsid:marinespecies.org:taxname:173374	16a201e3-a610-466f-a087-c75eaa9dd1af	f1e773cb-e896-45b0-8a1e-faded8facb33	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	265.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon biarticulatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173374	173374	Nymphon biarticulatum	[]	241	950	-0.5	34.04			1	1980-03-01					Bamber Roger				3	urn:catalog:University of Lodz:OC - Pycnogonida:290_0052						(Hodgson, 1907)					1980	320716800000.0	320716800000.0	320716800000.0	1980.0			Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)	Antarctica	IMIS:dasid:1649	Admiralty Bay	2008-05-05	Presler Piotr, Sicinski Jacek
PreservedSpecimen	JR17003a_0085_6_EBS_E_35		-64.0483	-58.4648	BAS	787.0	727	Nymphon biarticulatum	urn:lsid:marinespecies.org:taxname:173374	1eec1277-ea70-4468-8981-dffbbfeb80b0	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	757.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon biarticulatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173374	173374	Nymphon biarticulatum	[]	815	1821	-1.52	32.67	305	AQ	5	2018-03-05	JR17003a	JR17003a_035	LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR17003a_0085_6_EBS_E_35	Present	1	individuals	Whole animal in 96% ethanol	epibenthic sledge|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	(Hodgson, 1907)	biarticulatum	species	PhysicalObject	5/3/2018	2018	1520208000000.0	1520208000000.0	1520208000000.0	2018.0	Biota	1.0						
HumanObservation	39354	SOMBASE Pycnogonids	-71.5333023071	-13.7166004181	BAS	362.0	354	Nymphon biarticulatum	urn:lsid:marinespecies.org:taxname:173374	1f400f7e-9e78-4842-a995-818a639fde78	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	358.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon biarticulatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173374	173374	Nymphon biarticulatum	[]	344	46474	-1.76	33.84																																					
