basisOfRecord	catalogNumber	class	collectionCode	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	genus	identificationRemarks	identificationVerificationStatus	identifiedBy	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	verbatimIdentification	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	modified	countryCode	day	footprintWKT	geodeticDatum	individualCount	license	month	recordedBy	specificEpithet	taxonRank	waterBody	year
PreservedSpecimen	19127	Pycnogonida	SeamountsOnline	-23.68	168.01	1993-11-27	SCSD_SeamountsOnline_Jumeau_West Seamount_534128	Pallenopsidae	Station CP 805	Pallenopsis	WoRMS Match Type: exact	Validated	NA	SCSD	Animalia	Jumeau West Seamount	310.0	278.0	SeamountsOnline_urn:lsid:marinespecies.org:taxname:239490_19127	NA | NA	present	Pantopoda	Arthropoda	Richer de Forges, B. 2001 Electronic Database of ORSTOM Sampling on the Norfolk Ridge NA	Pallenopsis angusta	Stock, 1991	urn:lsid:marinespecies.org:taxname:239490	Pallenopsis angusta	008d38d3-7435-4299-9666-ee8c023ec796	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	294.0	754358400000.0	754358400000.0	754358400000.0	1993.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis angusta	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239490	239490	Pallenopsis angusta	[]	360	111492	24.4	35.32																
Occurrence	48259	Pycnogonida	NewCaledonia	-22.8500003814697	167.169998168945			Pallenopsidae		Pallenopsis				IRD-MNHN	Animalia	Norfolk 1, DW1738	381.0	340.0	urn:catalog:IRD-MNHN:NewCaledonia:48259:0xAF0B900001000500		present	Pantopoda	Arthropoda		Pallenopsis angusta		urn:lsid:marinespecies.org:taxname:239490		00c63073-d604-443e-802d-306f92e45b07	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	360.5					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis angusta	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239490	239490	Pallenopsis angusta	[]	332	23118	24.33	35.27	Crosnier A (2003).	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43												
Occurrence	21615	Pycnogonida	NewCaledonia	-22.75	167.199996948242			Pallenopsidae		Pallenopsis				IRD-MNHN	Animalia	Biocal, CP42	380.0	380.0	urn:catalog:IRD-MNHN:NewCaledonia:21615:0x2133900001000700		present	Pantopoda	Arthropoda		Pallenopsis angusta		urn:lsid:marinespecies.org:taxname:239490		02284398-557d-488b-9f4a-b761b2bb178b	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	380.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis angusta	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239490	239490	Pallenopsis angusta	[]	392	16085	24.32	35.25	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43												
PreservedSpecimen	19123	Pycnogonida	SeamountsOnline	-23.35	168.04		SCSD_SeamountsOnline_Antigonia_537236	Pallenopsidae	Station CP 1716	Pallenopsis	WoRMS Match Type: exact	Validated	NA	SCSD	Animalia	Antigonia	276.0	266.0	SeamountsOnline_urn:lsid:marinespecies.org:taxname:239490_19123	NA | NA	present	Pantopoda	Arthropoda	Chauvin, C. and B. Richer de Forges 2004 Electronic Database of Norfolk Ridge Seamounts Sampling (September 2004)	Pallenopsis angusta	Stock, 1991	urn:lsid:marinespecies.org:taxname:239490	Pallenopsis angusta	02847da9-f17a-46cb-9357-e41e85f39865	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	271.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis angusta	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239490	239490	Pallenopsis angusta	['DEPTH_EXCEEDS_BATH']	184	81080	24.54	35.28																
Occurrence	21644	Pycnogonida	NewCaledonia	-23.0799999237061	166.789993286133			Pallenopsidae		Pallenopsis				IRD-MNHN	Animalia	Bathus 3, CP842	830.0	830.0	urn:catalog:IRD-MNHN:NewCaledonia:21644:0x8BFE8F0001000200		present	Pantopoda	Arthropoda		Pallenopsis angusta		urn:lsid:marinespecies.org:taxname:239490		02cd150b-190b-4728-89fc-54c13d0b21bc	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	830.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis angusta	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239490	239490	Pallenopsis angusta	[]	849	25449	24.38	35.33	Stock JH (1997). Musorstom 18(176): 389-409.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43												
PreservedSpecimen	19129	Pycnogonida	SeamountsOnline	-23.3	168.05	1986-10-31	SCSD_SeamountsOnline_Antigonia_535374	Pallenopsidae	Station CP 26	Pallenopsis	WoRMS Match Type: exact	Validated	NA	SCSD	Animalia	Antigonia	296.0	296.0	SeamountsOnline_urn:lsid:marinespecies.org:taxname:239490_19129	NA | NA	present	Pantopoda	Arthropoda	Richer de Forges, B., R. Grandperrin, and P. Laboute 1987 La Campagne CHALCAL II Sure Les Guyots De La Ride De Norfolk (N.O. CORIOLIS, 26 Octobre-Ler Novembre 1986) Rapports Scientifiques et Techniques, Sciences de la Mer, Rep. 42, Institut Francais de recherche scientifique pour le developpement en cooperation	Pallenopsis angusta	Stock, 1991	urn:lsid:marinespecies.org:taxname:239490	Pallenopsis angusta	07d00151-ba4b-45ba-9729-f1c93c28ad2e	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	296.0	531100800000.0	531100800000.0	531100800000.0	1986.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis angusta	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239490	239490	Pallenopsis angusta	[]	261	77312	24.58	35.27																
Occurrence	21645	Pycnogonida	NewCaledonia	-21.7600002288818	166.619995117188			Pallenopsidae		Pallenopsis				IRD-MNHN	Animalia	Bathus 4, CP955	250.0	242.0	urn:catalog:IRD-MNHN:NewCaledonia:21645:0x8DFE8F0001000100		present	Pantopoda	Arthropoda		Pallenopsis angusta		urn:lsid:marinespecies.org:taxname:239490		098cde14-fc50-49b7-8aa4-348d7f8f6565	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	246.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis angusta	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239490	239490	Pallenopsis angusta	['DEPTH_EXCEEDS_BATH']	126	10886	25.43	35.06	Stock JH (1997). Musorstom 18(176): 389-409.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43												
Occurrence		Pycnogonida	NewCaledonia	-23.6900005340576	168.0			Pallenopsidae		Pallenopsis				IRD-MNHN	Animalia	Norfolk, Mt. Jumeau Ouest (Bathus 3, CP804)	278.0	244.0	urn:catalog:IRD-MNHN:NewCaledonia::0xD104900001000500		present	Pantopoda	Arthropoda		Pallenopsis angusta		urn:lsid:marinespecies.org:taxname:239490		099a61c9-40c0-4d0b-bda6-ab6f76952406	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	261.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis angusta	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239490	239490	Pallenopsis angusta	[]	278	112108	24.4	35.32			https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43												
PreservedSpecimen	2007-4787	Pycnogonida	IU	-22.690001	167.233505	2003-11-06T01:00Z		Pallenopsidae	NORFOLK 2/DW2158	Pallenopsis			Bamber R.	MNHN	Animalia	Ile des Pins			440016789			Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4787	Pallenopsis angusta	Stock, 1991	urn:lsid:marinespecies.org:taxname:239490		0c448361-04d6-4ed8-9b67-af2ad1892220	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		1068076800000.0	1068076800000.0	1068076800000.0	2003.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis angusta		2	1065	1274	1302	1358	379601	379609	236317	134593	239490	239490	Pallenopsis angusta Stock, J.H., 1991	['NO_DEPTH']	202	8604	24.4	35.24				2015-06-19T21:23Z	NC	6	POINT  (167.233505 -22.690001)	WGS84	1	CC_BY_4_0	11	Lozouet, Samadi & Richer-IRD coll.	angusta	SPECIES	Pacific Ocean	2003
Occurrence		Pycnogonida	NewCaledonia	-24.8899993896484	168.350006103516			Pallenopsidae		Pallenopsis				IRD-MNHN	Animalia	Norfolk, Mt. Eponge (Beryx 11, CP8)	570.0	540.0	urn:catalog:IRD-MNHN:NewCaledonia::0x1677170001000200		present	Pantopoda	Arthropoda		Pallenopsis angusta		urn:lsid:marinespecies.org:taxname:239490		0c712641-48f7-4d6d-9679-be20c7f6918b	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	555.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis angusta	1.0	2	1065	1274	1302	1358	379601	379609	236317	134593	239490	239490	Pallenopsis angusta	[]	628	249533	23.73	35.45			https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43												
