associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	169206.126071	Invertebrate Zoology: Crustacea	Mexico	28	31.3330001831	-113.583000183	observedindividualcount=1;	1972-06-28T12:00:00Z	Child, C. Allan	1.0	USNM	Puerto Penasco	6	Alcohol (Ethanol)	Brusca & Joereger	Nymphon lituus	Child	urn:lsid:marinespecies.org:taxname:239869	female	Sonora	Paratype	North Pacific Ocean	1972	58c7243c-7461-43c1-adec-e125a7041e57	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	78537600000	78537600000	78537600000	1972	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon lituus	2	1065	1274	1302	1358	379601	379609	1566	134591	239869	239869	Nymphon lituus	['NO_DEPTH', 'ON_LAND']	-6	-1053	23.62	35.56									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	169207.126072	Invertebrate Zoology: Crustacea	Mexico	2	29.533000946	-113.550003052	observedindividualcount=2;	1972-04-02T12:00:00Z	Child, C. Allan	2.0	USNM	Angel De La Guarda Island, Puerto Refugio	4	Alcohol (Ethanol)	L. Findley	Nymphon lituus	Child	urn:lsid:marinespecies.org:taxname:239869	female; female	Baja California	Paratype	North Pacific Ocean	1972	6202e005-2811-473d-b928-582045b60cd3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	71020800000	71020800000	71020800000	1972	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon lituus	2	1065	1274	1302	1358	379601	379609	1566	134591	239869	239869	Nymphon lituus	['NO_DEPTH', 'ON_LAND']	-38	-65	22.7	35.53	; juvenile								
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon lituus</i> Child, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239869	sm_id_2020	WoRMS type localities		26	8.97	-79.52		1971-04-26			WoRMS Editorial Board	Pacific Ocean	4			Nymphon lituus	Child, 1979	urn:lsid:marinespecies.org:taxname:239869			holotype		1971	850008bd-4381-40d2-a6d0-57969e272ae3	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	41472000000	41472000000	41472000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon lituus	2	1065	1274	1302	1358	379601	379609	1566	134591	239869	239869	Nymphon lituus	['NO_DEPTH']	-1	223	27.59	31.05		https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2020	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=2020	lituus	Biota	1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	169205.126070	Invertebrate Zoology: Crustacea	Mexico	28	31.3330001831	-113.583000183	observedindividualcount=1;	1972-06-28T12:00:00Z	Child, C. Allan	1.0	USNM	Puerto Penasco	6	Alcohol (Ethanol)	Brusca & Joereger	Nymphon lituus	Child	urn:lsid:marinespecies.org:taxname:239869	female	Sonora	Holotype	North Pacific Ocean	1972	f4abbc8e-980c-43e0-8a59-f4f21413abc7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	78537600000	78537600000	78537600000	1972	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon lituus	2	1065	1274	1302	1358	379601	379609	1566	134591	239869	239869	Nymphon lituus	['NO_DEPTH', 'ON_LAND']	-6	-1053	23.62	35.56									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	169209.126074	Invertebrate Zoology: Crustacea	Panama	26	8.97500038147	-79.5133285522	observedindividualcount=1;	1971-04-26T12:00:00Z	Child, C. Allan	1.0	USNM	Panama Bay, Panama City, Paitilla Beach, east side of Paitilla Point, Off Union Club	4	Alcohol (Ethanol)	M. Jones	Nymphon lituus	Child	urn:lsid:marinespecies.org:taxname:239869	female	Canal Zone	Paratype	North Pacific Ocean	1971	fff96cdf-9762-442f-a95b-29c50eace354	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	41472000000	41472000000	41472000000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon lituus	2	1065	1274	1302	1358	379601	379609	1566	134591	239869	239869	Nymphon lituus	['NO_DEPTH', 'ON_LAND']	-12	-132	27.59	31.05									
