associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	eventDate	modified	month	occurrenceID	occurrenceStatus	references	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year	country	dynamicProperties	individualCount	lifeStage	preparations	sex	stateProvince	collectionID	countryCode	eventID
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-007_B3	B89PII	234990.0	26.9666690826	-84.1912689209	Child, C. A.	HRI	ENE Gulf of Mexico	90.0	73.0	Database description and disclaimer at: http://gulfbase.org/	Ascorhynchus horologius	Child,	urn:lsid:marinespecies.org:taxname:240068	73-90	Gulf of Mexico	29679965-b04d-4783-96bc-aac108644ff5	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	81.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	266329	266329	Ascorhynchus horologium	[]	121	156242	25.82	35.95																									
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus horologium</i> Child, 1992. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240068	sm_id_803	WoRMS type localities		27.62	-84.22		WoRMS Editorial Board	Gulf of Mexico		73.1999969482422		Ascorhynchus horologius	Child, 1992	urn:lsid:marinespecies.org:taxname:240068			4640c85a-2a84-4414-ac18-41a5079c19a4	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	73.1999969482422	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	266329	266329	Ascorhynchus horologium	[]	67	137547	25.28	35.84	https://marineinfo.org/id/dataset/5184	6	1967-10-06	2007-06-20 15:52:33	10	WoRMS Editorial Board:WoRMS type localities:sm_id_803	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=803	horologium	holotype	1967	-70675200000.0	-70675200000.0	-70675200000.0	1967.0										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	213520.168280	Invertebrate Zoology: Crustacea		27.6170005798	-84.2170028687	Child, C. Allan	USNM	78 Mile W Of Egmont Key	73.2	73.2		Ascorhynchus horologius	Child	urn:lsid:marinespecies.org:taxname:240068		North Atlantic Ocean	b07ceb96-ac5c-4d41-8b49-4414a803990b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	73.2	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius		2	1065	1274	1302	1358	379601	379608	379788	134571	266329	266329	Ascorhynchus horologum	[]	67	137325	25.28	35.84		2	1966-12-02T12:00:00Z		12					Paratype	1966	-97286400000.0	-97286400000.0	-97286400000.0	1966.0	United States	observedindividualcount=1;	1.0	ovigerous	Alcohol (Ethanol)	female	Florida			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	213521.168281	Invertebrate Zoology: Crustacea		26.3999996185	-83.7170028687	Child, C. Allan	USNM	92 Mile W Of Sanibel Island Light	73.2	73.2		Ascorhynchus horologius	Child	urn:lsid:marinespecies.org:taxname:240068		North Atlantic Ocean	cc990384-dd5f-4f18-85d2-c7a19a8651bf	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	73.2	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius		2	1065	1274	1302	1358	379601	379608	379788	134571	266329	266329	Ascorhynchus horologum	[]	77	146026	25.92	36.03		13	1965-10-13T12:00:00Z		10					Paratype	1965	-133142400000.0	-133142400000.0	-133142400000.0	1965.0	United States	observedindividualcount=1;	1.0	ovigerous	Alcohol (Ethanol)	female	Florida			
	PreservedSpecimen		39435	FSBC I		27.616667	-84.216667				73.0	73.0		Ascorhynchus horologius		urn:lsid:marinespecies.org:taxname:266329			f44d37cf-0a97-4cd7-96d3-615f0581c5fd	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	73.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius		2	1065	1274	1302	1358	379601	379608	379788	134571	266329	266329	Ascorhynchus horologius	[]	67	137300	25.28	35.84			1966-12-02			dff62a21-b9b7-4b04-8310-451062ccfd8d	Present					-97286400000.0	-97286400000.0	-97286400000.0	1966.0								56bf7b66-ed07-4b91-9f0d-1f00de11fab8	US	150e3fff-cc19-46eb-ab7f-e81d8d45c631
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	213519.168279	Invertebrate Zoology: Crustacea		27.6170005798	-84.2170028687	Child, C. Allan	USNM	78 Mile W Of Egmont Key	73.2	73.2		Ascorhynchus horologius	Child	urn:lsid:marinespecies.org:taxname:240068		North Atlantic Ocean	f74af049-af00-4659-81f3-816ad161b723	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	73.2	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus horologius		2	1065	1274	1302	1358	379601	379608	379788	134571	266329	266329	Ascorhynchus horologum	[]	67	137325	25.28	35.84		6	1967-10-06T12:00:00Z		10					Holotype	1967	-70675200000.0	-70675200000.0	-70675200000.0	1967.0	United States	observedindividualcount=1;	1.0	ovigerous	Alcohol (Ethanol)	female	Florida			
