basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	scientificName	scientificNameAuthorship	scientificNameID	typeStatus	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	occurrenceID	occurrenceStatus	ownerInstitutionCode	references
HumanObservation	67066	INDOBIS-DATASET1	10	93	1923-07-02T12:00:00Z	NCL	Andaman	Nymphon andamanense	Calman	urn:lsid:marinespecies.org:taxname:239954	Accepted	60b3ca39-b516-4acf-90fb-616b3de778dc	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1467504000000	-1467504000000	-1467504000000	1923	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon andamanense	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	239954	239954	Nymphon andamanense	['NO_DEPTH']	1324	77172	28.91	32.43				
HumanObservation	67066		10	93	1923-07-02T12:00:00Z	CMLRE	Andaman	Nymphon andamanense		urn:lsid:marinespecies.org:taxname:239954		8fbd763f-8142-4105-a36d-7b891cfeabe0	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	-1467504000000	-1467504000000	-1467504000000	1923	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon andamanense		2	1065	1274	1302	1358	379601	379609	1566	134591	239954	239954	Nymphon andamanense	['NO_DEPTH']	1324	77172	28.91	32.43	11519	present	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar
HumanObservation	67066		10	93	1923-07-02T12:00:00Z	CMLRE	Andaman	Nymphon andamanense		urn:lsid:marinespecies.org:taxname:239954		c02a31bf-e5b8-4341-8980-950fdd5510f9	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	-1467504000000	-1467504000000	-1467504000000	1923	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon andamanense		2	1065	1274	1302	1358	379601	379609	1566	134591	239954	239954	Nymphon andamanense	['NO_DEPTH']	1324	77172	28.91	32.43	11518	present	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar
HumanObservation	67066	INDOBIS-DATASET1	10	93	1923-07-02T12:00:00Z	NCL	Andaman	Nymphon andamanense	Calman	urn:lsid:marinespecies.org:taxname:239954	Accepted	cbb58d48-d2ee-4c20-ae82-70a468fc2ba0	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1467504000000	-1467504000000	-1467504000000	1923	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon andamanense	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	239954	239954	Nymphon andamanense	['NO_DEPTH']	1324	77172	28.91	32.43				
