basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	country	countryCode	datasetName	eventID	geodeticDatum	identifiedBy	language	recordedBy	taxonRank	waterBody
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Callipallene longicoxa</i> Stock, 1955. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240035	sm_id_1804	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	18.35	-64.92	1905/1906	Callipallenidae	Callipallene	WoRMS Editorial Board	Animalia	Caribbean Sea	37.0	24.0	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1804	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1804	Callipallene longicoxa	Stock, 1955	urn:lsid:marinespecies.org:taxname:240035	longicoxa	holotype	28640a08-f3b5-41e9-84e9-a8d271ed990b	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	30.5	-2051222400000	-2019772800000	-1988236800000	1905	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Callipallene longicoxa	1.0	2	1065	1274	1302	1358	379601	379609	1564	134581	240035	240035	Callipallene longicoxa	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-116	-1258	27.71	34.89											
HumanObservation			Pycnogonida			10.983568	-64.157809	2012	Callipallenidae	Callipallene		Animalia					BMLR_VT_TGECAM_CM_E2_SP4	present	Pantopoda	Arthropoda		Callipallene longicoxa		urn:lsid:marinespecies.org:taxname:240035	longicoxa		98c0daba-505f-497d-8560-c3dc27aace24	a4f4931f-7036-47db-9a59-a89fac1501af	['8385435b-bcf5-4bec-b827-8b480163d479']		1325376000000	1341100800000	1356912000000	2012	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Callipallene longicoxa		2	1065	1274	1302	1358	379601	379609	1564	134581	240035	240035	Callipallene longicoxa	['NO_DEPTH']	-2	585	26.2	36.11	South America	Venezuela	VE	biodiversidad-larestinga	BMLR_VT_TGECAM_CM_E2	WGS84	Claudina Mata	en	Claudina Mata	species	Caribbean Sea
