basisOfRecord	datasetID	datasetName	decimalLatitude	decimalLongitude	eventDate	individualCount	kingdom	locality	materialSampleID	maximumDepthInMeters	minimumDepthInMeters	occurrenceID	occurrenceStatus	ownerInstitutionCode	samplingProtocol	scientificName	scientificNameID	taxonRank	taxonRemarks	type	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	catalogNumber	collectionCode	institutionCode	modified	references	scientificNameAuthorship	specificEpithet	typeStatus	superdomain	superdomainid	associatedReferences	coordinatePrecision	identifiedBy	occurrenceRemarks	verbatimDepth	waterBody	country	day	dynamicProperties	month	preparations	sex	stateProvince	year
MaterialSample	NOAA NBI	NOAA National Benthic Inventory	25.4329	-80.281	1995-05-02	1	Animalia	Biscayne Bay	BB95_090_1:18630	2.4	2.4	NOAA:NCCOS:NBI:BB95_090_1:18630	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Nymphon aemulum	urn:lsid:marinespecies.org:taxname:239649	Species	Originally identified as 'Nymphon aemulum'	Dataset	0aa07500-73c1-48f9-b7fa-99d184107237	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	2.4	799372800000.0	799372800000.0	799372800000.0	1995.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aemulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239649	239649	Nymphon aemulum	[]	2	3673	27.03	36.07																									
PreservedSpecimen	https://marineinfo.org/id/dataset/5184		17.17	-61.85			Animalia	Caribbean Sea			0.5	WoRMS Editorial Board:WoRMS type localities:sm_id_1007	present			Nymphon aemulum	urn:lsid:marinespecies.org:taxname:239649				1778d9b6-aec6-4e1d-9c58-818d9f6264f4	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	0.5					False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aemulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239649	239649	Nymphon aemulum	[]	-1	538	27.7	34.94	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon aemulum</i> Stock, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239649	sm_id_1007	WoRMS type localities	WoRMS Editorial Board	2007-06-20 15:52:33	http://www.marinespecies.org/aphia.php?p=specdetails&id=1007	Stock, 1975	aemulum	holotype	Biota	1.0														
MaterialSample	NOAA NBI	NOAA National Benthic Inventory	25.7719	-80.1429	1995-04-06	2	Animalia	Biscayne Bay	BB95_020_1:14914	4.5	4.5	NOAA:NCCOS:NBI:BB95_020_1:14914	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Nymphon aemulum	urn:lsid:marinespecies.org:taxname:239649	Species	Originally identified as 'Nymphon aemulum'	Dataset	193826e2-c955-433e-8efa-ab87c4c39c1b	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	4.5	797126400000.0	797126400000.0	797126400000.0	1995.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aemulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239649	239649	Nymphon aemulum	[]	-4	165	27.09	36.02																									
MaterialSample	NOAA NBI	NOAA National Benthic Inventory	25.154	-81.4112	1994-09-07	2	Animalia	Outside Florida Bay	FW94_31_2:100339	7.8	7.8	NOAA:NCCOS:NBI:FW94_31_2:100339	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Nymphon aemulum	urn:lsid:marinespecies.org:taxname:239649	Species	Originally identified as 'Nymphon aemulum'	Dataset	1a37b696-c996-48df-8f68-edf8b50cf6ac	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	7.8	778896000000.0	778896000000.0	778896000000.0	1994.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aemulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239649	239649	Nymphon aemulum	[]	6	25298	26.32	36.17																									
MaterialSample	NOAA NBI	NOAA National Benthic Inventory	25.7719	-80.1429	1995-04-06	1	Animalia	Biscayne Bay	BB95_020_3:15121	4.5	4.5	NOAA:NCCOS:NBI:BB95_020_3:15121	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Nymphon aemulum	urn:lsid:marinespecies.org:taxname:239649	Species	Originally identified as 'Nymphon aemulum'	Dataset	2b36f036-d0ca-442a-814b-7ed72c2ce11d	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	4.5	797126400000.0	797126400000.0	797126400000.0	1995.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aemulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239649	239649	Nymphon aemulum	[]	-4	165	27.09	36.02																									
HumanObservation			23.0251464844	-82.887260437			Animalia	ESE  Gulf of Mexico		35.0	0.0					Nymphon aemulum	urn:lsid:marinespecies.org:taxname:239649				428e48a3-06c4-45bf-956a-d209f7d80e91	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.5					False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aemulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239649	239649	Nymphon aemulum	[]	126	466	27.69	35.98	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-026_C1	B89PII	HRI			Stock,			Biota	1.0	Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	249350.0	Child, C. A.	Database description and disclaimer at: http://gulfbase.org/	0-35	Gulf of Mexico								
MaterialSample	NOAA NBI	NOAA National Benthic Inventory	25.0317	-81.6063	1994-09-08	1	Animalia	Outside Florida Bay	FW94_24_3:97961	10.4	10.4	NOAA:NCCOS:NBI:FW94_24_3:97961	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Nymphon aemulum	urn:lsid:marinespecies.org:taxname:239649	Species	Originally identified as 'Nymphon aemulum'	Dataset	482d913f-78c5-4eff-a3ea-185b5eb81e65	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	10.4	778982400000.0	778982400000.0	778982400000.0	1994.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aemulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239649	239649	Nymphon aemulum	[]	11	28741	26.27	36.16																									
MaterialSample	NOAA NBI	NOAA National Benthic Inventory	25.5412	-80.2671	1995-04-26	3	Animalia	Biscayne Bay	BB95_068_2:17254	2.5	2.5	NOAA:NCCOS:NBI:BB95_068_2:17254	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Nymphon aemulum	urn:lsid:marinespecies.org:taxname:239649	Species	Originally identified as 'Nymphon aemulum'	Dataset	50242828-867d-49d0-818b-8fa77b54ccc9	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	2.5	798854400000.0	798854400000.0	798854400000.0	1995.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aemulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239649	239649	Nymphon aemulum	[]	2	4453	27.01	36.07																									
MaterialSample	NOAA NBI	NOAA National Benthic Inventory	25.1257	-81.2577	1994-09-07	1	Animalia	Outside Florida Bay	FW94_30_3:100069	5.6	5.6	NOAA:NCCOS:NBI:FW94_30_3:100069	present	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Nymphon aemulum	urn:lsid:marinespecies.org:taxname:239649	Species	Originally identified as 'Nymphon aemulum'	Dataset	6f9b0c8d-1d4e-4c13-8d9f-d6bdb3d85bd6	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	5.6	778896000000.0	778896000000.0	778896000000.0	1994.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aemulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239649	239649	Nymphon aemulum	[]	4	12182	26.38	36.17																									
PreservedSpecimen			27.875	-79.9583282471	1974-02-28T12:00:00Z	1.0	Animalia	E Of Fort Pierce		98.0	75.0					Nymphon aemulum	urn:lsid:marinespecies.org:taxname:239649				74d53c34-d8bb-4069-b628-3d3cf9bdb654	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	86.5	131241600000.0	131241600000.0	131241600000.0	1974.0	False	False	True	False	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aemulum	2	1065	1274	1302	1358	379601	379609	1566	134591	239649	239649	Nymphon aemulum	[]	105	44423	26.29	36.12	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	155178.118576	Invertebrate Zoology: Crustacea	USNM			Stock					National Museum of Natural History, Smithsonian Institution		Child, C. Allan			North Atlantic Ocean	United States	28	observedindividualcount=1;	2	Alcohol (Ethanol)	male	Florida	1974
