basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	eventDate	footprintWKT	geodeticDatum	identifiedBy	language	locality	locationID	modified	month	occurrenceID	occurrenceStatus	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	specificEpithet	year	bibliographicCitation	fieldNumber	individualCount	occurrenceRemarks	startDayOfYear	taxonRemarks	waterBody	date_start	date_mid	date_end	date_year	countryCode	eventID	identifiedByID	institutionID	organismQuantity	organismQuantityType	sex	taxonRank	type	verbatimEventDate	superdomain	superdomainid	datasetID
HumanObservation	38616	SOMBASE Pycnogonids	-67.6666030884	45.8499984741	BAS	42	38	Pentanymphon antarcticum	urn:lsid:marinespecies.org:taxname:173532	00825fb0-4359-4f24-b061-58929b41f401	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	40.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Pentanymphon	Pentanymphon antarcticum	2	1065	1274	1302	1358	379601	379609	1566	173302	173532	173532	Pentanymphon antarcticum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-34	-727	-1.77	33.6																																															
HumanObservation	23331	SOMBASE Pycnogonids	-62.278301239	-58.5666007996	BAS	74	38	Pentanymphon antarcticum	urn:lsid:marinespecies.org:taxname:173532	0084287b-9cfe-420c-a889-db91cd3496fb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	56.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Pentanymphon	Pentanymphon antarcticum	2	1065	1274	1302	1358	379601	379609	1566	173302	173532	173532	Pentanymphon antarcticum	[]	56	2925	-0.53	34.02																																															
PreservedSpecimen	9295	NIWA	-76.9833333	167.6	NIWA Invertebrate Collection	114	110	Pentanymphon antarcticum	urn:lsid:marinespecies.org:taxname:173532	00ba1245-11ea-4882-bcc6-d7bc4fd3995a	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	112.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Pentanymphon	Pentanymphon antarcticum	2	1065	1274	1302	1358	379601	379609	1566	173302	173532	173532	Pentanymphon antarcticum	[]	224	15261	-1.57	34.3	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection	1994	26	26/01/1959	POINT (167.6 -76.9833333)	WGS84	Child, C, A	en	Beaufort Island, Ross Sea	A468	8/04/2022	1	60170352-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), Ethanol - no formalin = 10	NZOI	Dredge, naturalists	Hodgson, 1904	antarcticum	1959																								
HumanObservation	39254	SOMBASE Pycnogonids	-70.9471969604	-10.5293998718	BAS	296	296	Pentanymphon antarcticum	urn:lsid:marinespecies.org:taxname:173532	00bad8c1-6685-4dc8-a155-077ea1339165	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	296.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Pentanymphon	Pentanymphon antarcticum	2	1065	1274	1302	1358	379601	379609	1566	173302	173532	173532	Pentanymphon antarcticum	[]	266	4208	-1.72	33.76																																															
HumanObservation	TAN0402/198 Pentanymphon antarcticum	MBIS BioRoss	-71.617333	170.8935	NIWA	222	222	Pentanymphon antarcticum	urn:lsid:marinespecies.org:taxname:173532	00d5dd1d-c79b-452f-b225-e168cf50b162	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	222.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Pentanymphon	Pentanymphon antarcticum	2	1065	1274	1302	1358	379601	379609	1566	173302	173532	173532	Pentanymphon antarcticum	[]	174	7320	-1.65	33.89		30			2005-06-20	28	2004-02-28T03:16+12	POINT (170.8935 -71.617333)	WGS84	Johanna Nielsen	en	Ross 2		2013-11-03	2	2062	present			Van Veen grab	Hodgson, 1904	antarcticum	2004	Pentanymphon antarcticum (MBIS BioRoss 2062)	TAN0402/198	1	GearType= Van Veen Grab	59	Pentanymphon antarcticum	Southern Ocean	1077926400000.0	1077926400000.0	1077926400000.0	2004.0													
PreservedSpecimen	JR17003a_454a		-63.6163	-57.505	BAS	490	442	Pentanymphon antarcticum	urn:lsid:marinespecies.org:taxname:173532	014bf64b-19b3-43be-a0c3-63eddb688652	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	466.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Pentanymphon	Pentanymphon antarcticum	2	1065	1274	1302	1358	379601	379609	1566	173302	173532	173532	Pentanymphon antarcticum	['DEPTH_EXCEEDS_BATH']	336	1445	-1.44	33.21		181				7	2018-03-07	LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	EPSG:4326	Jamie Maxwell	en				3	JR17003a_454a	Present	Whole animal in 96% ethanol		Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	Hodgson, 1904	antarcticum	2018		JR17003a_052		1 male with eggs				1520380800000.0	1520380800000.0	1520380800000.0	2018.0	AQ	JR17003a	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	1	individuals	Male	species	PhysicalObject	7/3/2018	Biota	1.0	
HumanObservation	3372	Weddell Sea macrozoobenthos EASIZ I	-70.48166667	-8.251667	AWI	286	286	Pentanymphon antarcticum	urn:lsid:marinespecies.org:taxname:239833	016ce95e-b1d6-4228-ae52-c63e9bafd3a8	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	286.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Pentanymphon	Pentanymphon antarcticum	2	1065	1274	1302	1358	379601	379609	1566	173302	173532	173532	Pentanymphon minutum	[]	285	2515	-1.71	33.71						4						Kapp Norvegia area		2010-05-11T18:09Z	3	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3372							1996																								IMIS:dasid:2432
HumanObservation	23304	SOMBASE Pycnogonids	-71.2833023071	171.550003052	BAS	714	659	Pentanymphon antarcticum	urn:lsid:marinespecies.org:taxname:173532	01adf0b6-4a47-44c8-95d7-9b7a726bc89c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	686.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Pentanymphon	Pentanymphon antarcticum	2	1065	1274	1302	1358	379601	379609	1566	173302	173532	173532	Pentanymphon antarcticum	[]	1615	41878	-1.63	34.14																																															
HumanObservation	39421	SOMBASE Pycnogonids	-71.6832962036	-12.6332998276	BAS	449	436	Pentanymphon antarcticum	urn:lsid:marinespecies.org:taxname:173532	01d95599-f917-4b88-b737-700969d2cfac	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	442.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Pentanymphon	Pentanymphon antarcticum	2	1065	1274	1302	1358	379601	379609	1566	173302	173532	173532	Pentanymphon antarcticum	['DEPTH_EXCEEDS_BATH']	317	11234	-1.77	33.73																																															
HumanObservation	39085	SOMBASE Pycnogonids	-69.3692016602	76.2583007812	BAS	20	20	Pentanymphon antarcticum	urn:lsid:marinespecies.org:taxname:173532	02eb5bd7-f4ee-4e12-8e54-5c10f8b15c6e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	20.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Pentanymphon	Pentanymphon antarcticum	2	1065	1274	1302	1358	379601	379609	1566	173302	173532	173532	Pentanymphon antarcticum	[]	55	522	-1.48	33.7																																															
