basisOfRecord	catalogNumber	class	collectionCode	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	genus	habitat	identificationRemarks	identificationVerificationStatus	identifiedBy	individualCount	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	verbatimIdentification	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	modified	month	specificEpithet	typeStatus	year
PreservedSpecimen	24256	Pycnogonida	SeamountsOnline	42.66	-11.59	1987-10-19	SCSD_SeamountsOnline_Galicia_Bank_537853	Austrodecidae	Station DW111	Austrodecus	benthic/near bottom	WoRMS Match Type: exact	Validated	Jan H. Stock	3	SCSD	Animalia	Galicia Bank	685	675	SeamountsOnline_urn:lsid:marinespecies.org:taxname:134637_24256	1 holotype and 2 paratypes | NA	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Austrodecus conifer	Stock, 1991	urn:lsid:marinespecies.org:taxname:134637	Austrodecus conifer Stock, 1991	63256a25-7554-4ef3-ab43-5047d583733b	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	680	561600000000	561600000000	561600000000	1987	False	False	True	False	Biota	Chelicerata	Stiripasterida	Austrodecus conifer	1	2	1065	1274	1302	1358	379600	22616	134579	134637	134637	Austrodecus conifer	[]	708	189219	16.05	35.84								
PreservedSpecimen	sm_id_1738	Pycnogonida	WoRMS type localities	42.65	-11.59	1987-10-19		Austrodecidae		Austrodecus						WoRMS Editorial Board	Animalia	Atlantic Ocean	685	675	WoRMS Editorial Board:WoRMS type localities:sm_id_1738		present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1738	Austrodecus conifer	Stock, 1991	urn:lsid:marinespecies.org:taxname:134637		810a5e4c-917f-487f-89b3-ce2649b506fe	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	680	561600000000	561600000000	561600000000	1987	False	False	True	False	Biota	Chelicerata	Stiripasterida	Austrodecus conifer	1	2	1065	1274	1302	1358	379600	22616	134579	134637	134637	Austrodecus conifer	[]	667	189408	16.05	35.84	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus conifer</i> Stock, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=134637	https://marineinfo.org/id/dataset/5184	19	2007-06-20 15:52:33	10	conifer	holotype	1987
