basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	continent	datasetID	day	eventDate	identifiedBy	locality	modified	month	occurrenceID	recordedBy	scientificNameAuthorship	year	date_start	date_mid	date_end	date_year
HumanObservation	21479	SOMBASE Pycnogonids	-71.6917037964	-12.5283002853	BAS	436.0	436	Nymphon gruzovi	urn:lsid:marinespecies.org:taxname:173422	045796c9-9a4c-4005-936a-1c16deb067ff	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	436.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gruzovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173422	173422	Nymphon gruzovi	[]	463	9052	-1.77	33.74																	
HumanObservation	37640	SOMBASE Pycnogonids	-60.5083007812	-47.0415992737	BAS	250.0	250	Nymphon gruzovi	urn:lsid:marinespecies.org:taxname:173422	1717fafa-ee80-40cf-8712-a71dd9e33c3a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	250.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gruzovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173422	173422	Nymphon gruzovi	[]	242	19844	-0.91	33.78																	
humanobservation	292	OC - Pycnogonida	-62.15176	-58.44794	University of Lodz		255	Nymphon gruzovi	urn:lsid:marinespecies.org:taxname:173422	5a922a58-4304-4fcb-9ba3-db2498dae5dd	f1e773cb-e896-45b0-8a1e-faded8facb33	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	255.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gruzovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173422	173422	Nymphon gruzovi	[]	241	933	-0.5	34.04	Sicinski J., Bamber R. 2008. Admiralty Bay Benthos Diversity Data Base (ABBED). Pycnogonida. (http://www.scarmarbin.be)	Antarctica	IMIS:dasid:1649	1	1980-03-01	Bamber Roger	Admiralty Bay	2008-05-05	3	urn:catalog:University of Lodz:OC - Pycnogonida:292_0055	Presler Piotr, Sicinski Jacek	Pushkin, 1993	1980	320716800000.0	320716800000.0	320716800000.0	1980.0
HumanObservation	2817	Weddell Sea macrozoobenthos EASIZ I	-71.69166667	-12.528334	AWI	436.0	436	Nymphon gruzovi	urn:lsid:marinespecies.org:taxname:173422	5bf967b0-3189-4811-8741-042b020791a6	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	436.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gruzovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173422	173422	Nymphon gruzovi	[]	463	9056	-1.77	33.74			IMIS:dasid:2432	20			Kapp Norvegia area	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2817			1996				
HumanObservation	39377	SOMBASE Pycnogonids	-71.6832962036	-12.6332998276	BAS	449.0	436	Nymphon gruzovi	urn:lsid:marinespecies.org:taxname:173422	8e800840-48f8-4469-b13e-38257b9b2ca3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	442.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gruzovi	2	1065	1274	1302	1358	379601	379609	1566	134591	173422	173422	Nymphon gruzovi	['DEPTH_EXCEEDS_BATH']	317	11234	-1.77	33.73																	
