associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionID	coordinateUncertaintyInMeters	datasetID	datasetName	eventID	eventRemarks	geodeticDatum	georeferenceProtocol	georeferenceSources	georeferencedBy	georeferencedDate	institutionID	locationID	locationRemarks	occurrenceID	occurrenceStatus	organismID	parentNameUsageID	recordNumber	samplingProtocol	specificEpithet	taxonID	taxonRank	taxonomicStatus	verbatimLocality	habitat	verbatimDepth	continent	modified	recordedBy	superdomain	superdomainid	countryCode	occurrenceRemarks
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233637.185538	Invertebrate Zoology: Crustacea	United States	2	47.9516716003	-129.100006104	observedindividualcount=6;	1984-09-02T12:00:00Z	Child, C. Allan	6.0	USNM	Juan De Fuca Ridge, Endeavour Seamount, Hydrothermal Vent	2216.0	2216.0	9	Alcohol (Ethanol)	Sericosura verenae	Child	urn:lsid:marinespecies.org:taxname:239680	male; female	Paratype	North Pacific Ocean	1984	05cdee4d-9637-4db4-b816-3f447251571f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2216.0	462931200000.0	462931200000.0	462931200000.0	1984.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura verenae	2	1065	1274	1302	1358	379601	379608	1562	134576	407708	407708	Ammothea verenae	[]	2109	245138	11.45	32.34																																		
	PreservedSpecimen		S33683	OGL			45.6030556	-129.9608333		1994-07-01			OGL	Juan de Fuca Ridge- General					Sericosura verenae	(Child, 1987)	urn:lsid:marinespecies.org:taxname:407708			North Pacific Ocean		075ddb45-1141-4211-8f7b-aacf9f0f33c7	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']		773020800000.0	773020800000.0	773020800000.0	1994.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura verenae	2	1065	1274	1302	1358	379601	379608	1562	134576	407708	407708	Sericosura verenae	['NO_DEPTH']	2419	460188	12.25	32.5	0f00dede-1a1f-49e5-ae69-2bc40db635c5	107850	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	CE04926	Event Name: ROV Ropos; Dive R278; Dive Number: R278; Collection Event Notes: Day of dive unknown	WGS84	Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128); Additional details in lot folder	http://georeferencing.org/georefcalculator/gc.html; https://marineregions.org/; https://www.movable-type.co.uk/scripts/latlong.html	Fenuccio, Lee	2022-03-02	8c116cac-9394-4c4e-be14-06184bdc62bd	CL05210	This is the locality for the Juan de Fuca ridge, based off of coordinates from marineregions.org. The website gives a minimum (44.6686, -130.3294) and maximum (46.5365, -129.5799). The coordinates are the midpoint.	OGL_MSC_NortheasternUniversity_S33683	present	S33683	134576	Ammothea verenae 278 #4-6	ROV Ropos	verenae	T05910	Species	accepted	Juan de Fuca									
	PreservedSpecimen		S33795	OGL			47.9235	-129.109		1999-09-01			OGL	Juan de Fuca	2294.0	2294.0			Sericosura verenae	(Child, 1987)	urn:lsid:marinespecies.org:taxname:407708			North Pacific Ocean		1353847f-bde7-4c94-a775-76e87c69eea4	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	2294.0	936144000000.0	936144000000.0	936144000000.0	1999.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura verenae	2	1065	1274	1302	1358	379601	379608	1562	134576	407708	407708	Sericosura verenae	[]	2234	247742	11.45	32.34	0f00dede-1a1f-49e5-ae69-2bc40db635c5	122	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	CE04929	Event Name: HOV Alvin, Cruise AT03-38, Dive A3461; Contact Person: Fisher, Charles; Vessel Name: Atlantis; Cruise Number: AT03-38; Dive Number: A3461; Collection Event Notes: Samples were noted as “limp suck”, which probably stands for Limpet Suck, an event where Alvin may have sucked up many limpets and other surrounding organisms	WGS84	Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128); Additional details in lot folder	http://georeferencing.org/georefcalculator/gc.html; https://marineregions.org/	Fenuccio, Lee	2022-04-26	8c116cac-9394-4c4e-be14-06184bdc62bd	CL05375		OGL_MSC_NortheasternUniversity_S33795	present	S33795	134576	A3461 A. verenae	HOV Alvin	verenae	T05910	Species	accepted	Juan de Fuca, Latitude: 47-55.41N, Longitude: 129-06.54W, Depth: 2294 meters	Marine Region: benthic	2294							
	PreservedSpecimen		S34607	OGL			45.6030556	-129.9608333		1994-07-01			OGL	Juan de Fuca Ridge- General					Sericosura verenae	(Child, 1987)	urn:lsid:marinespecies.org:taxname:407708			North Pacific Ocean		137e97ae-4827-4eb0-9727-b430943f615c	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']		773020800000.0	773020800000.0	773020800000.0	1994.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura verenae	2	1065	1274	1302	1358	379601	379608	1562	134576	407708	407708	Sericosura verenae	['NO_DEPTH']	2419	460188	12.25	32.5	0f00dede-1a1f-49e5-ae69-2bc40db635c5	107850	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	CE05000	Event Name: ROV Ropos; Dive R280; Dive Number: R280; Collection Event Notes: Day of dive unknown	WGS84	Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128); Additional details in lot folder	http://georeferencing.org/georefcalculator/gc.html; https://marineregions.org/; https://www.movable-type.co.uk/scripts/latlong.html	Fenuccio, Lee	2022-03-02	8c116cac-9394-4c4e-be14-06184bdc62bd	CL05210	This is the locality for the Juan de Fuca ridge, based off of coordinates from marineregions.org. The website gives a minimum (44.6686, -130.3294) and maximum (46.5365, -129.5799). The coordinates are the midpoint.	OGL_MSC_NortheasternUniversity_S34607	present	S34607	134576	280 Av #2 7/94	ROV Ropos	verenae	T05910	Species	accepted	Juan de Fuca									
	Occurrence		1249	C			44.7999992370605	-130.300003051758				1.0	PENN	Cleft Segment	2250.0	1600.0			Sericosura verenae		urn:lsid:marinespecies.org:taxname:239680					18850e5d-7300-454d-acae-1129c0ece444	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1925.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura verenae	2	1065	1274	1302	1358	379601	379608	1562	134576	407708	407708	Ammothea verenae	[]	2248	491106	12.59	32.53			https://marineinfo.org/id/dataset/212												urn:catalog:PENN:C:1249:0x5F7DDC0001000600	present												Juan de Fuca	2005-03-12 18:56:00	Chuck Fisher Cindy Van Dover	Biota	1.0		
	Occurrence		2762	C			-41.0250015258789	-129.559997558594					PENN	Axial Seamount	1580.0	1459.0			Sericosura verenae		urn:lsid:marinespecies.org:taxname:239680					1b7fd2a2-2644-429e-9d87-d745de9711ce	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1519.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura verenae	2	1065	1274	1302	1358	379601	379608	1562	134576	407708	407708	Ammothea verenae	[]	4917	1773650	13.53	34.22			https://marineinfo.org/id/dataset/212												urn:catalog:PENN:C:2762:0xBA7DDC0001000000	present												Juan de Fuca	1970-01-01 01:00:00	Chuck Fisher Cindy Van Dover	Biota	1.0		
	PreservedSpecimen		S32372	OGL			48.28333333	-129.0833333		1995-01-01			OGL	Endeavor- General					Sericosura verenae	(Child, 1987)	urn:lsid:marinespecies.org:taxname:407708			North Pacific Ocean		1e671a3f-324c-41a1-94c6-fb4280a70d0f	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']		788918400000.0	788918400000.0	788918400000.0	1995.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura verenae	2	1065	1274	1302	1358	379601	379608	1562	134576	407708	407708	Sericosura verenae	['NO_DEPTH']	2121	219060	11.34	32.29	0f00dede-1a1f-49e5-ae69-2bc40db635c5	2341	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	CE04705	Event Name: ROV ROPOS, Dive R313; Dive Number: R313; Collection Event Notes: Unknown month and day	WGS84	Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128); Additional details in lot folder	http://georeferencing.org/georefcalculator/gc.html; https://marineregions.org/	Fenuccio, Lee	2022-03-21	8c116cac-9394-4c4e-be14-06184bdc62bd	CL05184	The coordinates for this are from Endeavor Seamount from marineregions.org	OGL_MSC_NortheasternUniversity_S32372	present	S32372	134576		ROV ROPOS	verenae	T05910	Species	accepted	Juan de Fuca, Endeavor;Endeavor Ridge									
	Occurrence						-41.0250015258789	-129.559997558594						Axial Seamount	1580.0	1459.0			Sericosura verenae		urn:lsid:marinespecies.org:taxname:407708					20a14be3-40d6-4d93-94ac-7d9beca8561f	471a8de8-80f8-43f9-9443-88a45712feba	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1519.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura verenae	2	1065	1274	1302	1358	379601	379608	1562	134576	407708	407708	Sericosura verenae	[]	4917	1773650	13.53	34.22			https://marineinfo.org/id/dataset/212												urn:catalog::0x85F48F0001000100	present												Juan de Fuca	1970-01-01 01:00:00		Biota	1.0		
	PreservedSpecimen		S34400	OGL	Canada		47.9487	-129.0981		1995-01-01			OGL	Juan de Fuca, Easter Island Cold temp site					Sericosura verenae	(Child, 1987)	urn:lsid:marinespecies.org:taxname:407708			North Pacific Ocean		20b291c2-4857-40fb-a856-963fc6cab37a	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']		788918400000.0	788918400000.0	788918400000.0	1995.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura verenae	2	1065	1274	1302	1358	379601	379608	1562	134576	407708	407708	Sericosura verenae	['NO_DEPTH']	2206	245255	11.45	32.34	0f00dede-1a1f-49e5-ae69-2bc40db635c5	113	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	CE04703	Event Name: ROV ROPOS, Dive 309; Dive Number: R309; Collection Event Notes: Unknown month and day	WGS84	Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128); Additional details in lot folder	http://georeferencing.org/georefcalculator/gc.html; https://marineregions.org/, https://vents-data.interridge.org/	Fenuccio, Lee	2022-05-13	8c116cac-9394-4c4e-be14-06184bdc62bd	CL05410	The coordinates for this location are based off of the coordinates for Main Endeavor Field from https://vents-data.interridge.org/, since the Main Endeavor Field includes the Easter island vent site	OGL_MSC_NortheasternUniversity_S34400	present	S34400	134576	Dive HYS 309 Av 4-8	ROV ROPOS	verenae	T05910	Species	accepted	Juan de Fuca, Easter Island Cold temp site	Marine Region: benthic		North America		István Urcuyo			CA	6 individuals
	PreservedSpecimen		S34406	OGL			45.6030556	-129.9608333		1995-01-01			OGL	Juan de Fuca, SqM HOBO site 94-95					Sericosura verenae	(Child, 1987)	urn:lsid:marinespecies.org:taxname:407708			North Pacific Ocean		2e39f9ca-31f1-4d04-8bcd-a523f83df328	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']		788918400000.0	788918400000.0	788918400000.0	1995.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Sericosura	Sericosura verenae	2	1065	1274	1302	1358	379601	379608	1562	134576	407708	407708	Sericosura verenae	['NO_DEPTH']	2419	460188	12.25	32.5	0f00dede-1a1f-49e5-ae69-2bc40db635c5	107850	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	CE04705	Event Name: ROV ROPOS, Dive R313; Dive Number: R313; Collection Event Notes: Unknown month and day	WGS84	Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128); Additional details in lot folder	http://georeferencing.org/georefcalculator/gc.html; https://marineregions.org/; https://www.movable-type.co.uk/scripts/latlong.html	Fenuccio, Lee	2022-03-02	8c116cac-9394-4c4e-be14-06184bdc62bd	CL05408	This is the locality for the Juan de Fuca ridge, based off of coordinates from marineregions.org. The website gives a minimum (44.6686, -130.3294) and maximum (46.5365, -129.5799). The coordinates are the midpoint.	OGL_MSC_NortheasternUniversity_S34406	present	S34406	134576	Dive HYS 313 Av-4	ROV ROPOS	verenae	T05910	Species	accepted	Juan de Fuca, SqM HOBO site 94-95					István Urcuyo				
