basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	2011-2545	Pycnogonida	IU	PG	-3.976167	153.762665	Pycnogonidae	BIOPAPUA/CP3761	POINT  (153.762665 -3.976167)	Pycnogonum	WGS84	Bamber	1	MNHN	Animalia	CC_BY_4_0	Au large de Feni Islands	2015-06-19T21:23Z	462401321	Pantopoda	Arthropoda	Samadi & Corbari	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-2545	Pycnogonum papua	Bamber, 2013	urn:lsid:marinespecies.org:taxname:734285	papua	SPECIES	HOLOTYPE	Pacific Ocean	56c75148-6c3a-406d-83ce-d7fb7d4c54fa	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum papua	2	1065	1274	1302	1358	379601	379611	1567	134595	734285	734285	Pycnogonum papua Bamber, 2013	['NO_DEPTH']	61	4838	29.68	34.73
PreservedSpecimen	2012-492	Pycnogonida	IU	PG	-3.954333	153.810165	Pycnogonidae	BIOPAPUA/CP3762	POINT  (153.810165 -3.954333)	Pycnogonum	WGS84	Bamber R.	1	MNHN	Animalia	CC_BY_4_0	Au large de Feni Islands	2015-06-19T21:23Z	694181314	Pantopoda	Arthropoda	Samadi & Corbari	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-492	Pycnogonum papua	Bamber, 2013	urn:lsid:marinespecies.org:taxname:734285	papua	SPECIES	PARATYPE	Pacific Ocean	5e083652-a3fa-4eda-a279-32bdc3bcf14c	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum papua	2	1065	1274	1302	1358	379601	379611	1567	134595	734285	734285	Pycnogonum papua Bamber, 2013	['NO_DEPTH']	484	10264	29.68	34.73
