associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	modified	month	occurrenceID	occurrenceStatus	references	specificEpithet	typeStatus	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	156286.119698	Invertebrate Zoology: Crustacea	United States	32.5999984741	-119.050003052	observedindividualcount=2;	1975-07-02T12:00:00Z	Child, C. Allan	2.0	USNM	; ovigerous	Tanner Bank	400.0	300	Alcohol (Ethanol)	Ammothella setosa	Hilton	urn:lsid:marinespecies.org:taxname:239720	male; female	California	North Pacific Ocean	1975	5caa255c-ff05-4d3c-a5fe-e945b713a6bc	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	350	173491200000	173491200000	173491200000	1975	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella setosa	2	1065	1274	1302	1358	379601	379608	1562	134570	239720	239720	Ammothella setosa	[]	466	58487	16.34	33.44											
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothella setosa</i> Hilton, 1942. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239720	sm_id_1547	WoRMS type localities		33.3	-119.63		1904-04-12			WoRMS Editorial Board		Pacific Ocean		532		Ammothella setosa	Hilton, 1942	urn:lsid:marinespecies.org:taxname:239720				1904	a2de64da-5399-4cbe-9987-85f8f525d4df	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	532	-2074032000000	-2074032000000	-2074032000000	1904	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella setosa	2	1065	1274	1302	1358	379601	379608	1562	134570	239720	239720	Ammothella setosa	['DEPTH_EXCEEDS_BATH']	33	5301	15.46	33.45	https://marineinfo.org/id/dataset/5184	12	2007-06-20 15:52:33	4	WoRMS Editorial Board:WoRMS type localities:sm_id_1547	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1547	setosa	holotype	Biota	1.0
	HumanObservation	USEPA'S EMAP	29658	CAL03		33.4570007324	-119.106002808		2003-08-19T12:00:00Z			EMAP_NCA			168.0	168		Ammothella setosa		urn:lsid:marinespecies.org:taxname:239720				2003	c571f762-8479-4b8d-8a33-1af93d03f4b2	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	168	1061251200000	1061251200000	1061251200000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella setosa	2	1065	1274	1302	1358	379601	379608	1562	134570	239720	239720	Ammothella setosa	[]	166	5258	16.46	33.47		19		8							
