basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	individualCount	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	maximumDepthInMeters	minimumDepthInMeters	month	references	scientificNameAuthorship	typeStatus	year	depth	superdomain	superdomainid
PreservedSpecimen	J45360	Pycnogonida	co119	1000	Australia	-35.0117	118.168	1984-04-15	Callipallenidae	POINT (118.16800 -35.01170)	Pallenella	1	NMV	Animalia	King George Sound, N of False Island	2017-02-09T11:13:48	J45360	present	1	individuals	Arthropoda	Pallenella watsonae	urn:lsid:marinespecies.org:taxname:239550	Unknown	watsonae	species	057f2b3b-6a6c-4283-8cd2-ed33e4847f5b	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	450835200000	450835200000	450835200000	1984	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella watsonae	2	1065	1274	1302	1358	379601	379609	1564	236291	1509519	1509519	Pseudopallene watsonae	['NO_DEPTH']	-5	375	19.29	35.58													
PreservedSpecimen	J45351	Pycnogonida	co119	1000	Australia	-33.98	122.23	1984-04-12	Callipallenidae	POINT (122.23000 -33.98000)	Pallenella	1	NMV	Animalia	Lucky Bay, western end	2017-02-09T11:13:47	J45351	present	1	individuals	Arthropoda	Pallenella watsonae	urn:lsid:marinespecies.org:taxname:239550	Unknown	watsonae	species	1c12c781-3487-43aa-a76f-1149e22a6e82	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	450576000000	450576000000	450576000000	1984	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella watsonae	2	1065	1274	1302	1358	379601	379609	1564	236291	1509519	1509519	Pseudopallene watsonae	['NO_DEPTH', 'ON_LAND']	-23	-891	18.37	35.69													
PreservedSpecimen	J45356	Pycnogonida	co119	1000	Australia	-35.0117	118.168	1984-04-15	Callipallenidae	POINT (118.16800 -35.01170)	Pallenella	2	NMV	Animalia	King George Sound, N of False Island	2017-02-09T11:13:47	J45356	present	2	individuals	Arthropoda	Pallenella watsonae	urn:lsid:marinespecies.org:taxname:239550	Unknown	watsonae	species	1e41a5a2-e992-4119-8ef9-e236c67bda64	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	450835200000	450835200000	450835200000	1984	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella watsonae	2	1065	1274	1302	1358	379601	379609	1564	236291	1509519	1509519	Pseudopallene watsonae	['NO_DEPTH']	-5	375	19.29	35.58													
PreservedSpecimen	J45365	Pycnogonida	co119	1000	Australia	-29.2	114.883	1986-04-24	Callipallenidae	POINT (114.88300 -29.20000)	Pallenella	2	NMV	Animalia	Seven Mile Beach, North of Dongara	2017-02-09T11:13:49	J45365	present	2	individuals	Arthropoda	Pallenella watsonae	urn:lsid:marinespecies.org:taxname:239550	Unknown	watsonae	species	21ab9a6e-da9d-4540-9f97-502f34d13643	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	514684800000	514684800000	514684800000	1986	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella watsonae	2	1065	1274	1302	1358	379601	379609	1564	236291	1509519	1509519	Pseudopallene watsonae	['NO_DEPTH']	1	1399	21.45	35.3													
PreservedSpecimen	J46920	Pycnogonida	co119	1000		-38.801	141.789	1994-05-12	Callipallenidae	POINT (141.78900 -38.80100)	Pallenella	1	NMV	Animalia	Off Portland	2017-02-09T11:20:12	J46920	present	1	individuals	Arthropoda	Pallenella watsonae	urn:lsid:marinespecies.org:taxname:239550	Unknown	watsonae	species	23abc9e7-a442-46bd-8133-32b7231852af	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	768700800000	768700800000	768700800000	1994	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella watsonae	2	1065	1274	1302	1358	379601	379609	1564	236291	1509519	1509519	Pseudopallene watsonae	['NO_DEPTH']	269	44673	15.95	35.53													
PreservedSpecimen	J45357	Pycnogonida	co119	1000	Australia	-34.0	122.2	1984-04-11	Callipallenidae	POINT (122.20000 -34.00000)	Pallenella	1	NMV	Animalia	Thistle Cove, eastern end	2017-02-09T11:13:48	J45357	present	1	individuals	Arthropoda	Pallenella watsonae	urn:lsid:marinespecies.org:taxname:239550	Unknown	watsonae	species	2444135c-adb1-4452-96c5-02ea422c02c7	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	450489600000	450489600000	450489600000	1984	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella watsonae	2	1065	1274	1302	1358	379601	379609	1564	236291	1509519	1509519	Pseudopallene watsonae	['NO_DEPTH']	1	74	18.43	35.69													
PreservedSpecimen	J45364	Pycnogonida	co119	1000	Australia	-35.0117	118.168	1984-04-15	Callipallenidae	POINT (118.16800 -35.01170)	Pallenella	6	NMV	Animalia	King George Sound, N of False Island	2017-02-09T11:13:49	J45364	present	6	individuals	Arthropoda	Pallenella watsonae	urn:lsid:marinespecies.org:taxname:239550	Unknown	watsonae	species	25d11fcc-ab67-4298-a2f3-26afdd53f807	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	450835200000	450835200000	450835200000	1984	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella watsonae	2	1065	1274	1302	1358	379601	379609	1564	236291	1509519	1509519	Pseudopallene watsonae	['NO_DEPTH']	-5	375	19.29	35.58													
PreservedSpecimen	J45367	Pycnogonida	co119	1000	Australia	-29.2667	114.917	1986-04-25	Callipallenidae	POINT (114.91700 -29.26670)	Pallenella	13	NMV	Animalia	Dongara- Port Dennison beach, 300 m offshore	2017-02-09T11:13:49	J45367	present	13	individuals	Arthropoda	Pallenella watsonae	urn:lsid:marinespecies.org:taxname:239550	Unknown	watsonae	species	28a330ef-126a-456e-b6a3-0dfa4c780806	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	514771200000	514771200000	514771200000	1986	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella watsonae	2	1065	1274	1302	1358	379601	379609	1564	236291	1509519	1509519	Pseudopallene watsonae	['NO_DEPTH']	-2	530	21.42	35.31													
PreservedSpecimen	sm_id_2204	Pycnogonida	WoRMS type localities			-35.37	136.85	2004-01-06	Callipallenidae		Pallenella		WoRMS Editorial Board	Animalia	Indian Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2204	present			Arthropoda	Pallenella watsonae	urn:lsid:marinespecies.org:taxname:239550		watsonae		3b3aaf16-13f7-4da2-ad72-a358ea6b8c5c	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1073347200000	1073347200000	1073347200000	2004	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella watsonae	2	1065	1274	1302	1358	379601	379609	1564	236291	1509519	1509519	Pseudopallene watsonae	[]	-14	119	17.23	36.0	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pseudopallene watsonae</i> Staples, 2005. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239550	https://marineinfo.org/id/dataset/5184	6	27.0	15.0	1	http://www.marinespecies.org/aphia.php?p=specdetails&id=2204	Staples, 2005	holotype	2004	21.0	Biota	1.0
PreservedSpecimen	J45363	Pycnogonida	co119	1000	Australia	-35.065	118.042	1984-04-07	Callipallenidae	POINT (118.04200 -35.06500)	Pallenella	1	NMV	Animalia	Breaksea Island, SW corner	2017-02-09T11:13:49	J45363	present	1	individuals	Arthropoda	Pallenella watsonae	urn:lsid:marinespecies.org:taxname:239550	Unknown	watsonae	species	3c423e74-906b-4b09-8b6a-f4102ffd795e	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	450144000000	450144000000	450144000000	1984	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenella watsonae	2	1065	1274	1302	1358	379601	379609	1564	236291	1509519	1509519	Pseudopallene watsonae	['NO_DEPTH']	-19	191	19.31	35.56													
