associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	wrims	flags	bathymetry	shoredistance	sst	sss	datasetID	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	references	specificEpithet	typeStatus	depth	superdomain	superdomainid	recordedBy
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	151131.114528	Invertebrate Zoology: Crustacea	Panama	4	8.91699981689	-77.6669998169	observedindividualcount=1;	1939-04-04T12:00:00Z	Child, C. Allan	1.0	USNM	Caledonia Bay, Shore Near Freshwater Stream	4	Alcohol (Ethanol)	Anoplodactylus monotrema	Stock	urn:lsid:marinespecies.org:taxname:240049	female	North Atlantic Ocean	1939	59f4aafc-c99a-4c69-aea8-ecf2336e6d3f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-970272000000	-970272000000	-970272000000	1939	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus monotrema	2	1065	1274	1302	1358	379601	379610	14469	134592	240049	240049	Anoplodactylus monotrema	True	['NO_DEPTH']	140	1755	28.33	31.49													
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus monotrema</i> Stock, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240049	sm_id_745	WoRMS type localities		16	12.28	-69.13		1973-12-16			WoRMS Editorial Board	Caribbean Sea	12		Anoplodactylus monotrema	Stock, 1979	urn:lsid:marinespecies.org:taxname:240049			1973	cfa350a0-46ed-4fc2-9e89-dae98f47c0be	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	124848000000	124848000000	124848000000	1973	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus monotrema	2	1065	1274	1302	1358	379601	379610	14469	134592	240049	240049	Anoplodactylus monotrema	True	['ON_LAND']	-12	-307	27.63	35.78	https://marineinfo.org/id/dataset/5184	6.0	5.0	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_745	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=745	monotrema	holotype	5.5	Biota	1.0	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228112.180330	Invertebrate Zoology: Crustacea	Belize	29	16.8033294678	-88.0749969482	observedindividualcount=1;	1980-03-29T12:00:00Z	Child, C. Allan	1.0	USNM	Twin Cays, Cut At S End	3	Alcohol (Ethanol)	Anoplodactylus monotrema	Stock	urn:lsid:marinespecies.org:taxname:240049	female	North Atlantic Ocean	1980	ed6b8575-2991-4154-a771-443539b427a7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	323136000000	323136000000	323136000000	1980	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus monotrema	2	1065	1274	1302	1358	379601	379610	14469	134592	240049	240049	Anoplodactylus monotrema	True	[]	19	660	28.13	35.55		36.0	36.0							36.0			G. Hendler
