basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	phylum	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	startDayOfYear	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	Gal-II-265	Pycnogonida	Galathea II	1750.0	https://marineinfo.org/id/dataset/2037	15	-4.0	41.450001	1951-03-15	Ascorhynchidae	Ascorhynchus	ZMUC	Animalia	Off Kenya	1520	1520	2007-10-29 18:31:08	3	urn:catalog:ZMUC:Galathea II:Gal-II-265	. Record published in http://www.zmuc.dk/InverWeb/Galathea/Pdf_filer/Volume_02/galathea-vol.02-pp_167-182.pdf	present	Arthropoda	Galathea II Danish Deep Sea Expedition 1950-52	Ascorhynchus glaber	Hoek 1881	urn:lsid:marinespecies.org:taxname:239881	glaber	74	1951	c115b61d-edf7-4204-b91a-c5f6364110eb	3ac81162-1804-43c4-b766-aabe2abcc572	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1520	-593308800000.0	-593308800000.0	-593308800000.0	1951.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus glaber	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239881	239881	Ascorhynchus glaber	[]	2512	167268	27.65	35.18
HumanObservation	34959	Pycnogonida	SOMBASE Pycnogonids				-46.7666015625	45.5166015625		Ascorhynchidae	Ascorhynchus	BAS	Animalia		2514	2514						Arthropoda		Ascorhynchus glaber		urn:lsid:marinespecies.org:taxname:239881				cc1bc88e-ba9a-40fb-b151-8f912d470cc9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2514					False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchus glaber		2	1065	1274	1302	1358	379601	379608	379788	134571	239881	239881	Ascorhynchus glaber	[]	2516	363932	6.03	33.81
