basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	locality	modified	month	occurrenceID	year
HumanObservation	22118	SOMBASE Pycnogonids	-63.4000015259	-62.1665992737	BAS	80	68	Austroraptus praecox	urn:lsid:marinespecies.org:taxname:172967	24285e13-e31b-4a07-9005-f11dda3d6b0d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	74.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus praecox	2	1065	1274	1302	1358	379601	379608	1562	172959	172967	172967	Austroraptus praecox	[]	60	5034	-0.38	33.72							
HumanObservation	22115	SOMBASE Pycnogonids	-72.5333023071	171.433303833	BAS	337	329	Austroraptus praecox	urn:lsid:marinespecies.org:taxname:172967	2519f4d3-568f-4b5f-87e9-3127b3ecaee3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	333.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus praecox	2	1065	1274	1302	1358	379601	379608	1562	172959	172967	172967	Austroraptus praecox	[]	341	38506	-1.68	33.87							
HumanObservation	39327	SOMBASE Pycnogonids	-71.1333007812	-11.5165996552	BAS	123	118	Austroraptus praecox	urn:lsid:marinespecies.org:taxname:172967	2991a5ee-6887-475f-8554-8c6654e1d24c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	120.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus praecox	2	1065	1274	1302	1358	379601	379608	1562	172959	172967	172967	Austroraptus praecox	[]	120	2229	-1.72	33.76							
HumanObservation	479	Weddell Sea macrozoobenthos EASIZ I	-71.13583333	-11.5375	AWI	123	123	Austroraptus praecox	urn:lsid:marinespecies.org:taxname:172967	2c0d35cd-d8e2-4cd5-a1bd-5de1cdcc201d	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	123.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus praecox	2	1065	1274	1302	1358	379601	379608	1562	172959	172967	172967	Austroraptus praecox	[]	118	3015	-1.72	33.76	IMIS:dasid:2432	21	Kapp Norvegia area	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:479	1996
HumanObservation	22114	SOMBASE Pycnogonids	-62.6833000183	-54.7165985107	BAS	220	210	Austroraptus praecox	urn:lsid:marinespecies.org:taxname:172967	2ed1fa5e-906f-41cd-91e1-5bc1af391544	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	215.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus praecox	2	1065	1274	1302	1358	379601	379608	1562	172959	172967	172967	Austroraptus praecox	[]	216	50908	-1.42	33.77							
HumanObservation	34468	SOMBASE Pycnogonids	-71.2833023071	170.233306885	BAS	91	91	Austroraptus praecox	urn:lsid:marinespecies.org:taxname:172967	31f04f9a-6140-4f8b-8f84-3dbda4ccac8e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	91.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus praecox	2	1065	1274	1302	1358	379601	379608	1562	172959	172967	172967	Austroraptus praecox	[]	61	752	-1.68	34.02							
HumanObservation	34721	SOMBASE Pycnogonids	-54.0666999817	-36.4500007629	BAS	178	155	Austroraptus praecox	urn:lsid:marinespecies.org:taxname:172967	3555f522-b655-4ee4-8470-c7bc60ca78a1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	166.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus praecox	2	1065	1274	1302	1358	379601	379608	1562	172959	172967	172967	Austroraptus praecox	[]	172	12680	1.81	33.77							
HumanObservation	34217	SOMBASE Pycnogonids	-66.5	139.0	BAS	250	0	Austroraptus praecox	urn:lsid:marinespecies.org:taxname:172967	4307471f-dca6-4624-8889-59d4a8ace3af	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	125.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus praecox	2	1065	1274	1302	1358	379601	379608	1562	172959	172967	172967	Austroraptus praecox	[]	283	7011	-1.68	33.95							
HumanObservation	38917	SOMBASE Pycnogonids	-66.5333023071	92.9832992554	BAS	42	42	Austroraptus praecox	urn:lsid:marinespecies.org:taxname:172967	51f279c1-cb45-4488-b6e2-aada44dfcc43	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	42.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus praecox	2	1065	1274	1302	1358	379601	379608	1562	172959	172967	172967	Austroraptus praecox	[]	388	205	-1.56	33.71							
HumanObservation	34391	SOMBASE Pycnogonids	-65.7667007446	93.2166976929	BAS	109	109	Austroraptus praecox	urn:lsid:marinespecies.org:taxname:172967	5affa6bc-58a1-4934-aadb-97e800b1b8b7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	109.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus praecox	2	1065	1274	1302	1358	379601	379608	1562	172959	172967	172967	Austroraptus praecox	[]	116	24023	-1.56	33.79							
