basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	scientificName	scientificNameID	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth	continent	coordinateUncertaintyInMeters	country	datasetName	day	eventDate	footprintWKT	geodeticDatum	language	locationID	modified	month	occurrenceID	occurrenceStatus	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	year	typeStatus	bibliographicCitation	eventID	individualCount	locality	occurrenceRemarks	startDayOfYear	waterBody	date_start	date_mid	date_end	date_year	superdomain	superdomainid
HumanObservation	34198	SOMBASE Pycnogonids	-48.3333015442	166.083297729	BAS	Cheilopallene trappa	urn:lsid:marinespecies.org:taxname:240154	04e39193-67cf-43cb-87d6-6ead42206262	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cheilopallene	Cheilopallene trappa	2	1065	1274	1302	1358	379601	379609	1564	173055	240154	240154	Cheilopallene trappa	['NO_DEPTH']	2014	42552	11.45	34.67																																						
HumanObservation	34032	SOMBASE Pycnogonids	-46.5833015442	165.966598511	BAS	Cheilopallene trappa	urn:lsid:marinespecies.org:taxname:240154	88693199-9491-40b5-820c-68ebe75558ac	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cheilopallene	Cheilopallene trappa	2	1065	1274	1302	1358	379601	379609	1564	173055	240154	240154	Cheilopallene trappa	['DEPTH_EXCEEDS_BATH']	149	67613	12.7	34.81	220.0	159.0	189.5																																			
PreservedSpecimen	4920	NIWA	-46.5833	165.9667	NIWA Invertebrate Collection	Cheilopallene trappa	urn:lsid:marinespecies.org:taxname:240154	9dd22d12-7bfc-43dd-b94a-17fd8e40046d	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cheilopallene	Cheilopallene trappa	2	1065	1274	1302	1358	379601	379609	1564	173055	240154	240154	Cheilopallene trappa	['DEPTH_EXCEEDS_BATH']	149	67607	12.7	34.81	220.0		220.0	Oceania	500	New Zealand	NIWA Invertebrate Collection	23	23/10/1967	POINT (165.9667 -46.5833)	WGS84	en	E820	8/04/2022	10	5d2d1c26-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), Unknown = 1	NZOI	Trawl, Agassiz medium	Clark, 1971	female	trappa	1967														
PreservedSpecimen	492	NIWA	-48.025	166.5833	NIWA Invertebrate Collection	Cheilopallene trappa	urn:lsid:marinespecies.org:taxname:240154	b2cfb6ca-411e-41b5-8d96-d837424ddc50	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cheilopallene	Cheilopallene trappa	2	1065	1274	1302	1358	379601	379609	1564	173055	240154	240154	Cheilopallene trappa	['DEPTH_EXCEEDS_BATH']	-7	297	11.64	34.71	81.0	81.0	81.0	Oceania	500	New Zealand	NIWA Invertebrate Collection	16	16/01/1964	POINT (166.5833 -48.025)	WGS84	en	D156	8/04/2022	1	5e54330a-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 1	NZOI	Dredge, cone mesh with bag	Clark, 1971		trappa	1964	PARATYPE													
HumanObservation	MBIS-urn:catalog:SWPRON:MBIS:3903  Cheilopallene trappa		-48.0188	166.608		Cheilopallene trappa	urn:lsid:marinespecies.org:taxname:240154	f58695e3-2658-43f5-852d-9b8e5efd86ec	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Cheilopallene	Cheilopallene trappa	2	1065	1274	1302	1358	379601	379609	1564	173055	240154	240154	Cheilopallene trappa	['DEPTH_EXCEEDS_BATH']	-51	83	11.58	34.71	16.0	16.0	16.0		200	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	9	1975-02-09	POINT (166.6080 -48.0188)	WGS84	en		2014-09-10	2	urn:catalog:SWPRON:MBIS:3903	present			Scuba diving	Clark, 1972		trappa	1975		W. C. Clark (1977) Pycnogonida from the Snares Islands (note), New Zealand Journal of Marine and Freshwater Research, 11:1, 173-177	1240	3	North side of Punui Bay, Snares Island	Scuba diving	40	Pacific Ocean	161136000000.0	161136000000.0	161136000000.0	1975.0	Biota	1.0
