basisOfRecord	catalogNumber	class	collectionCode	countryCode	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	month	occurrenceID	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid	associatedReferences	dynamicProperties	preparations	recordedBy	sex	typeStatus	lifeStage	verbatimLocality	stateProvince
PreservedSpecimen	2012-1324	Pycnogonida	IU	PG	10	-5.187683	145.825943	2012-12-10T01:00Z	Ammotheidae	PAPUA NIUGINI/PB47	POINT  (145.825943 -5.187683)	Teratonotum	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	N Kranket I.	2015-10-07T20:54Z	12	1019679982	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-1324	Teratonotum stauromatum	Child, 1982	urn:lsid:marinespecies.org:taxname:240276	stauromata	SPECIES	Pacific Ocean	2012	00cb6805-dc70-4e16-878f-6d570edfc0e1	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1355097600000.0	1355097600000.0	1355097600000.0	2012.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Teratonotum stauromatum	2	1065	1274	1302	1358	379601	379608	1562	1645864	1645866	1645866	Ammothella stauromata Child, C.A., 1982	['NO_DEPTH']	92	69	28.9	34.18																		
Occurrence	48294	Pycnogonida	NewCaledonia			-20.7800006866455	167.130004882812		Ammotheidae			Teratonotum				IRD-MNHN	Animalia		Lifou 2000, 1418	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:48294:0x2E6C170001000100	Pantopoda	Arthropoda		Teratonotum stauromatum		urn:lsid:marinespecies.org:taxname:240276					0165b8d1-57d5-4c45-b2d5-fbfeca5538a6	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Teratonotum stauromatum	2	1065	1274	1302	1358	379601	379608	1562	1645864	1645866	1645866	Ammothella stauromata	['ON_LAND']	-33	-90	25.79	35.06	Crosnier A (2003).	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	5.0	1.0	present	3.0	Biota	1.0									
PreservedSpecimen	189275.145048	Pycnogonida	Invertebrate Zoology: Crustacea		12	11.3633298874	162.352783203	1969-10-12T12:00:00Z	Ammotheidae			Teratonotum		Child, C. Allan	1.0	USNM	Animalia		Ralik Chain, Enewetak Atoll, Enewetak Island, Large Pier At N End Of Island		10		Pantopoda	Arthropoda		Teratonotum stauromatum	Child	urn:lsid:marinespecies.org:taxname:240276			North Pacific Ocean	1969	032f1c84-e9a2-46fd-bf6e-506879c5d872	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-6998400000.0	-6998400000.0	-6998400000.0	1969.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Teratonotum stauromatum	2	1065	1274	1302	1358	379601	379608	1562	1645864	1645866	1645866	Ammothella stauromata	[]	2	151	28.54	34.35	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Marshall Islands		1.8	0.3		1.05			National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	Alcohol (Ethanol)	C. Child	male	Holotype			
PreservedSpecimen	284321.227735	Pycnogonida	Invertebrate Zoology: Crustacea		3	-21.3041706085	-174.43888855	1993-11-03T12:00:00Z	Ammotheidae			Teratonotum		Child, C. Allan	23.0	USNM	Animalia		Tongatapu Group, Eua Island, NW Shore, In Surge Zone And Spur And Groove		11		Pantopoda	Arthropoda		Teratonotum stauromatum	Child	urn:lsid:marinespecies.org:taxname:240276			South Pacific Ocean	1993	0544d7fa-4679-4eb3-8fdd-d1bffcb28fc5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	752284800000.0	752284800000.0	752284800000.0	1993.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Teratonotum stauromatum	2	1065	1274	1302	1358	379601	379608	1562	1645864	1645866	1645866	Ammothella stauromata	[]	2596	48613	25.82	35.17	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Tonga		9.0			9.0			National Museum of Natural History, Smithsonian Institution	observedindividualcount=23;	Alcohol (Ethanol)	J. Williams	male; female; male;;		;; juvenile; juvenile		
PreservedSpecimen	2013-18591	Pycnogonida	IU	PG	22	-2.648617	150.668701	2014-06-22T02:00Z	Ammotheidae	KAVIENG 2014/KS57	POINT  (150.668701 -2.648617)	Teratonotum	WGS84	Sabroux R.	1	MNHN	Animalia	CC_BY_4_0	Kavieng Lagoon	2015-07-27T14:00Z	6	1064383864	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2013-18591	Teratonotum stauromatum	Child, 1982	urn:lsid:marinespecies.org:taxname:240276	stauromata	SPECIES	Pacific Ocean	2014	1002a9a6-b1e9-4094-981c-fb06bd442808	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1403395200000.0	1403395200000.0	1403395200000.0	2014.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Teratonotum stauromatum	2	1065	1274	1302	1358	379601	379608	1562	1645864	1645866	1645866	Ammothella stauromata Child, C.A., 1982	['NO_DEPTH']	8	480	29.79	34.47																	N point of Kabotteron I.	
PreservedSpecimen	228572.180734	Pycnogonida	Invertebrate Zoology: Crustacea		6	20.4027805328	121.963890076	1985-06-06T12:00:00Z	Ammotheidae			Teratonotum		Child, C. Allan	2.0	USNM	Animalia		Batan Islands, Batan Island, Mananioy Bay, Tide Pools At Rock Pinnacle		6		Pantopoda	Arthropoda		Teratonotum stauromatum	Child	urn:lsid:marinespecies.org:taxname:240276			North Pacific Ocean	1985	3bb2207e-f688-4ac3-93fc-54a3813ab3da	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	486864000000.0	486864000000.0	486864000000.0	1985.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Teratonotum stauromatum	2	1065	1274	1302	1358	379601	379608	1562	1645864	1645866	1645866	Ammothella stauromata	[]	-20	172	27.76	34.37	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Philippines		1.5			1.5			National Museum of Natural History, Smithsonian Institution	observedindividualcount=2;	Alcohol (Ethanol)	C. Child	male; female				Batanes
PreservedSpecimen	2008-20559	Pycnogonida	IU	NC		-20.78167	167.13167		Ammotheidae	LIFOU 2000/1418	POINT  (167.13167 -20.78167)	Teratonotum	WGS84		1	MNHN	Animalia	CC_BY_4_0	Lifou	2015-06-19T21:23Z		462403493	Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20559	Teratonotum stauromatum	Child, 1982	urn:lsid:marinespecies.org:taxname:240276	stauromata	SPECIES	Pacific Ocean		4763b52a-ae99-4c06-9f59-aa3b4c6644e0	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Teratonotum stauromatum	2	1065	1274	1302	1358	379601	379608	1562	1645864	1645866	1645866	Ammothella stauromata Child, C.A., 1982	['NO_DEPTH']	-33	134	25.79	35.06																	Baie du Santal, à  l'est de la Pointe d'Easo	
PreservedSpecimen	189277.145050	Pycnogonida	Invertebrate Zoology: Crustacea		29	11.3644399643	162.354171753	1969-09-29T12:00:00Z	Ammotheidae			Teratonotum		Child, C. Allan	7.0	USNM	Animalia		Ralik Chain, Enewetak Atoll, Enewetak Island, Small Pier At N End Of Island		9		Pantopoda	Arthropoda		Teratonotum stauromatum	Child	urn:lsid:marinespecies.org:taxname:240276			North Pacific Ocean	1969	8634bab0-361e-473e-aeca-534d4311f979	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-8121600000.0	-8121600000.0	-8121600000.0	1969.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Teratonotum stauromatum	2	1065	1274	1302	1358	379601	379608	1562	1645864	1645866	1645866	Ammothella stauromata	[]	2	320	28.54	34.35	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Marshall Islands		1.5	1.5		1.5			National Museum of Natural History, Smithsonian Institution	observedindividualcount=7;	Alcohol (Ethanol)	C. Child		Paratype	juvenile		
PreservedSpecimen	284329.227743	Pycnogonida	Invertebrate Zoology: Crustacea		17	-18.7419395447	-174.11000061	1993-11-17T12:00:00Z	Ammotheidae			Teratonotum		Child, C. Allan	9.0	USNM	Animalia		Vava'u Group, Ovaka Island, NW Shore Of Island, Surge Channels Along Rocky Shore		11		Pantopoda	Arthropoda		Teratonotum stauromatum	Child	urn:lsid:marinespecies.org:taxname:240276			South Pacific Ocean	1993	99aaad69-ab8d-413e-88b6-de1b336f43d3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	753494400000.0	753494400000.0	753494400000.0	1993.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Teratonotum stauromatum	2	1065	1274	1302	1358	379601	379608	1562	1645864	1645866	1645866	Ammothella stauromata	[]	-12	161	27.03	35.14	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Tonga		11.0			11.0			National Museum of Natural History, Smithsonian Institution	observedindividualcount=9;	Alcohol (Ethanol)	J. Williams					
PreservedSpecimen	228570.180732	Pycnogonida	Invertebrate Zoology: Crustacea		28	9.07361030579	123.150001526	1979-04-28T12:00:00Z	Ammotheidae			Teratonotum		Child, C. Allan	1.0	USNM	Animalia		Negros Island, Port Siyt, Just S Of Zamboanguita		4		Pantopoda	Arthropoda		Teratonotum stauromatum	Child	urn:lsid:marinespecies.org:taxname:240276			North Pacific Ocean	1979	a0af7405-2add-4cf1-a8f8-3a79dcbde106	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	294105600000.0	294105600000.0	294105600000.0	1979.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Teratonotum stauromatum	2	1065	1274	1302	1358	379601	379608	1562	1645864	1645866	1645866	Ammothella stauromata	[]	-8	23	28.45	32.6	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Philippines		1.5			1.5			National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	Alcohol (Ethanol)	C. Child	female				Negros Oriental
