basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	taxonRank	waterBody	country	maximumDepthInMeters
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Cilunculus pedatus</i> Stock, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239621	sm_id_1844	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	4	-22.31	167.39	1985-09-04	Ammotheidae	Cilunculus	WoRMS Editorial Board	Animalia	Pacific Ocean	825.0	2007-06-20 15:52:33	9	WoRMS Editorial Board:WoRMS type localities:sm_id_1844	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1844	Cilunculus pedatus	Stock, 1991	urn:lsid:marinespecies.org:taxname:239621	pedatus	holotype	1985	1b2787af-46ec-499a-ad63-a035f7945ecf	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	825.0	494640000000.0	494640000000.0	494640000000.0	1985.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus pedatus	1.0	2	1065	1274	1302	1358	379601	379608	1562	134572	239621	239621	Cilunculus pedatus	[]	870	22892	25.01	35.13												
PreservedSpecimen		2007-4602	Pycnogonida	IU			-22.340483	167.390274		Ammotheidae	Cilunculus	MNHN	Animalia	Entre Grande Terre et Ile des Pins		2015-06-19T21:23Z		440013168		Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4602	Cilunculus pedatus	Stock, 1991	urn:lsid:marinespecies.org:taxname:239621	pedatus	HOLOTYPE		82f6fbf2-27b3-45d2-81fb-37bd322b6060	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']						False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus pedatus		2	1065	1274	1302	1358	379601	379608	1562	134572	239621	239621	Cilunculus pedatus Stock, J.H., 1991	['NO_DEPTH']	868	19518	25.0	35.16	NC	BIOCAL/CP75	POINT  (167.390274 -22.340483)	WGS84	Stock	1	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	SPECIES	Pacific Ocean		
PreservedSpecimen		2007-4603	Pycnogonida	IU			-22.340483	167.390274		Ammotheidae	Cilunculus	MNHN	Animalia	Entre Grande Terre et Ile des Pins		2015-06-19T21:23Z		440016254		Pantopoda	Arthropoda	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4603	Cilunculus pedatus	Stock, 1991	urn:lsid:marinespecies.org:taxname:239621	pedatus	PARATYPE		8f366359-896e-4524-823a-f738b2ddf110	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']						False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus pedatus		2	1065	1274	1302	1358	379601	379608	1562	134572	239621	239621	Cilunculus pedatus Stock, J.H., 1991	['NO_DEPTH']	868	19518	25.0	35.16	NC	BIOCAL/CP75	POINT  (167.390274 -22.340483)	WGS84	Stock	1	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	SPECIES	Pacific Ocean		
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21584	Pycnogonida	NewCaledonia	https://marineinfo.org/id/dataset/3128		-22.3099994659424	167.380004882812		Ammotheidae	Cilunculus	IRD-MNHN	Animalia	Biocal, CP75	825.0	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:21584:0x2C79170001000800	present	Pantopoda	Arthropoda		Cilunculus pedatus		urn:lsid:marinespecies.org:taxname:239621				d32c2af6-e9d0-462b-96ea-8fe63db95f49	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	842.5					False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus pedatus	1.0	2	1065	1274	1302	1358	379601	379608	1562	134572	239621	239621	Cilunculus pedatus	[]	860	23014	25.01	35.13											Nouvelle Caledonie	860.0
