associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	license	modified	occurrenceID	recordedBy	references	specificEpithet	taxonRank	datasetID	occurrenceStatus	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	143331.107138	Invertebrate Zoology: Crustacea	Japan	31	33.3583297729	135.647216797	observedindividualcount=1;	1906-08-31T12:00:00Z	Stock, Jan H.	1.0	USNM	Honshu Island, From Kobe To Yokohama	1302.0	997.0	8	Alcohol (Ethanol)	Bathypallenopsis paramollis	Stock	urn:lsid:marinespecies.org:taxname:266413	female	Paratype	North Pacific Ocean	1906	0ea78734-518c-4643-8c4f-8f27e0f0cf7b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1149.5	-1998777600000.0	-1998777600000.0	-1998777600000.0	1906.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis paramollis	2	1065	1274	1302	1358	379601	379609	236317	236477	240107	240107	Pallenopsis paramollis	[]	1423	12993	22.91	34.25															
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80556.273430	Invertebrate Zoology: Crustacea	Japan	30	33.3583297729	135.647216797	observedindividualcount=1;	1906-08-30T12:00:00Z	Stock, Jan H.	1.0	USNM	Honshu Island, From Kobe To Yokohama	1097.0	1097.0	8	Alcohol (Ethanol)	Bathypallenopsis paramollis	Stock	urn:lsid:marinespecies.org:taxname:266413	female	Type	North Pacific Ocean	1906	3db1a9f2-936a-499d-a61c-222b28774b1e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1097.0	-1998864000000.0	-1998864000000.0	-1998864000000.0	1906.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis paramollis	2	1065	1274	1302	1358	379601	379609	236317	236477	240107	240107	Pallenopsis paramollis	[]	1423	12993	22.91	34.25															
	PreservedSpecimen		2007-4737	IU			-7.812483	156.888184			Bamber R.	1	MNHN	sortie Vella Gulf					Bathypallenopsis paramollis	(Stock, 1975)	urn:lsid:marinespecies.org:taxname:240107			Pacific Ocean		450f7807-0806-4279-9fa7-255135b12cb7	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis paramollis	2	1065	1274	1302	1358	379601	379609	236317	236477	240107	240107	Bathypallenopsis paramollis (Stock, 1975)	['NO_DEPTH']	643	12247	29.48	34.39	SB	SALOMON 2/CP2268	POINT  (156.888184 -7.812483)	WGS84	CC_BY_4_0	2015-06-19T21:23Z	440016780	Bouchet, Warén & Samadi-IRD	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4737	paramollis	SPECIES				
	Occurrence	Stock JH (1994). Beaufortia 44(3): 17-78.	49190	NewCaledonia	Indonesie		-8.60000038146973	131.550003051758					IRD-MNHN	Karubar, CP72	699.0	676.0			Bathypallenopsis paramollis		urn:lsid:marinespecies.org:taxname:266413					6140eec6-6399-48f0-8d59-3140273ddcea	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	687.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis paramollis	2	1065	1274	1302	1358	379601	379609	236317	236477	240107	240107	Pallenopsis paramollis	[]	768	66436	28.25	34.08						2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:49190:0x3B84170001000600					https://marineinfo.org/id/dataset/3128	present	Biota	1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80555.273429	Invertebrate Zoology: Crustacea	Japan	31	33.3583297729	135.647216797	observedindividualcount=2;	1906-08-31T12:00:00Z	Stock, Jan H.	2.0	USNM	Honshu Island, From Kobe To Yokohama	1302.0	997.0	8	Alcohol (Ethanol)	Bathypallenopsis paramollis	Stock	urn:lsid:marinespecies.org:taxname:266413	male; female	Type	North Pacific Ocean	1906	83a5290f-5b8a-45bf-a06c-105f8477ed34	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1149.5	-1998777600000.0	-1998777600000.0	-1998777600000.0	1906.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis paramollis	2	1065	1274	1302	1358	379601	379609	236317	236477	240107	240107	Pallenopsis paramollis	[]	1423	12993	22.91	34.25															
	PreservedSpecimen		2007-4736	IU			-7.710183	156.409683			Bamber R.	1	MNHN						Bathypallenopsis paramollis	(Stock, 1975)	urn:lsid:marinespecies.org:taxname:240107			Pacific Ocean		af2bce4d-1565-48e6-b728-be36629ac0ee	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis paramollis	2	1065	1274	1302	1358	379601	379609	236317	236477	240107	240107	Bathypallenopsis paramollis (Stock, 1975)	['NO_DEPTH']	210	10427	29.51	34.42	SB	SALOMON 2/CP2246	POINT  (156.409683 -7.710183)	WGS84	CC_BY_4_0	2015-06-19T21:23Z	440016779	Bouchet, Warén & Samadi-IRD	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4736	paramollis	SPECIES				
