associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionID	continent	dateIdentified	day	eventTime	fieldNumber	higherClassification	higherGeography	institutionID	language	license	locationID	maximumDepthInMeters	minimumDepthInMeters	month	nomenclaturalCode	occurrenceID	occurrenceRemarks	otherCatalogNumbers	recordedBy	specificEpithet	startDayOfYear	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	depth	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	13601.99963	Invertebrate Zoology: Crustacea	United States	59.8330001831	-141.5	observedindividualcount=1;	1884-07-02T00:00:00Z	Hilton, W. A.	1.0	USNM	Near Icy Cape	Alcohol (Ethanol)	Tanystylum grossifemorum	Hilton	urn:lsid:marinespecies.org:taxname:379259	Alaska	Type	North Pacific Ocean	1884	cad6ef78-6cc8-43d4-95a5-c50b72f7f317	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2698099200000	-2698099200000	-2698099200000	1884	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum grossifemorum	2	1065	1274	1302	1358	379601	379608	1562	134577	240234	240234	Ammothea grossifemora	['NO_DEPTH']	20	6615	8.38	31.37																														
	PreservedSpecimen		18609	IZ	United States	65.25	-166.6833333333		1976-09-16	Joel Hedgpeth		CAS	Alaska	Fluid-75% EtOH(1)	Tanystylum grossifemorum	Hedgpeth J.W., 1949		Alaska			1976	d96a3ecb-726f-4dbf-8fb5-1547f98cf3a1	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	211680000000	211680000000	211680000000	1976	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum grossifemorum	2	1065	1274	1302	1358	379601	379608	1562	134577	240234	240234	Tanystylum anthomasti	[]	5	7465	2.07	30.56	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	1987-05-12	16	0730 hrs.	032496	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	North America, North Pacific Ocean, United States, Alaska	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	05f5c19c-2598-11ed-aace-005056be1b7a	13.6	12.7	9	ICZN	urn:catalog:CAS:IZ:18609	Spec. notes: 1	C64 #128	Miller Freeman	anthomasti	260	species	Physical Object	16 Sept. 1976	65° 15' N	166° 41' W	13.149999999999999	Biota	1.0
