basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	eventDate	footprintWKT	geodeticDatum	georeferenceSources	identifiedBy	language	locationID	modified	month	occurrenceID	occurrenceStatus	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	specificEpithet	year	countryCode	eventID	fieldNumber	identifiedByID	institutionID	organismQuantity	organismQuantityType	taxonRank	type	verbatimEventDate	date_start	date_mid	date_end	date_year	superdomain	superdomainid	sex
HumanObservation	39024	SOMBASE Pycnogonids	-66.5333023071	92.9832992554	BAS	42	42	Pycnogonum gaini	urn:lsid:marinespecies.org:taxname:173586	039fc121-36a0-4485-90fa-d410ffeb6730	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	42.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gaini	2	1065	1274	1302	1358	379601	379611	1567	134595	173586	173586	Pycnogonum gaini	[]	388	205	-1.56	33.71																																								
PreservedSpecimen	70384	NIWA	-71.714	171.826833	NIWA Invertebrate Collection	541	537	Pycnogonum gaini	urn:lsid:marinespecies.org:taxname:173586	0545f59d-04c1-4c8c-a1c5-eabdd2508dd8	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	539.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gaini	2	1065	1274	1302	1358	379601	379611	1567	134595	173586	173586	Pycnogonum gaini	[]	532	28159	-1.63	34.09	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	4	4/02/2004	LINESTRING (171.826833 -71.714, 171.837667 -71.717833)	WGS84	GPS	Nielsen, Johanna	en	TAN0402/8	8/04/2022	2	6059bbac-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Sled, epibenthic	Bouvier, 1910	gaini	2004																	
PreservedSpecimen	JR17003a_338		-63.8083	-58.0679	BAS	870	844	Pycnogonum gaini	urn:lsid:marinespecies.org:taxname:173586	079b3485-5ae7-42c1-b837-302b18963bb2	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	857.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gaini	2	1065	1274	1302	1358	379601	379611	1567	134595	173586	173586	Pycnogonum gaini	[]	844	3550	-1.41	33.39		286				6	2018-03-06	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	EPSG:4326		Jamie Maxwell	en			3	JR17003a_338	Present	Whole animal in 96% ethanol		Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	Bouvier, 1910	gaini	2018	AQ	JR17003a	JR17003a_046	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	1	individuals	species	PhysicalObject	6/3/2018	1520294400000.0	1520294400000.0	1520294400000.0	2018.0	Biota	1.0	
PreservedSpecimen	8075	NIWA	-75.9333	168.0	NIWA Invertebrate Collection	1132	512	Pycnogonum gaini	urn:lsid:marinespecies.org:taxname:173586	09b4fca6-6ce0-44ca-9558-4ce9a433ff07	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	822.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gaini	2	1065	1274	1302	1358	379601	379611	1567	134595	173586	173586	Pycnogonum gaini	['DEPTH_EXCEEDS_BATH']	495	11472	-1.56	34.25	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection		14	14/01/1965	POINT (168 -75.9333)	WGS84			en	E175	8/04/2022	1	5fb7b76c-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 1	unknown	Trawl, Blake	Bouvier, 1910	gaini	1965																	female
HumanObservation	24002	SOMBASE Pycnogonids	-64.37159729	-61.4715995789	BAS	152	60	Pycnogonum gaini	urn:lsid:marinespecies.org:taxname:173586	0a6ded36-8b99-4d96-ab34-86e9a85bc365	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	106.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gaini	2	1065	1274	1302	1358	379601	379611	1567	134595	173586	173586	Pycnogonum gaini	['DEPTH_EXCEEDS_BATH']	80	513	-0.58	33.89																																								
HumanObservation	34942	SOMBASE Pycnogonids	-65.8000030518	53.2666015625	BAS	209	180	Pycnogonum gaini	urn:lsid:marinespecies.org:taxname:173586	0b1e0f86-ef22-4624-9ddc-a1a247918689	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	194.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gaini	2	1065	1274	1302	1358	379601	379611	1567	134595	173586	173586	Pycnogonum gaini	[]	183	10743	-1.7	33.82																																								
HumanObservation	34946	SOMBASE Pycnogonids	-66.75	62.0499992371	BAS	219	219	Pycnogonum gaini	urn:lsid:marinespecies.org:taxname:173586	0b2fc729-8caa-423e-8a40-c5a4d2b8a5f1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	219.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gaini	2	1065	1274	1302	1358	379601	379611	1567	134595	173586	173586	Pycnogonum gaini	[]	259	46308	-1.62	34.08																																								
HumanObservation	21621	SOMBASE Pycnogonids	-71.0516967773	-11.4250001907	BAS	462	462	Pycnogonum gaini	urn:lsid:marinespecies.org:taxname:173586	0ca0a0ef-4130-4050-80d0-20c2dac8ecf9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	462.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gaini	2	1065	1274	1302	1358	379601	379611	1567	134595	173586	173586	Pycnogonum gaini	[]	455	5901	-1.72	33.76																																								
HumanObservation	23995	SOMBASE Pycnogonids	-61.4150009155	-56.5015983582	BAS	300	300	Pycnogonum gaini	urn:lsid:marinespecies.org:taxname:173586	0dda1969-063e-4b57-aa7c-abeac52874ef	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	300.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gaini	2	1065	1274	1302	1358	379601	379611	1567	134595	173586	173586	Pycnogonum gaini	[]	278	29336	-0.37	33.94																																								
HumanObservation	34476	SOMBASE Pycnogonids	-77.7666015625	166.133300781	BAS	548	548	Pycnogonum gaini	urn:lsid:marinespecies.org:taxname:173586	0e5ab739-90f0-41f2-bcab-f43e0b7b270a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	548.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum gaini	2	1065	1274	1302	1358	379601	379611	1567	134595	173586	173586	Pycnogonum gaini	[]	482	8200	-1.69	34.3																																								
