basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	subphylum	suborder	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	coordinateUncertaintyInMeters	country	datasetName	day	eventDate	eventID	eventRemarks	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	language	maximumDepthInMeters	minimumDepthInMeters	month	recordedBy	samplingProtocol	sex	startDayOfYear	waterBody	year	depth	date_start	date_mid	date_end	date_year	sst	sss	coordinatePrecision	taxonRank
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus breviceps</i> Gordon, 1938. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173003	sm_id_826	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-30.12	147.4	Austrodecidae	Austrodecus	WoRMS Editorial Board	Animalia	Pacific Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_826	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=826	Austrodecus breviceps	Gordon, 1938	urn:lsid:marinespecies.org:taxname:173003	breviceps	holotype	0e086a1d-64d4-400c-83ff-8809f24d9f3d	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Stiripasterida	Austrodecus breviceps	1.0	2	1065	1274	1302	1358	379600	22616	134579	173003	173003	Austrodecus breviceps	['NO_DEPTH', 'ON_LAND']	-126	-516476																															
HumanObservation	Clark, W.C. (1971) Pycnogonida of the Antipodes Islands, New Zealand Journal of Marine and Freshwater Research, 5:3&4, 427-452	MBIS-urn:catalog:SWPRON:MBIS:7625 AM 8-21 Austrodecus breviceps	Pycnogonida			-49.66619	178.81154	Austrodecidae	Austrodecus	CU	Animalia	Reef Point, Antipodes Island	2016-08-30	urn:catalog:SWPRON:MBIS:7625	present	Pantopoda	Arthropoda		Austrodecus breviceps	Gordon, 1938	urn:lsid:marinespecies.org:taxname:173003	breviceps		0ebd9cc9-5e01-4c69-b5af-9f66ce06e3e5	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Biota	Chelicerata	Stiripasterida	Austrodecus breviceps	1.0	2	1065	1274	1302	1358	379600	22616	134579	173003	173003	Austrodecus breviceps	[]	26	94	100	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	26	1969-02-26	2501	associated with bryozoans in a crevice in the reef which separates the large pool on Reef Point from the open sea	AM 8-21	POINT (178.81154 -49.66619)	WGS84	W.C. Clark	1	en	1.0	0.0	2	I. Mannering	Shore collection	m	57	Pacific Ocean	1969	0.5	-26697600000.0	-26697600000.0	-26697600000.0	1969.0	7.81	34.2		
PreservedSpecimen		P.78388	Pycnogonida	co113		-52.566	169.183	Austrodecidae	Austrodecus	AM	Animalia	Campbell Island, Perseverance Harbour, caves east of Divers Point	2017-03-02T13:00:46	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78388	present	Pantopoda	Arthropoda		Austrodecus breviceps		urn:lsid:marinespecies.org:taxname:173003	breviceps		34b66da8-6192-4f42-8bcc-3d67451810af	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Stiripasterida	Austrodecus breviceps		2	1065	1274	1302	1358	379600	22616	134579	173003	173003	Austrodecus breviceps	['NO_DEPTH', 'ON_LAND']	-217	-1096	10000	New Zealand			1980-01-03				POINT (169.18300 -52.56600)										Female					315705600000.0	315705600000.0	315705600000.0	1980.0	7.91	34.36	0.0896	species
PreservedSpecimen		P.77920	Pycnogonida	co113		-54.483	158.95	Austrodecidae	Austrodecus	AM	Animalia	Macquarie Island, Aerial Cove	2017-03-02T12:59:22	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77920	present	Pantopoda	Arthropoda		Austrodecus breviceps		urn:lsid:marinespecies.org:taxname:173003	breviceps		37ad65db-c8db-409b-a645-7235da534bc6	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Stiripasterida	Austrodecus breviceps		2	1065	1274	1302	1358	379600	22616	134579	173003	173003	Austrodecus breviceps	['NO_DEPTH']	285	573	10000	Australia			1978-02-02				POINT (158.95000 -54.48300)										Male					255225600000.0	255225600000.0	255225600000.0	1978.0	5.26	33.92		species
HumanObservation		34394	Pycnogonida	SOMBASE Pycnogonids		-54.5	158.0	Austrodecidae	Austrodecus	BAS	Animalia					Pantopoda	Arthropoda		Austrodecus breviceps		urn:lsid:marinespecies.org:taxname:173003			424e9c37-d351-4e50-af76-7cebebfccf6f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Stiripasterida	Austrodecus breviceps		2	1065	1274	1302	1358	379600	22616	134579	173003	173003	Austrodecus breviceps	['NO_DEPTH']	4111	54697																												5.37	33.93		
PreservedSpecimen		P.77923	Pycnogonida	co113		-64.76366	64.09749	Austrodecidae	Austrodecus	AM	Animalia	Anvers Island, Arthur Harbour, NNE side of Norsel-Humble Channel	2017-03-02T12:59:22	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77923	present	Pantopoda	Arthropoda		Austrodecus breviceps		urn:lsid:marinespecies.org:taxname:173003	breviceps		42de4d92-b32e-4abe-a17d-2d5b4768c1c7	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Stiripasterida	Austrodecus breviceps		2	1065	1274	1302	1358	379600	22616	134579	173003	173003	Austrodecus breviceps	['NO_DEPTH']	3535	285255	10000				1967-02-20				POINT ( 64.09749 -64.76366)															-90374400000.0	-90374400000.0	-90374400000.0	1967.0	-1.31	33.95		species
HumanObservation		22588	Pycnogonida	SOMBASE Pycnogonids		-54.5	158.983306885	Austrodecidae	Austrodecus	BAS	Animalia					Pantopoda	Arthropoda		Austrodecus breviceps		urn:lsid:marinespecies.org:taxname:173003			5356fa5e-31ee-4295-9a98-d699a7b54b1e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False		Chelicerata	Stiripasterida	Austrodecus breviceps		2	1065	1274	1302	1358	379600	22616	134579	173003	173003	Austrodecus breviceps	[]	152	2429														124.0	112.0								118.0					5.23	33.91		
PreservedSpecimen		P.78466	Pycnogonida	co113		-52.533	169.2	Austrodecidae	Austrodecus	AM	Animalia	Campbell Island, Smoothwater Bay, cliffs on north-west side of first bay north-west of Boulder Beach	2017-03-02T13:00:58	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78466	present	Pantopoda	Arthropoda		Austrodecus breviceps		urn:lsid:marinespecies.org:taxname:173003	breviceps		536b2631-e47a-4f52-b2ba-773e87599f8c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Stiripasterida	Austrodecus breviceps		2	1065	1274	1302	1358	379600	22616	134579	173003	173003	Austrodecus breviceps	['NO_DEPTH', 'ON_LAND']	-230	-1329	10000	New Zealand			1980-01-13				POINT (169.20000 -52.53300)										Female					316569600000.0	316569600000.0	316569600000.0	1980.0	7.91	34.36	0.0896	species
PreservedSpecimen		P.44953	Pycnogonida	co113		-52.55	169.166	Austrodecidae	Austrodecus	AM	Animalia	Campbell Island, Perseverance Harbour, east side of Vire Point	2017-03-02T15:50:40	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44953	present	Pantopoda	Arthropoda		Austrodecus breviceps		urn:lsid:marinespecies.org:taxname:173003	breviceps		539508d8-ab5a-4d18-96c9-e0541726d5f7	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Stiripasterida	Austrodecus breviceps		2	1065	1274	1302	1358	379600	22616	134579	173003	173003	Austrodecus breviceps	['NO_DEPTH']	-17	503	10000				1980-01-03				POINT (169.16600 -52.55000)															315705600000.0	315705600000.0	315705600000.0	1980.0	7.92	34.36	0.0896	species
PreservedSpecimen		P.78476	Pycnogonida	co113		-54.49166	158.9625	Austrodecidae	Austrodecus	AM	Animalia	Macquarie Island, Tottan Head, south end of Goat Bay	2017-03-02T13:00:59	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78476	present	Pantopoda	Arthropoda		Austrodecus breviceps		urn:lsid:marinespecies.org:taxname:173003	breviceps		55699e1f-558b-4b55-ae10-f85277d581ab	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Stiripasterida	Austrodecus breviceps		2	1065	1274	1302	1358	379600	22616	134579	173003	173003	Austrodecus breviceps	['NO_DEPTH']	263	1005	10000	Australia			1978-01-30				POINT (158.96250 -54.49166)										Male					254966400000.0	254966400000.0	254966400000.0	1978.0	5.26	33.92		species
