basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	Stn 141 Nymphon pfefferi	Pycnogonida	Discovery Reports	1000	Discovery Expedition Biological Reports	29	-54.2666	-36.4682	1926-12-29	266	Nymphonidae	Stn 141	POINT (-36.4682 -54.2666)	Nymphon	WGS84	1	NIWA	Animalia	en	East Cumberland Bay, South Georgia. 200 yards from shore, under Mt Duse	27	17	2019-03-15	12	5339	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	present	Pantopoda	Arthropoda	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	Nymphon pfefferi	Loman, 1923	urn:lsid:marinespecies.org:taxname:173487	m	pfefferi	363	Atlantic Ocean	1926	001172aa-cc4f-431b-9a21-92304e87ce0c	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	22.0	-1357257600000.0	-1357257600000.0	-1357257600000.0	1926.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon pfefferi	2	1065	1274	1302	1358	379601	379609	1566	134591	173487	173487	Nymphon pfefferi	[]	-19	195	1.82	33.76
HumanObservation	23208	Pycnogonida	SOMBASE Pycnogonids				-54.0015983582	-37.6766014099			Nymphonidae			Nymphon			BAS	Animalia			80	68						Pantopoda	Arthropoda		Nymphon pfefferi		urn:lsid:marinespecies.org:taxname:173487						26eb99b9-2acf-4de1-bdaf-18928118d1d4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	74.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon pfefferi	2	1065	1274	1302	1358	379601	379609	1566	134591	173487	173487	Nymphon pfefferi	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-1	-12	1.75	33.73
HumanObservation	Stn 149 Nymphon pfefferi	Pycnogonida	Discovery Reports	1000	Discovery Expedition Biological Reports	10	-54.2586	-36.4251	1927-01-10	269	Nymphonidae	Stn 149	LINESTRING (-36.4338 -54.235, -36.4163 -54.2822)	Nymphon	WGS84	1	NIWA	Animalia	en	Off mouth of East Cumberland Bay, South Georgia. From 1.15 miles N 76.5° W to 2.62 miles S 11° W of Merton Rock	234	200	2019-03-15	1	5340	Large otter trawl and Net with mesh of 4mm attached to back of trawl	present	Pantopoda	Arthropoda	Large otter trawl and Net with mesh of 4mm attached to back of trawl	Nymphon pfefferi	Loman, 1923	urn:lsid:marinespecies.org:taxname:173487	f	pfefferi	10	Atlantic Ocean	1927	28ad6bdc-9e88-41a1-a1b1-7b487b19d17a	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	217.0	-1356220800000.0	-1356220800000.0	-1356220800000.0	1927.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon pfefferi	2	1065	1274	1302	1358	379601	379609	1566	134591	173487	173487	Nymphon pfefferi	[]	257	1610	1.82	33.76
HumanObservation	23207	Pycnogonida	SOMBASE Pycnogonids				-53.7365989685	-37.9916000366			Nymphonidae			Nymphon			BAS	Animalia			137	128						Pantopoda	Arthropoda		Nymphon pfefferi		urn:lsid:marinespecies.org:taxname:173487						2be1eac1-44ea-442a-a345-710dae34e85d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	132.5					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon pfefferi	2	1065	1274	1302	1358	379601	379609	1566	134591	173487	173487	Nymphon pfefferi	[]	156	28795	1.75	33.76
HumanObservation	Stn 123 Nymphon pfefferi	Pycnogonida	Discovery Reports	1000	Discovery Expedition Biological Reports	15	-54.2042	-36.4137	1926-12-15	14	Nymphonidae	Stn 123	LINESTRING (-36.3952 -54.1598, -36.4322 -54.2486)	Nymphon	WGS84	1	NIWA	Animalia	en	off mouth of Cumberland Bay, South Georgia. From 4.1 miles N 54° E or Larsen Point, to 1.2 miles S 62° W or Merton Rock	250	230	2019-03-15	12	5337	Large otter trawl	present	Pantopoda	Arthropoda	Large otter trawl	Nymphon pfefferi	Loman, 1923	urn:lsid:marinespecies.org:taxname:173487		pfefferi	349	Atlantic Ocean	1926	3346016b-82fb-4eca-884b-7a08d9bff93e	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	240.0	-1358467200000.0	-1358467200000.0	-1358467200000.0	1926.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon pfefferi	2	1065	1274	1302	1358	379601	379609	1566	134591	173487	173487	Nymphon pfefferi	[]	209	4624	1.81	33.77
HumanObservation	23211	Pycnogonida	SOMBASE Pycnogonids				-54.1966018677	-37.6850013733			Nymphonidae			Nymphon			BAS	Animalia			80	68						Pantopoda	Arthropoda		Nymphon pfefferi		urn:lsid:marinespecies.org:taxname:173487						38803b59-a5fc-4f39-8874-1f06fbb5c369	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	74.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon pfefferi	2	1065	1274	1302	1358	379601	379609	1566	134591	173487	173487	Nymphon pfefferi	[]	84	2002	1.75	33.74
HumanObservation	Stn 140 Nymphon pfefferi	Pycnogonida	Discovery Reports	1000	Discovery Expedition Biological Reports	23	-54.134	-36.5737	1926-12-23	104	Nymphonidae	Stn 140	LINESTRING (-36.6333333333333 -54.0333333333333, -36.4833333333333 -54.1916666666667)	Nymphon	WGS84	6	NIWA	Animalia	en	Stromness Harbour to Larsen Point, South Georgia	136	122	2019-03-15	12	5338	Large otter trawl	present	Pantopoda	Arthropoda	Large otter trawl	Nymphon pfefferi	Loman, 1923	urn:lsid:marinespecies.org:taxname:173487		pfefferi	357	Atlantic Ocean	1926	3c2f610f-e91d-4ade-adac-9dc6dd020e46	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	129.0	-1357776000000.0	-1357776000000.0	-1357776000000.0	1926.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon pfefferi	2	1065	1274	1302	1358	379601	379609	1566	134591	173487	173487	Nymphon pfefferi	[]	141	3408	1.82	33.77
HumanObservation	23210	Pycnogonida	SOMBASE Pycnogonids				-54.9315986633	-35.8300018311			Nymphonidae			Nymphon			BAS	Animalia			152	150						Pantopoda	Arthropoda		Nymphon pfefferi		urn:lsid:marinespecies.org:taxname:173487						46789b71-c62e-44fd-af6d-2bd5e29fb0a4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	151.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon pfefferi	2	1065	1274	1302	1358	379601	379609	1566	134591	173487	173487	Nymphon pfefferi	[]	145	10813	1.64	33.76
HumanObservation	34575	Pycnogonida	SOMBASE Pycnogonids				-54.25	-36.5			Nymphonidae			Nymphon			BAS	Animalia			234	200						Pantopoda	Arthropoda		Nymphon pfefferi		urn:lsid:marinespecies.org:taxname:173487						7a6434cd-45be-4f86-b414-75f992f5a053	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	217.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon pfefferi	2	1065	1274	1302	1358	379601	379609	1566	134591	173487	173487	Nymphon pfefferi	['DEPTH_EXCEEDS_BATH']	-47	59	1.82	33.76
HumanObservation	23206	Pycnogonida	SOMBASE Pycnogonids				-53.8499984741	-37.6333007812			Nymphonidae			Nymphon			BAS	Animalia			101	97						Pantopoda	Arthropoda		Nymphon pfefferi		urn:lsid:marinespecies.org:taxname:173487						7a6c0652-797f-4d19-8f33-9642d2fbe29f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	99.0					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon pfefferi	2	1065	1274	1302	1358	379601	379609	1566	134591	173487	173487	Nymphon pfefferi	[]	181	15520	1.75	33.75
