basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	country	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	eventTime	family	fieldNumber	genus	habitat	higherClassification	higherGeography	identifiedBy	institutionCode	institutionID	kingdom	language	license	locality	locationID	month	nomenclaturalCode	occurrenceID	occurrenceRemarks	order	phylum	preparations	recordedBy	scientificName	scientificNameAuthorship	specificEpithet	startDayOfYear	stateProvince	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventID	eventRemarks	geodeticDatum	maximumDepthInMeters	occurrenceStatus	organismQuantity	samplingProtocol	scientificNameID	depth	associatedReferences	bibliographicCitation	dynamicProperties	individualCount	minimumDepthInMeters	sex	waterBody	lifeStage	typeStatus
PreservedSpecimen	10252	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	Mexico	1979-11	3	31.345	-113.6433333333	1969-05-03	0800	Ammotheidae	092846	Ammothella	rock,sand	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	North America, North Pacific Ocean, Mexico, Gulf of California	C.A. Child	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	Pelican Point	06f48b8a-2598-11ed-aace-005056be1b7a	5	ICZN	urn:catalog:CAS:IZ:10252	Identified as female	Pantopoda	Arthropoda	Fluid-75% EtOH(1)|Image(s)(1)	Thomas A. Burch	Ammothella spinifera	Cole, 1904	spinifera	123	Sonora	species	Physical Object	03 May 1969	31° 20.7' N	113° 38.6' W	1969	05581290-2b1c-4a76-9a00-29c62ba283a4	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	-20995200000	-20995200000	-20995200000	1969	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella spinifera	1.0	2	1065	1274	1302	1358	379601	379608	1562	134570	240121	240121	Ammothella spinifera	['NO_DEPTH']	5	134	23.68	35.56																		
PreservedSpecimen		Pycnogonida			America	Mexico	2020-10-29		21.34691667	-90.14761111	2019-02-18		Ammotheidae	B10_PLTO_ARM1_FEB19	Ammothella	Coral reef			Magdalena García	FCMM	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias	Animalia			B10 Reef, Gulf of Mexico				B10-02-2019-0350		Pantopoda	Arthropoda	Ethanol 70%	Lilian Palomino-Alvarez	Ammothella spinifera		spinifera			Species						293f9356-7b89-4e72-b218-8b9187ed30cb	8b681c9d-f925-4a11-930d-d37c07b0560e	['8385435b-bcf5-4bec-b827-8b480163d479']	1550448000000	1550448000000	1550448000000	2019	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella spinifera		2	1065	1274	1302	1358	379601	379608	1562	134570	240121	240121	Ammothella  spinifera	[]	2	21908	26.15	36.32	ARMS-PILOTO-B10-02-2019	ARMS-1	WGS84	7.0	Present	Individuals	ARMS	urn:lsid:marinespecies.org:taxname:240121	7.0									
PreservedSpecimen	172049.128907	Pycnogonida	Invertebrate Zoology: Crustacea			Mexico		2	17.5	-101.333000183	1934-03-02T12:00:00Z		Ammotheidae		Ammothella				Child, C. Allan	USNM		Animalia			Petatlan Bay		3				Pantopoda	Arthropoda	Alcohol (Ethanol)		Ammothella spinifera	Cole			Guerrero						1934	34869a11-7060-41cb-b368-ab7ee6c8572e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1130889600000	-1130889600000	-1130889600000	1934	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella spinifera		2	1065	1274	1302	1358	379601	379608	1562	134570	240121	240121	Ammothella spinifera	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-10	-1927	28.72	33.32				46.0				urn:lsid:marinespecies.org:taxname:240121	46.0	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0	46.0	male	North Pacific Ocean		
PreservedSpecimen	172045.128903	Pycnogonida	Invertebrate Zoology: Crustacea			Mexico			31.3330001831	-113.583000183	1972-06-30T12:00:00Z		Ammotheidae		Ammothella				Child, C. Allan	USNM		Animalia			Puerto Penasco		6				Pantopoda	Arthropoda	Alcohol (Ethanol)	M. Joerger	Ammothella spinifera	Cole			Sonora						1972	52a7debd-efe6-4d2f-a58e-4b3022155a8e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	78710400000	78710400000	78710400000	1972	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella spinifera		2	1065	1274	1302	1358	379601	379608	1562	134570	240121	240121	Ammothella spinifera	['NO_DEPTH', 'ON_LAND']	-6	-1053	23.62	35.56								urn:lsid:marinespecies.org:taxname:240121		National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0		male	North Pacific Ocean		
PreservedSpecimen		Pycnogonida			America	Mexico	2020-10-31		21.34691667	-90.14761111	2019-02-18		Ammotheidae	B10_PLTO_ARM1_FEB19	Ammothella	Coral reef			Magdalena García	FCMM	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias	Animalia			B10 Reef, Gulf of Mexico				B10-02-2019-0352		Pantopoda	Arthropoda	Ethanol 70%	Lilian Palomino-Alvarez	Ammothella spinifera		spinifera			Species						5ae44f29-f224-4d88-9a3e-f3530b4e00a4	8b681c9d-f925-4a11-930d-d37c07b0560e	['8385435b-bcf5-4bec-b827-8b480163d479']	1550448000000	1550448000000	1550448000000	2019	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella spinifera		2	1065	1274	1302	1358	379601	379608	1562	134570	240121	240121	Ammothella spinifera	[]	2	21908	26.15	36.32	ARMS-PILOTO-B10-02-2019	ARMS-1	WGS84	7.0	Present	Individuals	ARMS	urn:lsid:marinespecies.org:taxname:240121	7.0									
PreservedSpecimen		Pycnogonida			America	Mexico	2020-11-01		21.34691667	-90.14761111	2019-02-18		Ammotheidae	B10_PLTO_ARM1_FEB19	Ammothella	Coral reef			Magdalena García	FCMM	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias	Animalia			B10 Reef, Gulf of Mexico				B10-02-2019-0353		Pantopoda	Arthropoda	Ethanol 70%	Lilian Palomino-Alvarez	Ammothella spinifera		spinifera			Species						8408e208-ab42-4408-b3e6-d03d6d4b3d55	8b681c9d-f925-4a11-930d-d37c07b0560e	['8385435b-bcf5-4bec-b827-8b480163d479']	1550448000000	1550448000000	1550448000000	2019	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella spinifera		2	1065	1274	1302	1358	379601	379608	1562	134570	240121	240121	Ammothella spinifera	[]	2	21908	26.15	36.32	ARMS-PILOTO-B10-02-2019	ARMS-1	WGS84	7.0	Present	Individuals	ARMS	urn:lsid:marinespecies.org:taxname:240121	7.0									
PreservedSpecimen	107490.80079	Pycnogonida	Invertebrate Zoology: Crustacea			United States		8	32.7000007629	-117.150001526	1895-07-08T12:00:00Z		Ammotheidae		Ammothella				Cole, L. J.	USNM		Animalia			San Diego		7				Pantopoda	Arthropoda	Alcohol (Ethanol); Slide	S. Holmes	Ammothella spinifera	Cole			California						1895	a1c939ca-ad0c-49b5-b1d9-955adcd904a6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2350512000000	-2350512000000	-2350512000000	1895	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella spinifera		2	1065	1274	1302	1358	379601	379608	1562	134570	240121	240121	Ammothella spinifera	['NO_DEPTH', 'ON_LAND']	29	-371										urn:lsid:marinespecies.org:taxname:240121		National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=2;	2.0			North Pacific Ocean	juvenile	Paratype
PreservedSpecimen		Pycnogonida			America	Mexico	2020-11-04		18.62319444	-87.72558333	2019-03-01		Ammotheidae	MH_PLTO_ARM_3_FEB21	Ammothella	Coral reef			Magdalena García	FCMM	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias	Animalia			Mahahual Reef, Caribbean sea				MAH-02-2019-0153		Pantopoda	Arthropoda	Ethanol 70%	Lilian Palomino-Alvarez	Ammothella spinifera		spinifera			Species						ec872b45-057b-450e-a6b2-810d130a9b9f	8b681c9d-f925-4a11-930d-d37c07b0560e	['8385435b-bcf5-4bec-b827-8b480163d479']	1551398400000	1551398400000	1551398400000	2019	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella spinifera		2	1065	1274	1302	1358	379601	379608	1562	134570	240121	240121	Ammothella  spinifera	[]	-1	571	28.03	34.76	ARMS-PILOTO-MAH-02-2019	ARMS-3	WGS84	4.0	Present	Individuals	ARMS	urn:lsid:marinespecies.org:taxname:240121	4.0									
