basisOfRecord	catalogNumber	decimalLatitude	decimalLongitude	locality	scientificName	scientificNameID	typeStatus	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventDate	institutionCode	occurrenceID	occurrenceStatus	ownerInstitutionCode	references	date_start	date_mid	date_end	date_year
HumanObservation	122653	-9.39999961853	46.5	Aldabra Islands	Nymphon aldabrense	urn:lsid:marinespecies.org:taxname:239902	Accepted	0bfe4ee9-94ea-456e-b893-1e3cae07e631	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aldabrense	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	239902	239902	Nymphon aldabrense	['NO_DEPTH', 'ON_LAND']	-5	-1275	27.11	35.08										
HumanObservation	122653	-9.4	46.5	Aldabra Islands	Nymphon aldabrense	urn:lsid:marinespecies.org:taxname:239902		e3c9c528-fe83-4798-a110-150bde69c59d	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon aldabrense		2	1065	1274	1302	1358	379601	379609	1566	134591	239902	239902	Nymphon aldabrense	['NO_DEPTH', 'ON_LAND']	-6	-1275	27.11	35.08	1988	CMLRE	11517	present	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar	567993600000.0	583718400000.0	599529600000.0	1988.0
