associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	maximumDepthInMeters	minimumDepthInMeters	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	62347.264992	Invertebrate Zoology: Crustacea	Canada	48.9169998169	-125.567001343	observedindividualcount=2;	1909-05-31T12:00:00Z	Schmitt, Waldo L.	2.0	USNM	Vancouver Island, Ucluelet	5	Alcohol (Ethanol)	W. Spreadborough	Achelia gracilipes	(Cole)	urn:lsid:marinespecies.org:taxname:240141	British Columbia	North Pacific Ocean	1909	1f37cc55-a013-4911-a771-b37ebcfbaaf1	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1912032000000	-1912032000000	-1912032000000	1909	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia gracilipes	2	1065	1274	1302	1358	379601	379608	1562	134568	240141	240141	Achelia gracilipes	['NO_DEPTH']	37	1507	10.61	29.59				
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80887.273612	Invertebrate Zoology: Crustacea	United States	58.5250015259	-157.570831299	observedindividualcount=4;	1890-06-02T12:00:00Z	Hilton, W. A.	4.0	USNM	Bristol Bay	6	Alcohol (Ethanol)		Achelia gracilipes	(Cole)	urn:lsid:marinespecies.org:taxname:240141	Alaska	North Pacific Ocean	1890	a097bd9d-533d-4fa9-8e00-1b20dc6eff64	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-2511388800000	-2511388800000	-2511388800000	1890	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia gracilipes	2	1065	1274	1302	1358	379601	379608	1562	134568	240141	240141	Achelia gracilipes	[]	15	7050	4.63	24.66	2	18.0	18.0	18.0
