associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234701.186423	Invertebrate Zoology: Crustacea	15	-54.533000946	158.983001709	observedindividualcount=1;	1967-02-15T12:00:00Z	USARP/EL/27/1974/USC	Child, C. Allan	1.0	USNM	Macquarie Island, off Island	124.0	112.0	2	Alcohol (Ethanol)	University of Southern California	Phoxichilidium pyrgodum	Child	urn:lsid:marinespecies.org:taxname:240421	male	Holotype	South Pacific Ocean	1967	20355b07-9184-46b3-95cd-93ae523f88a2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118.0	-90806400000.0	-90806400000.0	-90806400000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium pyrgodum	2	1065	1274	1302	1358	379601	379610	14469	134594	240421	240421	Phoxichilidium pyrgodum	[]	557	2928	5.23	33.91									
	HumanObservation		39650	SOMBASE Pycnogonids		-54.4000015259	159.016601562						BAS		93.0	79.0				Phoxichilidium pyrgodum		urn:lsid:marinespecies.org:taxname:240421					40374534-15ce-477b-8257-d16dcdfd11f0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	86.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium pyrgodum	2	1065	1274	1302	1358	379601	379610	14469	134594	240421	240421	Phoxichilidium pyrgodum	[]	692	4033	5.32	33.92									
	HumanObservation		39649	SOMBASE Pycnogonids		-54.5	158.983306885						BAS		124.0	112.0				Phoxichilidium pyrgodum		urn:lsid:marinespecies.org:taxname:240421					675d9284-b750-463e-9ddc-2591eb879e82	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium pyrgodum	2	1065	1274	1302	1358	379601	379610	14469	134594	240421	240421	Phoxichilidium pyrgodum	[]	152	2429	5.23	33.91									
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Phoxichilidium pyrgodum</i> Child, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240421	sm_id_2170	WoRMS type localities	10	-54.4	159.02		1965-02-10				WoRMS Editorial Board	Tasman Sea	93.0	79.0	2			Phoxichilidium pyrgodum	Child, 1995	urn:lsid:marinespecies.org:taxname:240421		holotype		1965	f0c3e6b8-67d8-4476-8570-a2514b11872f	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	86.0	-154310400000.0	-154310400000.0	-154310400000.0	1965.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium pyrgodum	2	1065	1274	1302	1358	379601	379610	14469	134594	240421	240421	Phoxichilidium pyrgodum	[]	1042	4121	5.32	33.92	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2170	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=2170	pyrgodum	Biota	1.0	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234702.186424	Invertebrate Zoology: Crustacea	15	-54.533000946	158.983001709	observedindividualcount=8;	1967-02-15T12:00:00Z	USARP/EL/27/1974/USC	Child, C. Allan	8.0	USNM	Macquarie Island, off Island	124.0	112.0	2	Alcohol (Ethanol)	University of Southern California	Phoxichilidium pyrgodum	Child	urn:lsid:marinespecies.org:taxname:240421	male; female;;	Paratype	South Pacific Ocean	1967	f549696d-7ba9-42e2-81f9-484efe276721	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	118.0	-90806400000.0	-90806400000.0	-90806400000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium pyrgodum	2	1065	1274	1302	1358	379601	379610	14469	134594	240421	240421	Phoxichilidium pyrgodum	[]	557	2928	5.23	33.91									;; juvenile
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234703.186425	Invertebrate Zoology: Crustacea	10	-54.408000946	159.007995605	observedindividualcount=1;	1965-02-10T12:00:00Z		Child, C. Allan	1.0	USNM	Macquarie Island			2	Alcohol (Ethanol)	University of Southern California	Phoxichilidium pyrgodum	Child	urn:lsid:marinespecies.org:taxname:240421	male	Paratype	South Pacific Ocean	1965	f57c6b85-a988-462c-a760-71cc002ea575	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-154310400000.0	-154310400000.0	-154310400000.0	1965.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium pyrgodum	2	1065	1274	1302	1358	379601	379610	14469	134594	240421	240421	Phoxichilidium pyrgodum	['NO_DEPTH']	385	4726	5.32	33.92									
