basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	subfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	coordinateUncertaintyInMeters	country	footprintWKT	maximumDepthInMeters	minimumDepthInMeters	organismQuantity	organismQuantityType	taxonRank	depth	accessRights	datasetName	day	disposition	endDayOfYear	geodeticDatum	identifiedBy	individualCount	island	language	license	month	originalNameUsage	ownerInstitutionCode	preparations	rightsHolder	startDayOfYear	type	verbatimCoordinates	verbatimDepth	verbatimEventDate	verbatimLatitude	verbatimLocality	verbatimLongitude	waterBody	year	sex	associatedReferences	dynamicProperties	recordedBy	stateProvince
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Endeis biseriata</i> Stock, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239859	sm_id_1880	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-1.4	130.97	1889-08-10/1889-08-20	Endeidae	Endeis	WoRMS Editorial Board	Animalia	Pacific Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1880	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1880	Endeis biseriata	Stock, 1968	urn:lsid:marinespecies.org:taxname:239859	biseriata	holotype	0bee9fbf-799b-4525-8600-953e7e445fef	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-2536963200000.0	-2536531200000.0	-2536099200000.0	1889.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis biseriata	1.0	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239859	239859	Endeis biseriata	['NO_DEPTH', 'ON_LAND']	-14.0	-137	29.03	33.53																																									
HumanObservation		1820A5DF-3A5D-4A12-96AE-CE2E66D9E2E5	Pycnogonida	CReefs - Lizard Island 2009		-14.66428	145.7533	2009-02-27	Endeidae	Endeis	AIMS	Animalia		2018-07-13T09:31:17	1820A5DF-3A5D-4A12-96AE-CE2E66D9E2E5	present	Pantopoda	Arthropoda		Endeis biseriata	Stock, 1968	urn:lsid:marinespecies.org:taxname:239859			20c96e81-35cb-4a67-a384-d81788dbd952	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	1235692800000.0	1235692800000.0	1235692800000.0	2009.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis biseriata	1.0	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239859	239859	Endeis biseriata	[]	1743.69	27066	26.81	34.86	0.0018	200	Australia	POINT (145.75330 -14.66428)	4.0	4.0	1	individuals	species	4.0																															
PreservedSpecimen		12923	Pycnogonida	S		21.4376	-157.765	2000-01-25	Endeidae	Endeis	BPBM	Animalia	Kaneohe Bay, MCB Feul Dock		342df141-aa3c-4418-91ba-55fc9f5fa637	present	Pantopoda	Arthropoda		Endeis biseriata	Stock, 1968	urn:lsid:marinespecies.org:taxname:239859	biseriata		aa4e517b-0cb8-478f-9f92-5ad39211569a	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	948758400000.0	948758400000.0	948758400000.0	2000.0	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis biseriata		2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239859	239859	Endeis biseriata	[]	-2.0	19	25.31	35.09		100	Hawaiian Islands	POINT (-157.76500 21.43760)	8.0	0.0				4.0	http://www.vertnet.org/resources/norms.html	Bishop Museum Marine Invertebrates Specimens	25	in collection	25	WGS84	C. A. Child	1	Oahu	en	http://creativecommons.org/publicdomain/zero/1.0	1	Endeis biseriata	BPBM	1 alcoholic	Bernice Pauahi Bishop Museum	25	PhysicalObject	"(21° 26' 15.3"" N, 157° 45' 55.1"" W)"	0.50-8.00	2000-01-25	"21°26'15.3""N"	"Pacific Ocean; North Subtropical Oceania; Hawaiian Islands; Oahu; Kaneohe Bay, MCB Feul Dock (21° 26' 15.3"" N, 157° 45' 55.1"" W)"	"157°45'55.1""W"	Pacific Ocean	2000					
HumanObservation		D9C767FE-2224-46D4-939D-9AD62A476B11	Pycnogonida	CReefs - Lizard Island 2009		-14.44803	145.49921	2009-02-27	Endeidae	Endeis	AIMS	Animalia		2018-07-13T09:31:17	D9C767FE-2224-46D4-939D-9AD62A476B11	present	Pantopoda	Arthropoda		Endeis biseriata	Stock, 1968	urn:lsid:marinespecies.org:taxname:239859			e6804857-751b-4711-85f7-f500d0064cd0	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	1235692800000.0	1235692800000.0	1235692800000.0	2009.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis biseriata	1.0	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239859	239859	Endeis biseriata	[]	3.24	22552	26.65	34.89	0.0018	200	Australia	POINT (145.49921 -14.44803)	15.0	15.0	1	individuals	species	15.0																															
PreservedSpecimen		P.45165	Pycnogonida	co113		-10.183	142.266		Endeidae	Endeis	AM	Animalia	Moa Island, Torres Strait	2017-03-02T15:51:19	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45165	present	Pantopoda	Arthropoda		Endeis biseriata		urn:lsid:marinespecies.org:taxname:239859	biseriata		e937034e-ded9-420b-a35f-65e03a302b57	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']					False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis biseriata		2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239859	239859	Endeis biseriata	['NO_DEPTH', 'ON_LAND']	-25.4	-6268	27.45	34.53		10000	Australia	POINT (142.26600 -10.18300)					species																												Male				
HumanObservation		C5B72F01-7F9A-45F7-9367-A4FF80D3A8F2	Pycnogonida	CReefs - Lizard Island 2009		-14.3627	145.37225	2009-02-27	Endeidae	Endeis	AIMS	Animalia		2018-07-13T09:31:17	C5B72F01-7F9A-45F7-9367-A4FF80D3A8F2	present	Pantopoda	Arthropoda		Endeis biseriata	Stock, 1968	urn:lsid:marinespecies.org:taxname:239859			eac43aa6-be76-4b7c-8c2d-991b25e64f91	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	1235692800000.0	1235692800000.0	1235692800000.0	2009.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis biseriata	1.0	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239859	239859	Endeis biseriata	[]	272.31	32781	26.67	34.89	0.0018	200	Australia	POINT (145.37225 -14.36270)	3.0	3.0	4	individuals	species	3.0																															
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228598.180760	Pycnogonida	Invertebrate Zoology: Crustacea		9.08889007568	123.275001526	1979-05-10T12:00:00Z	Endeidae	Endeis	USNM	Animalia	Negros Island, Apo Island, N End				Pantopoda	Arthropoda		Endeis biseriata	Stock	urn:lsid:marinespecies.org:taxname:239859			f860d368-1b78-4374-a567-0e50467656e5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	295142400000.0	295142400000.0	295142400000.0	1979.0	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis biseriata		2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239859	239859	Endeis biserata	[]	236.0	534	28.42	32.69			Philippines		37.0	37.0				37.0			10				Child, C. Allan	1.0				5			Alcohol (Ethanol)										North Pacific Ocean	1979	male	National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	D. Catada	Negros Oriental
PreservedSpecimen		P.43400	Pycnogonida	co113		-10.9	133.033	1982-10-14	Endeidae	Endeis	AM	Animalia	south side of New Year Island	2017-03-02T16:13:57	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43400	present	Pantopoda	Arthropoda		Endeis biseriata		urn:lsid:marinespecies.org:taxname:239859	biseriata		fc17042d-1a86-4ddd-bf84-f2ed38aeb720	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	403401600000.0	403401600000.0	403401600000.0	1982.0	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Endeinae	Endeis biseriata		2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239859	239859	Endeis biseriata	['NO_DEPTH']	5.0	712	28.1	34.29	0.0896	10000	Australia	POINT (133.03300 -10.90000)					species																												Male				
