basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	day	eventDate	locality	modified	month	occurrenceID	occurrenceStatus	references	scientificNameAuthorship	specificEpithet	typeStatus	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid
HumanObservation	39725	SOMBASE Pycnogonids	-62.6754989624	-60.6491012573	BAS	220.0	220	Austroraptus sicarius	urn:lsid:marinespecies.org:taxname:172968	9a0927e0-7bb5-4bf2-b53e-c92028f6e26a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	220	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus sicarius	2	1065	1274	1302	1358	379601	379608	1562	172959	172968	172968	Austroraptus sicarius	[]	173	2854	-0.39	33.94																				
HumanObservation	39883	SOMBASE Pycnogonids	-67.25	164.330001831	BAS	380.0	380	Austroraptus sicarius	urn:lsid:marinespecies.org:taxname:172968	d1624ddd-75b4-4995-88b9-3b5e15203051	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	380	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus sicarius	2	1065	1274	1302	1358	379601	379608	1562	172959	172968	172968	Austroraptus sicarius	[]	381	11247	-1.7	33.93																				
PreservedSpecimen	sm_id_855	WoRMS type localities	-67.25	164.33	WoRMS Editorial Board		380	Austroraptus sicarius	urn:lsid:marinespecies.org:taxname:172968	d4f2ffab-eec9-4bdf-bfa7-b1e71c144817	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	380	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus sicarius	2	1065	1274	1302	1358	379601	379608	1562	172959	172968	172968	Austroraptus sicarius	[]	381	11247	-1.7	33.93	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austroraptus sicarius</i> Fry & Hedgpeth, 1969. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172968	https://marineinfo.org/id/dataset/5184	15	1957-03-15	Southern Ocean	2007-06-20 15:52:33	3	WoRMS Editorial Board:WoRMS type localities:sm_id_855	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=855	Fry & Hedgpeth, 1969	sicarius	holotype	1957	-403920000000.0	-403920000000.0	-403920000000.0	1957.0	Biota	1.0
