associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	day	dynamicProperties	eventDate	individualCount	month	preparations	recordedBy	sex	stateProvince	typeStatus	year	date_start	date_mid	date_end	date_year	continent	dateIdentified	eventID	eventRemarks	fieldNumber	geodeticDatum	habitat	institutionID	occurrenceID	occurrenceStatus	organismQuantity	samplingProtocol	specificEpithet	taxonRank
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-047_C1	B89PII	249350.0	23.0251464844	-82.887260437	Child, C. A.	HRI	ESE  Gulf of Mexico	0.0	0.0	Database description and disclaimer at: http://gulfbase.org/	Anoplodactylus jonesi	Child,	urn:lsid:marinespecies.org:taxname:240028	0-0	Gulf of Mexico	2c3fd995-dace-48dc-8373-2041632aa45c	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus jonesi	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	240028	240028	Anoplodactylus jonesi	[]	126	466	27.69	35.98																														
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	150619.114009	Invertebrate Zoology: Crustacea		24.5486106873	-81.8102798462	Child, C. Allan	USNM	Florida Keys, Key West, Off Fort Taylor				Anoplodactylus jonesi	Child	urn:lsid:marinespecies.org:taxname:240028		North Atlantic Ocean	85db3a12-749a-4dfa-ba74-016f856d806e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus jonesi		2	1065	1274	1302	1358	379601	379610	14469	134592	240028	240028	Anoplodactylus jonesi	['NO_DEPTH', 'ON_LAND']	3	-126	26.7	36.1	United States	21	observedindividualcount=1;	1963-06-21T12:00:00Z	1.0	6	Alcohol (Ethanol)	M. Jones	male	Florida	Holotype	1963	-206150400000.0	-206150400000.0	-206150400000.0	1963.0														
	PreservedSpecimen					21.34691667	-90.14761111	Magdalena García	FCMM	B10 Reef, Gulf of Mexico	7.0			Anoplodactylus jonesi		urn:lsid:marinespecies.org:taxname:240028			8835ff73-0b6f-4230-8546-53be380c8631	8b681c9d-f925-4a11-930d-d37c07b0560e	['8385435b-bcf5-4bec-b827-8b480163d479']	7.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus jonesi		2	1065	1274	1302	1358	379601	379610	14469	134592	240028	240028	Anoplodactylus jonesi 	[]	2	21908	26.15	36.32	Mexico			2019-02-18			Ethanol 70%	Lilian Palomino-Alvarez					1550448000000.0	1550448000000.0	1550448000000.0	2019.0	America	2020-10-30	ARMS-PILOTO-B10-02-2019	ARMS-1	B10_PLTO_ARM1_FEB19	WGS84	Coral reef	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias	B10-02-2019-0351	Present	Individuals	ARMS	jonesi 	Species
