basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceRemarks	scientificName	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	identifiedBy	individualCount	preparations	recordedBy	scientificNameAuthorship
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	61020200990114W41201040101	BENTHIC HABITAT STUDY	United States	28	44	-67	observedweight=0;observedindividualcount=1;	1961-06-28T12:00:00Z	61020200990114	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum005	119	119	6	Gear Type: 1-METER NAT. DREDGE	Nymphon giltayi	urn:lsid:marinespecies.org:taxname:239809	North Atlantic Ocean	1961	2a68e044-8529-4223-9167-a77d90dab9ce	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	119	-268617600000	-268617600000	-268617600000	1961	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon giltayi	2	1065	1274	1302	1358	379601	379609	1566	134591	239809	239809	Nymphon giltayi	[]	162	53933	9.26	31.55						
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1037005.831509	Invertebrate Zoology		28	44	-67	temperature=5.3;observedindividualcount=1;	1961-06-28T12:00:00Z		USNM		119	119	6		Nymphon giltayi	urn:lsid:marinespecies.org:taxname:239809	North Atlantic Ocean	1961	95c0e0a1-c071-4669-a54d-9650657bdb6d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	119	-268617600000	-268617600000	-268617600000	1961	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon giltayi	2	1065	1274	1302	1358	379601	379609	1566	134591	239809	239809	Nymphon giltayi	[]	162	53933	9.26	31.55	National Museum of Natural History, Smithsonian Institution	United States National Marine Fisheries Service	1.0	Alcohol (Ethanol)	United States National Marine Fisheries Service	Hedgpeth
