associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	footprintWKT	modified	occurrenceID
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	128241.92375	Invertebrate Zoology: Crustacea	Argentina	29	-37.5830001831	-54.8950004578	observedindividualcount=3;	1961-12-29T12:00:00Z	Stock, Jan H.	3.0	USNM	Rio De La Plata, Off Mouth	270.0	220.0	12	Alcohol (Ethanol)	Colossendeis geoffroyi	Mane-Garzon	urn:lsid:marinespecies.org:taxname:239672	South Atlantic Ocean	1961	00cd8c62-0c68-4448-bb8a-fdbffc2962a6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	245.0	-252720000000.0	-252720000000.0	-252720000000.0	1961.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis geoffroyi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239672	239672	Colossendeis geoffroyi	['DEPTH_EXCEEDS_BATH']	163	175158	13.82	33.62				
	Occurrence	Scarabino, F., 2006. Faunistica y taxonomia de invertebrados bentonicos marinos y estuarinos de la costa uruguaya. In Bases para la conservacion y el manejo de la costa uruguaya, (eds. R. Menafra, L. Rodriguez-Gallego, F. Scarabino and D. Conde), pp. 143-156. Montevideo: Vida Silvestre Uruguay.	CNP-MARINEINVER-678	CNP-MARINEINVER	Uruguay		-34.349998	-55.939999					CENPAT-CONICET	Costa uruguaya					Colossendeis geoffroyi	Mañé-Garzon, 1944				04ef05fe-1e45-4963-a449-6821fcc4bd35	b1f8bc4c-5427-40c8-8728-aad4d463b944	['464a96d8-c17e-4bbb-b6b8-778e1fb687c4']						False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis geoffroyi	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239672	239672	Colossendeis geoffroyi	['NO_DEPTH', 'ON_LAND']	-41	-111366			235454	POLYGON ((-58.400002 -33.75, -53.48 -33.75, -53.48 -34.950001, -58.400002 -34.950001, -58.400002 -33.75))	2015-09-01T09:17:00	urn:catalog:CENPAT-CONICET:CNP-MARINEINVER:CNP-MARINEINVER-678
