associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183810.139739	Invertebrate Zoology: Crustacea	Japan	3	34.8899993896	139.158325195	observedindividualcount=1;	1971-02-03T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM	Honshu Island, Sagami Bay	174	160	2	Alcohol (Ethanol)	Cilunculus haradai	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239510	male	Shizuoka	Holotype	North Pacific Ocean	1971	8bd0a28e-45c1-4b95-9732-b5c9f70e253a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	167	34387200000	34387200000	34387200000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus haradai	2	1065	1274	1302	1358	379601	379608	1562	134572	239510	239510	Cilunculus haradai	[]	231	1605	20.25	33.75	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183811.139740	Invertebrate Zoology: Crustacea	Japan	17	35.0149993896	139.143325806	observedindividualcount=15;	1969-07-17T12:00:00Z	Nakamura, K., Child, C. Allan	15.0	USNM	Honshu Island, Sagami Bay	113	113	7	Alcohol (Ethanol)	Cilunculus haradai	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239510	male; female;;	Shizuoka	Paratype	North Pacific Ocean	1969	db632b49-7e6e-4cbf-9d8d-5bcf8eab254d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	113	-14515200000	-14515200000	-14515200000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Cilunculus	Cilunculus haradai	2	1065	1274	1302	1358	379601	379608	1562	134572	239510	239510	Cilunculus haradai	[]	123	3271	20.11	33.51	;; juvenile
