associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinatePrecision	decimalLatitude	decimalLongitude	identifiedBy	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	scientificName	scientificNameAuthorship	scientificNameID	verbatimDepth	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	country	day	dynamicProperties	eventDate	individualCount	month	preparations	sex	stateProvince	typeStatus	year	date_start	date_mid	date_end	date_year	coordinateUncertaintyInMeters	datasetID	footprintWKT	modified	occurrenceID	occurrenceStatus	references	specificEpithet
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-056_C3	B89PII	248810.0	23.0265483856	-82.8923110962	Child, C. A.	HRI	ESE  Gulf of Mexico	180.0	180	Database description and disclaimer at: http://gulfbase.org/	Anoplodactylus simulator	Stock,	urn:lsid:marinespecies.org:taxname:239818	180-180	Gulf of Mexico	47ffab94-a7c1-4ab2-bd37-85e3dff3cebf	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	180	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus simulator	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	239818	239818	Anoplodactylus simulator	['DEPTH_EXCEEDS_BATH']	109	644	27.69	35.98																							
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	149228.112744	Invertebrate Zoology: Crustacea		24.3999996185	-81.4329986572	Stock, Jan H.	USNM	Straits Of Florida, SE Of Key West	176.0	176		Anoplodactylus simulator	Stock	urn:lsid:marinespecies.org:taxname:239818		North Atlantic Ocean	eb89f405-25ee-49df-ba49-2710011b227b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	176	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus simulator		2	1065	1274	1302	1358	379601	379610	14469	134592	239818	239818	Anoplodactylus simulator	[]	177	23455	27.11	36.03	United States	15	observedindividualcount=1;	1964-09-15T12:00:00Z	1.0	9	Alcohol (Ethanol)	male	Florida	Holotype	1964	-167097600000.0	-167097600000.0	-167097600000.0	1964.0								
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus simulator</i> Stock, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239818	sm_id_762	WoRMS type localities		24.41	-81.42500000000001		WoRMS Editorial Board	Florida Strait		176		Anoplodactylus simulator	Stock, 1975	urn:lsid:marinespecies.org:taxname:239818			fcb4a4e7-857c-4a81-8cb9-a6a6506c7ef6	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	176	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus simulator	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	239818	239818	Anoplodactylus simulator	[]	177	22502	27.11	36.03										holotype						1221.1	https://marineinfo.org/id/dataset/5184	POLYGON ((-81.43 24.4, -81.43 24.42, -81.42 24.42, -81.42 24.4, -81.43 24.4))	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_762	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=762	simulator
