associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183898.139827	Invertebrate Zoology: Crustacea	Japan	14	34.5699996948	138.868331909	observedindividualcount=1;	1969-07-14T12:00:00Z	Nakamura, K., Child, C. Allan	1.0	USNM	Honshu Island, Sagami Bay	94	76	7	Alcohol (Ethanol)	Ascorhynchus cryptopygius	Ortmann	urn:lsid:marinespecies.org:taxname:240252	male	Shizuoka	North Pacific Ocean	1969	14721b79-ab83-4e0e-98d1-93a8215d5149	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	85	-14774400000	-14774400000	-14774400000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus cryptopygius	2	1065	1274	1302	1358	379601	379608	379788	134571	240252	240252	Ascorhynchus cryptopygium	[]	89	3966	20.57	34.11	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183897.139826	Invertebrate Zoology: Crustacea	Japan	13	34.6633300781	138.759994507	observedindividualcount=2;	1969-07-13T12:00:00Z	Nakamura, K., Child, C. Allan	2.0	USNM	Honshu Island, Suruga Bay	85	75	7	Alcohol (Ethanol)	Ascorhynchus cryptopygius	Ortmann	urn:lsid:marinespecies.org:taxname:240252	male; female	Shizuoka	North Pacific Ocean	1969	17a9c90e-80f3-40c6-9316-d96e4b204753	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	80	-14860800000	-14860800000	-14860800000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus cryptopygius	2	1065	1274	1302	1358	379601	379608	379788	134571	240252	240252	Ascorhynchus cryptopygium	[]	67	1016	20.46	34.04	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183900.139829	Invertebrate Zoology: Crustacea	Japan	1	34.9766693115	139.173324585	observedindividualcount=11;	1971-02-01T12:00:00Z	Nakamura, K., Child, C. Allan	11.0	USNM	Honshu Island, Sagami Bay	300	290	2	Alcohol (Ethanol)	Ascorhynchus cryptopygius	Ortmann	urn:lsid:marinespecies.org:taxname:240252	male; female	Shizuoka	North Pacific Ocean	1971	829a3001-7814-4828-972a-db99abbc07f6	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	295	34214400000	34214400000	34214400000	1971	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus cryptopygius	2	1065	1274	1302	1358	379601	379608	379788	134571	240252	240252	Ascorhynchus cryptopygium	[]	273	3278	20.23	33.5	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183899.139828	Invertebrate Zoology: Crustacea	Japan	17	35.0149993896	139.143325806	observedindividualcount=125;	1969-07-17T12:00:00Z	Nakamura, K., Child, C. Allan	125.0	USNM	Honshu Island, Sagami Bay	113	113	7	Alcohol (Ethanol)	Ascorhynchus cryptopygius	Ortmann	urn:lsid:marinespecies.org:taxname:240252	male; female;;	Shizuoka	North Pacific Ocean	1969	97ef0064-af1e-485c-a91a-edbec233902c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	113	-14515200000	-14515200000	-14515200000	1969	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus cryptopygius	2	1065	1274	1302	1358	379601	379608	379788	134571	240252	240252	Ascorhynchus cryptopygium	[]	123	3271	20.11	33.51	;; juvenile
