associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	county	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	sex	depth	coordinatePrecision	occurrenceRemarks	verbatimDepth	superdomain	superdomainid	recordedBy
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180150.136106	Invertebrate Zoology: Crustacea	United States	St. Lucie County	2	27.5466709137	-79.9800033569	observedindividualcount=3;	1977-02-02T12:00:00Z	Child, C. Allan	3.0	USNM	juvenile	Jeff's Reef	2	Alcohol (Ethanol)	Anoplodactylus dauphinus	Child	urn:lsid:marinespecies.org:taxname:239554	Florida	Paratype	North Atlantic Ocean	1977	011a8ba7-04c6-4ddd-aeda-0c762c87b433	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	223689600000.0	223689600000.0	223689600000.0	1977.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus dauphinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239554	239554	Anoplodactylus dauphinus	['NO_DEPTH']	83	31150	26.44	36.07										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180142.136098	Invertebrate Zoology: Crustacea	United States	St. Lucie County	16	27.5466709137	-79.9716720581	observedindividualcount=1;	1976-08-16T12:00:00Z	Child, C. Allan	1.0	USNM		Jeff's Reef	8	Alcohol (Ethanol)	Anoplodactylus dauphinus	Child	urn:lsid:marinespecies.org:taxname:239554	Florida	Paratype	North Atlantic Ocean	1976	1ce44565-bbae-4cc4-8c97-e2de8cd6aad0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	209001600000.0	209001600000.0	209001600000.0	1976.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus dauphinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239554	239554	Anoplodactylus dauphinus	[]	90	31945	26.44	36.07	75.6	75.6	male	75.6						
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180143.136099	Invertebrate Zoology: Crustacea	United States	St. Lucie County	16	27.5466709137	-79.9716720581	observedindividualcount=1;	1976-08-16T12:00:00Z	Child, C. Allan	1.0	USNM		Jeff's Reef	8	Alcohol (Ethanol)	Anoplodactylus dauphinus	Child	urn:lsid:marinespecies.org:taxname:239554	Florida	Paratype	North Atlantic Ocean	1976	37f79bb4-2dfc-41ff-8a2b-9c9c8448de7c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	209001600000.0	209001600000.0	209001600000.0	1976.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus dauphinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239554	239554	Anoplodactylus dauphinus	[]	90	31945	26.44	36.07	75.6	75.6	male	75.6						
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-043_B2	B89PII				27.3017368317	-83.2079162598			Child, C. A.		HRI		ENE Gulf of Mexico			Anoplodactylus dauphinus	Child,	urn:lsid:marinespecies.org:taxname:239554			Gulf of Mexico		4a18aca4-ca17-4760-81b1-96073e1773c9	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus dauphinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239554	239554	Anoplodactylus dauphinus	[]	34	52419	24.91	35.99	78.0	26.0		52.0	313160.0	Database description and disclaimer at: http://gulfbase.org/	26-78	Biota	1.0	
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-043_B3	B89PII				26.9666690826	-84.1912689209			Child, C. A.		HRI		ENE Gulf of Mexico			Anoplodactylus dauphinus	Child,	urn:lsid:marinespecies.org:taxname:239554			Gulf of Mexico		53880a82-da03-45ed-9998-4e6a42256460	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus dauphinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239554	239554	Anoplodactylus dauphinus	[]	121	156242	25.82	35.95	78.0	26.0		52.0	234990.0	Database description and disclaimer at: http://gulfbase.org/	26-78	Biota	1.0	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	213648.168411	Invertebrate Zoology: Crustacea	United States		19	28.5388908386	-84.3099975586	observedindividualcount=1;	1978-10-19T12:00:00Z	Child, C. Allan	1.0	USNM		NW Of Clearwater	10	Alcohol (Ethanol)	Anoplodactylus dauphinus	Child	urn:lsid:marinespecies.org:taxname:239554	Florida	Holotype	North Atlantic Ocean	1978	8b04818f-058e-4afc-80f1-6034d1fc66be	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	277603200000.0	277603200000.0	277603200000.0	1978.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus dauphinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239554	239554	Anoplodactylus dauphinus	[]	37	134878	24.45	35.69	32.0	26.0	male	29.0						BLM/ MMS -Mafla
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	180144.136100	Invertebrate Zoology: Crustacea	United States	St. Lucie County	21	27.5466709137	-79.9800033569	observedindividualcount=3;	1976-09-21T12:00:00Z	Child, C. Allan	3.0	USNM	; larvae V	Jeff's Reef	9	Alcohol (Ethanol)	Anoplodactylus dauphinus	Child	urn:lsid:marinespecies.org:taxname:239554	Florida	Paratype	North Atlantic Ocean	1976	ec4a03d7-cd99-4e8c-b386-84843799e0f2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	212112000000.0	212112000000.0	212112000000.0	1976.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus dauphinus	2	1065	1274	1302	1358	379601	379610	14469	134592	239554	239554	Anoplodactylus dauphinus	[]	83	31150	26.44	36.07	77.7	77.7	female; female	77.7						
