basisOfRecord	catalogNumber	class	collectionCode	countryCode	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	locality	modified	month	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	occurrenceStatus	superdomain	superdomainid	maximumDepthInMeters	minimumDepthInMeters	depth
PreservedSpecimen	2008-20556	Pycnogonida	IU	VU	25	-18.816166	168.997162	1994-09-25T02:00Z	Pallenopsidae	MUSORSTOM 8/CP1001	POINT  (168.997162 -18.816166)	Pallenopsis	WGS84	1	MNHN	Animalia	CC_BY_4_0	W Erromango	2015-06-19T21:23Z	9	462401533	Pantopoda	Arthropoda	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20556	Pallenopsis spinipes	Carpenter, 1907	urn:lsid:marinespecies.org:taxname:240270	spinipes	SPECIES	Pacific Ocean	1994	2190fcf8-3154-4dd5-956e-482d5fce73b0	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	780451200000.0	780451200000.0	780451200000.0	1994.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis spinipes	2	1065	1274	1302	1358	379601	379609	236317	134593	240270	240270	Pallenopsis spinipes Carpenter, G.H., 1907	['NO_DEPTH']	2	1339	26.78	34.87									
Occurrence	5374	Pycnogonida	NewCaledonia			-22.0	166.0		Pallenopsidae			Pallenopsis			IRD-MNHN	Animalia		Baie de St Vincent	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:5374:0x4CD1E00001000000	Pantopoda	Arthropoda			Pallenopsis spinipes		urn:lsid:marinespecies.org:taxname:240270					a53cd2da-1223-4326-ad26-0d122cdb7765	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis spinipes	2	1065	1274	1302	1358	379601	379609	236317	134593	240270	240270	Pallenopsis spinipes	['NO_DEPTH']	14	1194	24.82	35.26	Tixier Durivault (1970). Exp Franc editions Singer Polignac 4.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	present	Biota	1.0			
Occurrence	43753	Pycnogonida	NewCaledonia			-18.8099994659424	168.990005493164		Pallenopsidae			Pallenopsis			IRD-MNHN	Animalia		Musorstom 8, CP1001	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:43753:0xEC06900001000500	Pantopoda	Arthropoda			Pallenopsis spinipes		urn:lsid:marinespecies.org:taxname:240270					c992ebbd-fa7b-4703-b7a0-81138ee6af3b	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis spinipes	2	1065	1274	1302	1358	379601	379609	236317	134593	240270	240270	Pallenopsis spinipes	['DEPTH_EXCEEDS_BATH']	26	1934	26.78	34.87	Stock JH (1997). Musorstom 18(176): 271-335.	Vanuatu	https://marineinfo.org/id/dataset/3128	present	Biota	1.0	250.0	150.0	200.0
PreservedSpecimen	2008-20555	Pycnogonida	IU	VU	25	-18.816166	168.997162	1994-09-25T02:00Z	Pallenopsidae	MUSORSTOM 8/CP1001	POINT  (168.997162 -18.816166)	Pallenopsis	WGS84	1	MNHN	Animalia	CC_BY_4_0	W Erromango	2015-06-19T21:23Z	9	462401296	Pantopoda	Arthropoda	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20555	Pallenopsis spinipes	Carpenter, 1907	urn:lsid:marinespecies.org:taxname:240270	spinipes	SPECIES	Pacific Ocean	1994	fc020ab6-a67c-469e-8121-e46c80ddcf43	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	780451200000.0	780451200000.0	780451200000.0	1994.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis spinipes	2	1065	1274	1302	1358	379601	379609	236317	134593	240270	240270	Pallenopsis spinipes Carpenter, G.H., 1907	['NO_DEPTH']	2	1339	26.78	34.87									
