basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Tanystylum excuratum</i> Stock, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240408	sm_id_2319	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-43.62	172.73	1897-05	Ammotheidae	Tanystylum	WoRMS Editorial Board	Animalia	Pacific Ocean	9	2	2007-06-20 15:52:33	5	WoRMS Editorial Board:WoRMS type localities:sm_id_2319	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=2319	Tanystylum excuratum	Stock, 1954	urn:lsid:marinespecies.org:taxname:240408	excuratum	holotype	1897	74be0c35-d642-4ccf-a185-1dd06341a1ad	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	5.5	-2293228800000.0	-2291932800000.0	-2290636800000.0	1897.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum excuratum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134577	240408	240408	Tanystylum excuratum	[]	3	604	12.63	34.4
HumanObservation		34195	Pycnogonida	SOMBASE Pycnogonids		-43.5699996948	172.880004883		Ammotheidae	Tanystylum	BAS	Animalia		10	2					Pantopoda	Arthropoda		Tanystylum excuratum		urn:lsid:marinespecies.org:taxname:240408				f7656f8c-f7df-4765-9a09-2a229c9b7ff5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	6.0					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum excuratum		2	1065	1274	1302	1358	379601	379608	1562	134577	240408	240408	Tanystylum excuratum	[]	20	3943	12.64	34.39
