associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid	lifeStage
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228539.180700	Invertebrate Zoology: Crustacea	Philippines	23	9.09000015259	123.272216797	observedindividualcount=1;	1978-06-23T12:00:00Z	Child, C. Allan	1.0	USNM	Negros Island, Apo Island, N Side	20.0	15.0	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Tanystylum philippinensis	Child	urn:lsid:marinespecies.org:taxname:239758	male	Negros Oriental	Holotype	North Pacific Ocean	1978	44dbe96b-334d-4ea0-8cda-d2c2d9dd0a87	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.5	267408000000	267408000000	267408000000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum philippinensis	2	1065	1274	1302	1358	379601	379608	1562	134577	239758	239758	Tanystylum philippinensis	[]	-4	595	28.42	32.69									
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Tanystylum philippinensis</i> Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239758	sm_id_2336	WoRMS type localities		23	9.09	123.27		1978-06-23			WoRMS Editorial Board	Bohol Sea	20.0	15.0	6			Tanystylum philippinensis	Child, 1988	urn:lsid:marinespecies.org:taxname:239758			holotype		1978	4ede5035-1ebd-49ed-a366-c8cc0cc58dd7	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	17.5	267408000000	267408000000	267408000000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum philippinensis	2	1065	1274	1302	1358	379601	379608	1562	134577	239758	239758	Tanystylum philippinensis	[]	-4	588	28.42	32.69	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2336	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=2336	philippinensis	Biota	1.0	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228541.180702	Invertebrate Zoology: Crustacea	Philippines	6	20.4027805328	121.963890076	observedindividualcount=3;	1985-06-06T12:00:00Z	Child, C. Allan	3.0	USNM	Batan Islands, Batan Island, Mananioy Bay, Tide Pools By Rock Pinnacle	1.5		6	Alcohol (Ethanol)	C. Child	Tanystylum philippinensis	Child	urn:lsid:marinespecies.org:taxname:239758	male; female;;	Batanes		North Pacific Ocean	1985	9311cb58-00f0-4a8e-9544-f9917a3c99f4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	486864000000	486864000000	486864000000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum philippinensis	2	1065	1274	1302	1358	379601	379608	1562	134577	239758	239758	Tanystylum philippinensis	[]	-20	172	27.76	34.37									;; juvenile
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228540.180701	Invertebrate Zoology: Crustacea	Philippines	23	9.09000015259	123.272216797	observedindividualcount=1;	1978-06-23T12:00:00Z	Child, C. Allan	1.0	USNM	Negros Island, Apo Island, N Side	20.0	15.0	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Tanystylum philippinensis	Child	urn:lsid:marinespecies.org:taxname:239758	female	Negros Oriental	Paratype	North Pacific Ocean	1978	f89f4d1d-71e9-40f2-b999-3f346641e3bb	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	17.5	267408000000	267408000000	267408000000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Tanystylum	Tanystylum philippinensis	2	1065	1274	1302	1358	379601	379608	1562	134577	239758	239758	Tanystylum philippinensis	[]	-4	595	28.42	32.69									
