basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	coordinateUncertaintyInMeters	country	countryCode	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	genericName	genus	geodeticDatum	higherClassification	identifiedBy	individualCount	institutionCode	institutionID	kingdom	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	taxonRank	verbatimIdentification	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	locationRemarks	county	dateIdentified	fieldNumber	higherGeography	language	license	nomenclaturalCode	scientificNameAuthorship	startDayOfYear	stateProvince	type	verbatimEventDate	verbatimLatitude	verbatimLongitude
MaterialSample	LACM:DISCO:16222	Pycnogonida	MBC	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047	NORTH_AMERICA	10	United States of America	US	LAUOE	20	33.701683333333335	-118.29158333333334	2019-08-20	Ascorhynchidae	Eurycyde	Eurycyde	WGS84	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Ascorhynchidae | Eurycyde	D. Cadien	1	LACM	urn:lsid:biocol.org:col:34802	Animalia	California, Los Angeles County, Point Fermin, dropoff	5E93C76A-BF11-4E9C-8E49-5282754C72BD	15.0	12.0	08	DC378B97-B15C-4DDE-97A7-6536CA9D1B1F	present	Pantopoda	Arthropoda	Generally fixed and preserved in 95% ethanol, some specimens in formalin	CSUF Whaler | S. Wiedrick | G. Paulay	SCUBA, hand, hand dredge, rock hammer	Eurycyde spinosa	urn:lsid:marinespecies.org:taxname:240126	spinosa	species	Eurycyde spinosa	North Pacific Ocean	2019	221b3538-0fbb-4722-ac40-a590ca37154f	92af50ad-c9d7-4fe7-b012-eae0e77233a2	['b7c47783-a020-4173-b390-7b57c4fa1426']	13.5	1566259200000	1566259200000	1566259200000	2019	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde spinosa	1	2	1065	1274	1302	1358	379601	379608	379788	134573	240126	240126	Eurycyde spinosa Hilton, 1916	[]	-8	362	17.11	33.44															
MaterialSample	LACM:DISCO:17063	Pycnogonida	MBC	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047	NORTH_AMERICA	10	United States of America	US	LAUOE	25	33.7469	-118.42056666666667	2019-08-25	Ascorhynchidae	Eurycyde	Eurycyde	WGS84	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Ascorhynchidae | Eurycyde	D. Cadien	1	LACM	urn:lsid:biocol.org:col:34802	Animalia	California, Los Angeles County, Palos Verdes Peninsula, Hawthorne Reef	C32C0F52-B467-4FC9-897F-D780857C4AA1	23.77	4.57	08	A3DC54D4-8B34-4457-B373-F2E5C18CD649	present	Pantopoda	Arthropoda	Generally fixed and preserved in 95% ethanol, some specimens in formalin	Giant Stride | K. Morris | Z. Gold | S. Wiedrick | G. Paulay | J. Whelpley | M. Bemis	SCUBA, hand, hand dredge, rock hammer	Eurycyde spinosa	urn:lsid:marinespecies.org:taxname:240126	spinosa	species	Eurycyde spinosa	North Pacific Ocean	2019	634f3090-6f13-4ab9-8349-7f81e0da84ac	92af50ad-c9d7-4fe7-b012-eae0e77233a2	['b7c47783-a020-4173-b390-7b57c4fa1426']	14.17	1566691200000	1566691200000	1566691200000	2019	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde spinosa	1	2	1065	1274	1302	1358	379601	379608	379788	134573	240126	240126	Eurycyde spinosa Hilton, 1916	[]	31	629	17.04	33.44	horizontal visibility 12-15 ft.														
PreservedSpecimen	146053	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America		United States			21	36.6	-121.8845	1965-05-21	Ascorhynchidae		Eurycyde		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ascorhynchidae	K.C. Myers		CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	Monterey Harbor	067225fa-2598-11ed-aace-005056be1b7a		22.86	5	urn:catalog:CAS:IZ:146053		Pantopoda	Arthropoda	Fluid-75% EtOH(1)	Capt. F. Groepler		Eurycyde spinosa		spinosa	species			1965	8118ee45-1c4f-4349-b1e2-ca7bdc3b2fb5	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	22.86	-145670400000	-145670400000	-145670400000	1965	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde spinosa	1	2	1065	1274	1302	1358	379601	379608	379788	134573	240126	240126	Eurycyde spinosa	['ON_LAND']	-6	-132	12.9	32.93		Monterey County	1972-08	062325	North America, United States, California	en	https://creativecommons.org/publicdomain/zero/1.0/	ICZN	Hilton, 1916	141	California	Physical Object	21 May 1965	36° 36' N	121° 53.07' W
MaterialSample	LACM:DISCO:16321	Pycnogonida	MBC	urn:uuid:3f7f32da-cb96-4064-919e-8118eac80047	NORTH_AMERICA	10	United States of America	US	LAUOE	21	33.8372	-118.3936	2019-08-21	Ascorhynchidae	Eurycyde	Eurycyde	WGS84	Animalia | Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Ascorhynchidae | Eurycyde	D. Cadien	1	LACM	urn:lsid:biocol.org:col:34802	Animalia	California, Los Angeles County, Redondo Beach, Veteran's Park	348B3C80-636A-4767-A833-4448B5D67AE3	20.12	20.12	08	AB2AB761-2968-4921-A996-79BEDB5DAA07	present	Pantopoda	Arthropoda	Generally fixed and preserved in 95% ethanol, some specimens in formalin	R. Walter | S. Wiedrick	beach dive, SCUBA, 5 gal. bucket, hand grabbed	Eurycyde spinosa	urn:lsid:marinespecies.org:taxname:240126	spinosa	species	Eurycyde spinosa	North Pacific Ocean	2019	88a2199b-5577-4415-9ef6-d8a269a9d350	92af50ad-c9d7-4fe7-b012-eae0e77233a2	['b7c47783-a020-4173-b390-7b57c4fa1426']	20.12	1566345600000	1566345600000	1566345600000	2019	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Eurycyde spinosa	1	2	1065	1274	1302	1358	379601	379608	379788	134573	240126	240126	Eurycyde spinosa Hilton, 1916	[]	15	264																	
