associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234602.186356	Invertebrate Zoology: Crustacea	Australia	15	-54.5	159	observedindividualcount=1;	1967-02-15T12:00:00Z	Bowman, Thomas E.	1.0	USNM	juvenile	Macquarie Island, E Of Island	366	311	2	Alcohol (Ethanol)	Austrodecus varum	Child	urn:lsid:marinespecies.org:taxname:239529	Tasmania	Holotype	South Pacific Ocean	1967	936efe53-2b7c-4017-b9f7-c68ed2a11081	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	338.5	-90806400000.0	-90806400000.0	-90806400000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus varum	2	1065	1274	1302	1358	379600	22616	134579	239529	239529	Austrodecus varum	[]	1279	3485	5.23	33.91
	HumanObservation		22586	SOMBASE Pycnogonids			-54.5	159					BAS			366	311			Austrodecus varum		urn:lsid:marinespecies.org:taxname:239529					fa06db65-fc94-4311-afc6-b4144c21d2ca	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	338.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus varum	2	1065	1274	1302	1358	379600	22616	134579	239529	239529	Austrodecus varum	[]	1279	3485	5.23	33.91
