basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	individualCount	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	wrims	flags	bathymetry	shoredistance	sst	sss	accessRights	datasetName	day	disposition	endDayOfYear	eventDate	geodeticDatum	island	language	license	maximumDepthInMeters	minimumDepthInMeters	month	originalNameUsage	otherCatalogNumbers	ownerInstitutionCode	rightsHolder	samplingProtocol	scientificNameAuthorship	startDayOfYear	type	verbatimCoordinates	verbatimDepth	verbatimEventDate	verbatimLocality	waterBody	year	depth	date_start	date_mid	date_end	date_year	associatedReferences	bibliographicCitation	coordinatePrecision	identifiedBy	occurrenceRemarks	superdomain	superdomainid	continent	countryCode	eventID	recordedBy	county	dynamicProperties	preparations	stateProvince
PreservedSpecimen	J5257	Pycnogonida	co119	1000	Australia	-23.85	151.27	Ascorhynchoidea incertae sedis	POINT (151.27000 -23.85000)	Pigrogromitus	1	NMV	Animalia	Gladstone, Calliope River	2017-02-09T11:02:51	J5257	present	1	individuals	Arthropoda	Pigrogromitus timsanus	urn:lsid:marinespecies.org:taxname:239816	Unknown	timsanus	species	051f0783-6fb8-4c9b-b732-8b92e709acb2	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Pigrogromitus timsanus	2	1065	1274	1302	1358	379601	379608	379616	134584	239816	239816	Pigrogromitus timsanus	True	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38																																															
PreservedSpecimen	12763	Pycnogonida	S	100	Hawaiian Islands	21.2828	-157.841	Ascorhynchoidea incertae sedis	POINT (-157.84100 21.28280)	Pigrogromitus		BPBM	Animalia	Ala Wai Harbor; Hilton Lagoon discharge pipe	2/07/2002 0:00:00	fc4a5258-b2ed-43d7-9c24-8c09dca57921	present			Arthropoda	Pigrogromitus timsanus	urn:lsid:marinespecies.org:taxname:239816		timsanus		06e5a05f-2864-49d7-9f7f-5446daad9144	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Pigrogromitus timsanus	2	1065	1274	1302	1358	379601	379608	379616	134584	239816	239816	Pigrogromitus timsanus	True	['ON_LAND']	-3.0	-135	25.4	35.05	http://www.vertnet.org/resources/norms.html	Bishop Museum Marine Invertebrates Specimens	30	in collection	211	1998-07-30	WGS84	Oahu	en	http://creativecommons.org/publicdomain/zero/1.0	4.0	0.0	7	Pigrogromitus timsanus	HH-2372	BPBM	Bernice Pauahi Bishop Museum	Hand grab	Calman, 1927	211	PhysicalObject	(21.28283°, 157.8409°)	0.00-4.00	1998-07-30	Pacific Ocean; North Subtropical Oceania; Hawaiian Islands; Oahu; Ala Wai Harbor; Hilton Lagoon discharge pipe  (21.28283°, 157.8409°)	Pacific Ocean	1998	2.0	901756800000.0	901756800000.0	901756800000.0	1998.0															
PreservedSpecimen	J67675	Pycnogonida	co119	1000	India	16.9961	73.27	Ascorhynchoidea incertae sedis	POINT ( 73.27000 16.99610)	Pigrogromitus	1	NMV	Animalia		2017-02-09T11:22:02	J67675	present	1	individuals	Arthropoda	Pigrogromitus timsanus	urn:lsid:marinespecies.org:taxname:239816		timsanus	species	097eea19-e5d8-4efc-a635-e1c66b4ea991	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Pigrogromitus timsanus	2	1065	1274	1302	1358	379601	379608	379616	134584	239816	239816	Pigrogromitus timsanus	True	['ON_LAND']	-14.0	-109								2013-12-19					1.0	0.0																0.5	1387411200000.0	1387411200000.0	1387411200000.0	2013.0															
PreservedSpecimen	J5254	Pycnogonida	co119	1000	Australia	-23.85	151.27	Ascorhynchoidea incertae sedis	POINT (151.27000 -23.85000)	Pigrogromitus	1	NMV	Animalia	Gladstone, Calliope River	2017-02-09T11:02:47	J5254	present	1	individuals	Arthropoda	Pigrogromitus timsanus	urn:lsid:marinespecies.org:taxname:239816	Unknown	timsanus	species	0bdf18ef-56af-42a0-975e-28121b7ab2e3	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Pigrogromitus timsanus	2	1065	1274	1302	1358	379601	379608	379616	134584	239816	239816	Pigrogromitus timsanus	True	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38																																															
HumanObservation	Spp-43-037_E3	Pycnogonida	B89PII			18.6886692047	-93.8438949585	Ascorhynchoidea incertae sedis		Pigrogromitus		HRI	Animalia	SSW  Gulf of Mexico						Arthropoda	Pigrogromitus timsanus	urn:lsid:marinespecies.org:taxname:239816				0d6b2665-94d7-435b-b02e-b6eb1e13e172	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Pigrogromitus timsanus	2	1065	1274	1302	1358	379601	379608	379616	134584	239816	239816	Pigrogromitus timsanus	True	[]	114.0	40178	27.03	35.09											108.0	1.0							Calman,				1-108			Gulf of Mexico		54.5					Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	618090.0	Child, C. A.	Database description and disclaimer at: http://gulfbase.org/	Biota	1.0								
HumanObservation		Pycnogonida			Venezuela	10.995707	-64.161287	Ascorhynchoidea incertae sedis		Pigrogromitus			Animalia			BMLR_VT_TGECAM_CM_E3_SP2	present			Arthropoda	Pigrogromitus timsanus	urn:lsid:marinespecies.org:taxname:239816		timsanus	species	112841f2-f9da-4737-b6c7-318a99f8162b	a4f4931f-7036-47db-9a59-a89fac1501af	['8385435b-bcf5-4bec-b827-8b480163d479']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Pigrogromitus timsanus	2	1065	1274	1302	1358	379601	379608	379616	134584	239816	239816	Pigrogromitus timsanus	True	['NO_DEPTH']	-2.0	1314	26.2	36.11		biodiversidad-larestinga				2012	WGS84		en																	Caribbean Sea			1325376000000.0	1341100800000.0	1356912000000.0	2012.0				Claudina Mata				South America	VE	BMLR_VT_TGECAM_CM_E3	Claudina Mata				
PreservedSpecimen	12713	Pycnogonida	S	100	Hawaiian Islands	21.2879	-157.842	Ascorhynchoidea incertae sedis	POINT (-157.84200 21.28790)	Pigrogromitus		BPBM	Animalia	Ala Wai Harbor; Waikiki Yacht Club	2/07/2002 0:00:00	53080b96-71b4-4f3b-b1b3-363abe9f5b8a	present			Arthropoda	Pigrogromitus timsanus	urn:lsid:marinespecies.org:taxname:239816		timsanus		1743100d-5118-4b23-aec9-30eda044a980	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Pigrogromitus timsanus	2	1065	1274	1302	1358	379601	379608	379616	134584	239816	239816	Pigrogromitus timsanus	True	['ON_LAND']	-4.0	-442	25.4	35.05	http://www.vertnet.org/resources/norms.html	Bishop Museum Marine Invertebrates Specimens	23	in collection	204	1998-07-23	WGS84	Oahu	en	http://creativecommons.org/publicdomain/zero/1.0	2.0	0.0	7	Pigrogromitus timsanus	HH-2367	BPBM	Bernice Pauahi Bishop Museum	Hand grab	Calman, 1927	204	PhysicalObject	(21.28786°, 157.8419°)	0.00-2.00	1998-07-23	Pacific Ocean; North Subtropical Oceania; Hawaiian Islands; Oahu; Ala Wai Harbor; Waikiki Yacht Club  (21.28786°, 157.8419°)	Pacific Ocean	1998	1.0	901152000000.0	901152000000.0	901152000000.0	1998.0															
PreservedSpecimen	125477.89785	Pycnogonida	Invertebrate Zoology: Crustacea		United States	25.7329998016	-80.1600036621	Ascorhynchoidea incertae sedis		Pigrogromitus	1.0	USNM	Animalia	Miami, Virginia Key, Bear Cut						Arthropoda	Pigrogromitus timsanus	urn:lsid:marinespecies.org:taxname:239816	male			1af71f82-a0f2-4ae9-ac82-992e708bb782	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Pigrogromitus timsanus	2	1065	1274	1302	1358	379601	379608	379616	134584	239816	239816	Pigrogromitus timsanus	True	['ON_LAND']	-1.0	-14	27.08	36.03			11			1965-07-11T12:00:00Z					1.0		7						Calman							North Atlantic Ocean	1965	1.0	-141264000000.0	-141264000000.0	-141264000000.0	1965.0	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010		Child, C. Allan							D. Kirtley	Dade County	observedindividualcount=1;	Alcohol (Ethanol)	Florida
PreservedSpecimen	J5243	Pycnogonida	co119	1000	Australia	-23.85	151.27	Ascorhynchoidea incertae sedis	POINT (151.27000 -23.85000)	Pigrogromitus	1	NMV	Animalia	Gladstone, Calliope River	2017-02-09T11:02:30	J5243	present	1	individuals	Arthropoda	Pigrogromitus timsanus	urn:lsid:marinespecies.org:taxname:239816	Unknown	timsanus	species	2c114131-5648-483e-ada1-b717a08ddb05	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Pigrogromitus timsanus	2	1065	1274	1302	1358	379601	379608	379616	134584	239816	239816	Pigrogromitus timsanus	True	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38																																															
PreservedSpecimen	J5250	Pycnogonida	co119	1000	Australia	-23.85	151.27	Ascorhynchoidea incertae sedis	POINT (151.27000 -23.85000)	Pigrogromitus	4	NMV	Animalia	Gladstone, Calliope River	2017-02-09T11:02:41	J5250	present	4	individuals	Arthropoda	Pigrogromitus timsanus	urn:lsid:marinespecies.org:taxname:239816	Unknown	timsanus	species	2db73c6e-ef83-4c54-b1ea-71a20b7a80d1	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Pigrogromitus timsanus	2	1065	1274	1302	1358	379601	379608	379616	134584	239816	239816	Pigrogromitus timsanus	True	['NO_DEPTH', 'ON_LAND']	-5.91	-431	23.51	35.38																																															
