associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	accessRights	coordinateUncertaintyInMeters	datasetName	disposition	endDayOfYear	eventRemarks	footprintWKT	geodeticDatum	island	language	license	modified	occurrenceID	occurrenceStatus	originalNameUsage	otherCatalogNumbers	ownerInstitutionCode	rightsHolder	samplingProtocol	specificEpithet	startDayOfYear	type	verbatimCoordinates	verbatimEventDate	verbatimLocality	verbatimDepth	verbatimLatitude	verbatimLongitude	county	datasetID	dateIdentified	georeferenceProtocol	maximumElevationInMeters	minimumElevationInMeters	occurrenceRemarks	verbatimCoordinateSystem	verbatimSRS
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228576.180738	Invertebrate Zoology: Crustacea	Philippines	16	9.3277797699	123.31388855	observedindividualcount=1;	1978-06-16T12:00:00Z	Child, C. Allan	1.0	USNM	Negros Island, Bantayan, Silliman University Lab Beach	1.0	1.0	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Anoplodactylus arescus	Marcus	urn:lsid:marinespecies.org:taxname:240177	female	Negros Oriental	North Pacific Ocean	1978	379eb689-79ba-427a-86fc-f69a07fc01e1	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.0	266803200000	266803200000	266803200000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arescus	2	1065	1274	1302	1358	379601	379610	14469	134592	240177	240177	Anoplodactylus arescus	[]	-2	336	28.45	32.75																																					
	PreservedSpecimen		12800	S	Hawaiian Islands	6	21.3218	-158.12		1998-08-06			BPBM	Barbers Point Harbor; coal pier	12.0	12.0	8			Anoplodactylus arescus	du Bois-Reymond Marcus, 1959	urn:lsid:marinespecies.org:taxname:240177			Pacific Ocean	1998	3e8bac2d-6172-4d6d-a9de-21a1d2a3162c	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	12.0	902361600000	902361600000	902361600000	1998	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arescus	2	1065	1274	1302	1358	379601	379610	14469	134592	240177	240177	Anoplodactylus arescus	['ON_LAND']	-1	-128	25.56	35.04	http://www.vertnet.org/resources/norms.html	100	Bishop Museum Marine Invertebrates Specimens	in collection	218	sediment	POINT (-158.12000 21.32180)	WGS84	Oahu	en	http://creativecommons.org/publicdomain/zero/1.0	2/07/2002 0:00:00	ab50d50a-4774-4cfd-a9be-c6f46337b19d	present	Anoplodactylus arescus	HH-2373	BPBM	Bernice Pauahi Bishop Museum	Hand grab	arescus	218	PhysicalObject	(21.3218°, 158.1198°)	1998-08-06	Pacific Ocean; North Subtropical Oceania; Hawaiian Islands; Oahu; Barbers Point Harbor; coal pier  (21.3218°, 158.1198°)												
	PreservedSpecimen		12926	S	Hawaiian Islands	10	21.4398	-157.792		1999-11-10	C. A. Child	1	BPBM	Kaneohe Bay, Floating City	4.0	0.0	11	1 alcoholic		Anoplodactylus arescus	du Bois-Reymond Marcus, 1959	urn:lsid:marinespecies.org:taxname:240177			Pacific Ocean	1999	3f501058-3242-4994-8cf0-8f5805244f8c	10b213e6-a9c4-459e-a40c-ef9edc461b97	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	2.0	942192000000	942192000000	942192000000	1999	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arescus	2	1065	1274	1302	1358	379601	379610	14469	134592	240177	240177	Anoplodactylus arescus	[]	5	512	25.31	35.09	http://www.vertnet.org/resources/norms.html	100	Bishop Museum Marine Invertebrates Specimens	in collection	314		POINT (-157.79200 21.43980)	WGS84	Oahu	en	http://creativecommons.org/publicdomain/zero/1.0	23/08/2006 0:00:00	fbb7edd7-c8df-4660-a410-7a80f891b3e2	present	Anoplodactylus arescus		BPBM	Bernice Pauahi Bishop Museum		arescus	314	PhysicalObject	"(21° 26' 23.1"" N, 157° 47' 30.2"" W)"	1999-11-10	"Pacific Ocean; North Subtropical Oceania; Hawaiian Islands; Oahu; Kaneohe Bay, Floating City (21° 26' 23.1"" N, 157° 47' 30.2"" W)"	0.00-4.00	"21°26'23.1""N"	"157°47'30.2""W"									
	HumanObservation		161749	Non-Freshwater Specimens	US		21.2941	-157.857		1998-07-16	USGS		USGS	Fishermans Wharf, Kewalo Basin, Oahu						Anoplodactylus arescus		240177		HI			4f639402-1f24-440b-8343-3326bf1931f4	16434578-ebf7-4bcc-a776-508ffece76de	['b7c47783-a020-4173-b390-7b57c4fa1426']		900547200000	900547200000	900547200000	1998	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arescus	2	1065	1274	1302	1358	379601	379610	14469	134592	240177	240177	Anoplodactylus arescus	['NO_DEPTH']	-5	11	25.4	35.05								EPSG:4326 WGS 84					1121538790	P			USGS			arescus									Honolulu	USGS_NAS_Marine_NonFish	1998-07-16	Google Maps	0	0	yr_accuracy: Actual | lat_long_accuracy: Accurate	decimal degrees	NAD 83
	HumanObservation		161751	Non-Freshwater Specimens	US		21.2828	-157.841		1998-07-30	USGS		USGS	Hilton Lagoon discharge pipe, Ala Wai Yacht Harbor, Oahu						Anoplodactylus arescus		240177		HI			567d3c2c-2b85-4062-be99-306ae7fd38df	16434578-ebf7-4bcc-a776-508ffece76de	['b7c47783-a020-4173-b390-7b57c4fa1426']		901756800000	901756800000	901756800000	1998	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arescus	2	1065	1274	1302	1358	379601	379610	14469	134592	240177	240177	Anoplodactylus arescus	['NO_DEPTH', 'ON_LAND']	-3	-135	25.4	35.05								EPSG:4326 WGS 84					1121538789	P			USGS			arescus									Honolulu	USGS_NAS_Marine_NonFish	1998-07-30	Google Maps	0	0	yr_accuracy: Actual | lat_long_accuracy: Accurate	decimal degrees	NAD 83
	HumanObservation		162454	Non-Freshwater Specimens	US		21.462778	-157.81027		2000-01	USGS		USGS	Kane'ohe Bay, Oahu						Anoplodactylus arescus		240177		HI			6c006829-8b03-49e3-a852-2549c3e52046	16434578-ebf7-4bcc-a776-508ffece76de	['b7c47783-a020-4173-b390-7b57c4fa1426']		946684800000	947980800000	949276800000	2000	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arescus	2	1065	1274	1302	1358	379601	379610	14469	134592	240177	240177	Anoplodactylus arescus	['NO_DEPTH']	6	75	25.31	35.09								EPSG:4326 WGS 84					1121538787	P			USGS			arescus									Honolulu	USGS_NAS_Marine_NonFish	2000-01	Google Maps	0	0	yr_accuracy: Actual | lat_long_accuracy: Approximate	decimal degrees	NAD 83
	HumanObservation		161750	Non-Freshwater Specimens	US		21.2879	-157.842		1998-07-23	USGS		USGS	Wakiki Yacht Club, Ala Wai Yacht Harbor, Oahu						Anoplodactylus arescus		240177		HI			75f7d7ec-be90-4bfc-a94d-2dbf3cea6874	16434578-ebf7-4bcc-a776-508ffece76de	['b7c47783-a020-4173-b390-7b57c4fa1426']		901152000000	901152000000	901152000000	1998	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arescus	2	1065	1274	1302	1358	379601	379610	14469	134592	240177	240177	Anoplodactylus arescus	['NO_DEPTH', 'ON_LAND']	-4	-442	25.4	35.05								EPSG:4326 WGS 84					1121538791	P			USGS			arescus									Honolulu	USGS_NAS_Marine_NonFish	1998-07-23	Google Maps	0	0	yr_accuracy: Actual | lat_long_accuracy: Accurate	decimal degrees	NAD 83
	HumanObservation		161748	Non-Freshwater Specimens	US		21.3218	-158.12		1998-08-06	USGS		USGS	Coal Pier, Barbers Point Deep Draft harbor, Oahu						Anoplodactylus arescus		240177		HI			9b908a10-9199-4a2f-aa8d-dcd625850229	16434578-ebf7-4bcc-a776-508ffece76de	['b7c47783-a020-4173-b390-7b57c4fa1426']		902361600000	902361600000	902361600000	1998	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arescus	2	1065	1274	1302	1358	379601	379610	14469	134592	240177	240177	Anoplodactylus arescus	['NO_DEPTH', 'ON_LAND']	-1	-128	25.56	35.04								EPSG:4326 WGS 84					1121538788	P			USGS			arescus									Honolulu	USGS_NAS_Marine_NonFish	1998-08-06	Google Maps	0	0	yr_accuracy: Actual | lat_long_accuracy: Accurate	decimal degrees	NAD 83
