basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid
PreservedSpecimen	2007-4614	Pycnogonida	IU	NC	-22.789167	167.241669	Nymphonidae	BIOCAL/DW44	POINT  (167.241669 -22.789167)	Nymphon	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-06-19T21:23Z	440004214	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4614	Nymphon adenopus	Stock, 1991	urn:lsid:marinespecies.org:taxname:239611	adenopus	SPECIES	HOLOTYPE	Pacific Ocean	58b10f9b-6715-486d-bc67-7f55de4318fa	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon adenopus	2	1065	1274	1302	1358	379601	379609	1566	134591	239611	239611	Nymphon adenopus Stock, J.H., 1991	['NO_DEPTH']	442	16261	24.32	35.25									
Occurrence	21693	Pycnogonida	NewCaledonia		-22.7800006866455	167.229995727539	Nymphonidae			Nymphon				IRD-MNHN	Animalia		Biocal, DW44	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21693:0x50FE8F0001000100	Pantopoda	Arthropoda			Nymphon adenopus		urn:lsid:marinespecies.org:taxname:239611					5d945b79-0044-45d4-aa8b-452aaea2a297	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon adenopus	2	1065	1274	1302	1358	379601	379609	1566	134591	239611	239611	Nymphon adenopus	[]	428	16678	24.32	35.25	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	450.0	440.0	present	445.0	Biota	1.0
PreservedSpecimen	2008-20675	Pycnogonida	IU	NC	-22.789167	167.241669	Nymphonidae	BIOCAL/DW44	POINT  (167.241669 -22.789167)	Nymphon	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-07-30T20:25Z	453786160	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20675	Nymphon adenopus	Stock, 1991	urn:lsid:marinespecies.org:taxname:239611	adenopus	SPECIES	PARATYPE	Pacific Ocean	6672af86-f1fb-49d9-a3fe-03a616aef412	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon adenopus	2	1065	1274	1302	1358	379601	379609	1566	134591	239611	239611	Nymphon adenopus Stock, J.H., 1991	['NO_DEPTH']	442	16261	24.32	35.25									
PreservedSpecimen	2007-4615	Pycnogonida	IU	NC	-22.789167	167.241669	Nymphonidae	BIOCAL/DW44	POINT  (167.241669 -22.789167)	Nymphon	WGS84	Stock	3	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-06-19T21:23Z	439995070	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4615	Nymphon adenopus	Stock, 1991	urn:lsid:marinespecies.org:taxname:239611	adenopus	SPECIES	PARATYPE	Pacific Ocean	9db8fdbf-1325-44b0-8f83-7776321b1d8c	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon adenopus	2	1065	1274	1302	1358	379601	379609	1566	134591	239611	239611	Nymphon adenopus Stock, J.H., 1991	['NO_DEPTH']	442	16261	24.32	35.25									
PreservedSpecimen	2008-20674	Pycnogonida	IU	NC	-22.789167	167.241669	Nymphonidae	BIOCAL/DW44	POINT  (167.241669 -22.789167)	Nymphon	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-07-30T20:25Z	453783219	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20674	Nymphon adenopus	Stock, 1991	urn:lsid:marinespecies.org:taxname:239611	adenopus	SPECIES	PARATYPE	Pacific Ocean	9f1abe87-dffe-4910-8862-398f5f32053a	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon adenopus	2	1065	1274	1302	1358	379601	379609	1566	134591	239611	239611	Nymphon adenopus Stock, J.H., 1991	['NO_DEPTH']	442	16261	24.32	35.25									
