basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	lifeStage	locality	month	preparations	scientificNameAuthorship	sex	waterBody	year	date_start	date_mid	date_end	date_year	continent	coordinateUncertaintyInMeters	datasetName	dateIdentified	footprintWKT	geodeticDatum	georeferenceSources	language	locationID	modified	occurrenceID	occurrenceStatus	recordedBy	samplingProtocol	specificEpithet	eventID	fieldNumber	occurrenceRemarks	startDayOfYear
HumanObservation	22617	SOMBASE Pycnogonids	-60.5166015625	-45.8950004578	BAS	55	55	Nymphon articulare	urn:lsid:marinespecies.org:taxname:173366	09073454-eea9-40f3-b04e-f65361ef2df0	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	55	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon articulare	2	1065	1274	1302	1358	379601	379609	1566	134591	173366	173366	Nymphon articulare	[]	19	921	-0.93	33.84																																							
HumanObservation	39299	SOMBASE Pycnogonids	-71.3102035522	-13.9351997375	BAS	910	910	Nymphon articulare	urn:lsid:marinespecies.org:taxname:173366	1a9177d1-20a2-4cff-91dd-21d3c0fae3ea	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	910	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon articulare	2	1065	1274	1302	1358	379601	379609	1566	134591	173366	173366	Nymphon articulare	[]	845	55949	-1.72	33.92																																							
HumanObservation	34615	SOMBASE Pycnogonids	-60.6833000183	-45.6166992188	BAS	36	24	Nymphon articulare	urn:lsid:marinespecies.org:taxname:173366	2037a5a2-7711-48dd-a50d-88273b07573a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	30	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon articulare	2	1065	1274	1302	1358	379601	379609	1566	134591	173366	173366	Nymphon articulare	['ON_LAND']	23	-338	-0.96	33.79																																							
PreservedSpecimen	234669.286928	Invertebrate Zoology: Crustacea	-60.5149993896	-45.8891716003	USNM	55	55	Nymphon articulare	urn:lsid:marinespecies.org:taxname:173366	52494dad-e8d5-4a0e-9324-369036707ded	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	55	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon articulare	2	1065	1274	1302	1358	379601	379609	1566	134591	173366	173366	Nymphon articulare	[]	25	1284	-0.93	33.84	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	8	observedindividualcount=3;	1966-02-08T12:00:00Z	Child, C. Allan	3.0	ovigerous;;	South Orkney Islands	2	Alcohol (Ethanol)	Hodgson	male; female	Antarctic Ocean	1966	-122947200000.0	-122947200000.0	-122947200000.0	1966.0																			
PreservedSpecimen	18005	NIWA	-66.913667	163.224667	NIWA Invertebrate Collection	85	85	Nymphon articulare	urn:lsid:marinespecies.org:taxname:173366	715ccffe-c68b-41a5-ab55-c00a6985e431	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	85	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon articulare	2	1065	1274	1302	1358	379601	379609	1566	134591	173366	173366	Nymphon articulare	[]	159	2971	-1.66	33.9			Ross Dependency	4		4/03/2004	Nielsen, Johanna				3	Specimen(s), Ethanol - no formalin = 2	Hodgson, 1908			2004					Antarctica	100	NIWA Invertebrate Collection	2005	LINESTRING (163.224667 -66.913667, 163.224667 -66.913667)	WGS84	GPS	en	TAN0402/239	8/04/2022	5f9f1644-fa36-11e2-96b3-aa6f927c92a3	present	NIWA; MFish	Grab,  van Veen	articulare				
HumanObservation	37639	SOMBASE Pycnogonids	-60.5083007812	-47.0415992737	BAS	250	250	Nymphon articulare	urn:lsid:marinespecies.org:taxname:173366	bf71a630-cb84-4c90-9b40-e4b838002f2c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	250	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon articulare	2	1065	1274	1302	1358	379601	379609	1566	134591	173366	173366	Nymphon articulare	[]	242	19844	-0.91	33.78																																							
HumanObservation	Stn 164 Nymphon articulare	Discovery Reports	-60.672	-45.6	NIWA	36	24	Nymphon articulare	urn:lsid:marinespecies.org:taxname:173366	e349fea1-8995-41fc-b9a6-f89781d20325	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	30	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon articulare	2	1065	1274	1302	1358	379601	379609	1566	134591	173366	173366	Nymphon articulare	[]	188	625	-0.96	33.79				18		1927-02-18				Normanna Strait, Coronation Island, South Orkneys	2		Hodgson, 1908		Southern Ocean	1927	-1352851200000.0	-1352851200000.0	-1352851200000.0	1927.0		1000	Discovery Expedition Biological Reports		POINT (-45.6 -60.672)	WGS84		en		2019-03-15	5384	present		Small beam trawl. Beam 2.45m in length, 12.5mm mesh	articulare	60	Stn 164	Small beam trawl. Beam 2.45m in length, 12.5mm mesh	49
