associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80538.273412	Invertebrate Zoology: Crustacea	Russia	24	46.7000007629	151.75	observedindividualcount=1;	1906-06-24T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Kuril Islands, Simushir Island	419.0	419	6	Alcohol (Ethanol)	Phoxichilidium horribilis	Hedgpeth	urn:lsid:marinespecies.org:taxname:240072	male	Holotype	North Pacific Ocean	1906	2beec189-3a0d-44c1-801d-d7574154ac87	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	419	-2004652800000	-2004652800000	-2004652800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium horribilis	2	1065	1274	1302	1358	379601	379610	14469	134594	240072	240072	Phoxichilidium horribilis	[]	649	8167	4.66	32.66								
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Phoxichilidium horribilis</i> Hedgpeth, 1949. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240072	sm_id_2165	WoRMS type localities		24	46.7	151.75		1906-06-24			WoRMS Editorial Board	Okhotsk Sea		419	6		Phoxichilidium horribilis	Hedgpeth, 1949	urn:lsid:marinespecies.org:taxname:240072		holotype		1906	4f0bb8ff-45eb-473d-9717-860ab398c56a	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	419	-2004652800000	-2004652800000	-2004652800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium horribilis	2	1065	1274	1302	1358	379601	379610	14469	134594	240072	240072	Phoxichilidium horribilis	[]	737	8167	4.66	32.66	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2165	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=2165	horribilis	Biota	1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80539.273413	Invertebrate Zoology: Crustacea	Russia	24	46.7000007629	151.75	observedindividualcount=1;	1906-06-24T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Kuril Islands, Simushir Island	419.0	419	6	Alcohol (Ethanol)	Phoxichilidium horribilis	Hedgpeth	urn:lsid:marinespecies.org:taxname:240072	male	Paratype	North Pacific Ocean	1906	baad8298-772e-461a-b16c-759fb8199126	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	419	-2004652800000	-2004652800000	-2004652800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium horribilis	2	1065	1274	1302	1358	379601	379610	14469	134594	240072	240072	Phoxichilidium horribilis	[]	649	8167	4.66	32.66								
