basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	day	dynamicProperties	identifiedBy	individualCount	month	preparations	sex	stateProvince	waterBody	year
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus lagenus</i> Nakamura & Child, 1983. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239424	sm_id_1615	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	34.57	138.87	1969-07-14/1969-07-16	Phoxichilidiidae	Anoplodactylus	WoRMS Editorial Board	Animalia	Pacific Ocean	76	94	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1615	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1615	Anoplodactylus lagenus	Nakamura & Child, 1983	urn:lsid:marinespecies.org:taxname:239424	lagenus	holotype	e46fcfbe-bdc1-442a-96aa-b5063a56952e	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	85	-14774400000	-14688000000	-14601600000	1969	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus lagenus	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	239424	239424	Anoplodactylus lagenus	['MIN_DEPTH_EXCEEDS_MAX']	89	4016	20.57	34.11												
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	183828.139757	Pycnogonida	Invertebrate Zoology: Crustacea		34.5699996948	138.868331909	1969-07-14T12:00:00Z	Phoxichilidiidae	Anoplodactylus	USNM	Animalia	Honshu Island, Sagami Bay	94	76				Pantopoda	Arthropoda		Anoplodactylus lagenus	Nakamura & Child	urn:lsid:marinespecies.org:taxname:239424		Allotype	f9439d1b-41d0-443d-880e-73ce1c969ede	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	85	-14774400000	-14774400000	-14774400000	1969	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus lagenus		2	1065	1274	1302	1358	379601	379610	14469	134592	239424	239424	Anoplodactylus lagenus	[]	89	3966	20.57	34.11	National Museum of Natural History, Smithsonian Institution	Japan	14	observedindividualcount=1;	Nakamura, K., Child, C. Allan	1.0	7	Alcohol (Ethanol)	female	Shizuoka	North Pacific Ocean	1969
