basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	fieldNumber	geodeticDatum	identifiedBy	maximumDepthInMeters	minimumDepthInMeters	organismQuantity	organismQuantityType	recordNumber	recordedBy	scientificNameAuthorship	depth	superdomain	superdomainid	country	eventID	individualCount	occurrenceRemarks	associatedReferences	day	dynamicProperties	month	preparations	stateProvince	typeStatus	waterBody	year
PreservedSpecimen	P.72802	Pycnogonida	co113	0.0896	10000	-22.8535	113.5125	2005-12-09	Pallenopsidae	POINT (113.51250 -22.85350)	Pallenopsis	AM	Animalia	Point Cloates	2017-03-02T12:39:05	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.72802	present	Arthropoda	Pallenopsis temperans	urn:lsid:marinespecies.org:taxname:240279	Male	temperans	species	4d6b37fe-051d-4f68-bb02-ed960ffd6371	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	1134086400000	1134086400000	1134086400000	2005	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis temperans	2	1065	1274	1302	1358	379601	379609	236317	134593	240279	240279	Pallenopsis temperans	['NO_DEPTH']	99	22201	25.13	34.88																											
PreservedSpecimen	MIIC-04854	Pycnogonida	MIIC		200	-22.8487	113.511	2005-12-10 00:00	Pallenopsidae	POINT (113.51100 -22.84870)	Pallenopsis	CSIRO	Animalia		2023-07-11T05:57:20	urn:csiro:MIIC:MIIC-04854	present	Arthropoda	Pallenopsis temperans	urn:lsid:marinespecies.org:taxname:240279			species	573a4db5-7de9-401b-af45-3fd8fa81820d	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	1134172800000	1134172800000	1134172800000	2005	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis temperans	2	1065	1274	1302	1358	379601	379609	236317	134593	240279	240279	Pallenopsis temperans Stock, 1953	[]	100	21956	25.13	34.88	CSIRO Marine Invertebrate Image Collection (MIIC)	SS200510-135	EPSG:4326	Karen Gowlett-Holmes	100.0	100.0	1	individuals	SS200510_135_031	Karen Gowlett-Holmes	Stock, 1953	100.0	Biota	1.0													
HumanObservation		Pycnogonida	CMAR_WA_2005		500	-22.8535	113.5125	2005-12-08T22:14:40Z	Pallenopsidae	LINE (113.5110  -22.8487, 113.5140  -22.8583)	Pallenopsis	CSIRO, Australia	Animalia	Survey area	2022-08-24T00:43:42	CC-SS200510-135-661024-33020015	present	Arthropoda	Pallenopsis temperans	urn:lsid:marinespecies.org:taxname:240279				6b8daf50-d0bf-40b6-b700-76fb6039e012	930000f4-81ef-421b-8884-042abdf8fbc8	['2a57cd59-6799-4579-955e-27c9af97aea4']	1134000000000	1134000000000	1134000000000	2005	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis temperans	2	1065	1274	1302	1358	379601	379609	236317	134593	240279	240279	Pallenopsis temperans	[]	99	22201	25.13	34.88		SS200510:135			100.0	100.0	6	individuals			Stock, 1953	100.0			Australia	SS200510:135	6	Occurrence Type: Catch composition Catch method: Catch									
PreservedSpecimen	93556.280724	Pycnogonida	Invertebrate Zoology: Crustacea			6.15556001663	121.227783203	1909-09-15T12:00:00Z	Pallenopsidae		Pallenopsis	USNM	Animalia	Sulu Archipelago, Jolo Island, Tulayan Island, Off Noble Point				Arthropoda	Pallenopsis temperans	urn:lsid:marinespecies.org:taxname:240279	male			75dfafde-73b4-48f3-a25c-f2dc66ec8c7c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1902787200000	-1902787200000	-1902787200000	1909	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis temperans	2	1065	1274	1302	1358	379601	379609	236317	134593	240279	240279	Pallenopsis temperans	[]	279	8688	28.36	32.17	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010			Stock, Jan H.	283.0	283.0					Stock	283.0			Philippines		1.0		National Museum of Natural History, Smithsonian Institution	15	observedindividualcount=1;	9	Alcohol (Ethanol)	Sulu	Holotype	North Pacific Ocean	1909
PreservedSpecimen	J54987	Pycnogonida	co119		1000	-22.8486	113.511	2005-12-09	Pallenopsidae	POINT (113.51100 -22.84860)	Pallenopsis	NMV	Animalia	off Point Cloates	2017-02-09T13:33:41	J54987	present	Arthropoda	Pallenopsis temperans	urn:lsid:marinespecies.org:taxname:240279	Male	temperans	species	f9fc859f-f404-4436-aed8-d7d6d476ec54	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	1134086400000	1134086400000	1134086400000	2005	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsis temperans	2	1065	1274	1302	1358	379601	379609	236317	134593	240279	240279	Pallenopsis (Pallenopsis) temperans	[]	100	21949	25.13	34.88					100.0	100.0	1	individuals				100.0					1										
