basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	vernacularName	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	organismQuantity	organismQuantityType	scientificNameAuthorship	depth	superdomain	superdomainid	countryCode	fieldNumber	geodeticDatum	individualCount	license	recordedBy	references	waterBody	lifeStage
PreservedSpecimen	P.78468	Pycnogonida	co113	0.0896	10000	New Zealand	-52.533	169.2	1980-01-13	Ammotheidae	POINT (169.20000 -52.53300)	Achelia	AM	Animalia	Campbell Island, Smoothwater Bay, cliffs on north-west side of first bay north-west of Boulder Beach	2017-03-02T13:00:58	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78468	present	Arthropoda	Achelia assimilis	urn:lsid:marinespecies.org:taxname:240271	Male	assimilis	species	Pycnogonid	00f5172e-2c02-4ef5-88aa-88ee5a0734db	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	316569600000.0	316569600000.0	316569600000.0	1980.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia assimilis	2	1065	1274	1302	1358	379601	379608	1562	134568	240271	240271	Achelia assimilis	['NO_DEPTH', 'ON_LAND']	-230.0	-1329	7.91	34.36																	
HumanObservation	242427A7-7A96-41F7-9A99-FF23A395B8D2	Pycnogonida	CReefs - Lizard Island 2009	0.0018	200	Australia	-14.4995	145.5564	2009-02-27	Ammotheidae	POINT (145.55640 -14.49950)	Achelia	AIMS	Animalia		2018-07-13T09:31:54	242427A7-7A96-41F7-9A99-FF23A395B8D2	present	Arthropoda	Achelia assimilis	urn:lsid:marinespecies.org:taxname:240271			species		02715741-6b50-476f-b0f7-e0653db4a3fa	17a7d690-e05d-4054-bb61-77bb3f26ba0a	['2a57cd59-6799-4579-955e-27c9af97aea4']	1235692800000.0	1235692800000.0	1235692800000.0	2009.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia assimilis	2	1065	1274	1302	1358	379601	379608	1562	134568	240271	240271	Achelia assimilis	[]	3.03	19536	26.78	34.88	17.0	17.0	1	individuals	(Haswell, 1885)	17.0	Biota	1.0									
HumanObservation	21694	Pycnogonida	SOMBASE Pycnogonids				-54.5666007996	-65.8332977295		Ammotheidae		Achelia	BAS	Animalia					Arthropoda	Achelia assimilis	urn:lsid:marinespecies.org:taxname:240271					02783ab2-54d0-47f3-a2a9-7f521d116622	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia assimilis	2	1065	1274	1302	1358	379601	379608	1562	134568	240271	240271	Achelia assimilis	['DEPTH_EXCEEDS_BATH']	46.0	7160	6.9	33.97	118.0	118.0				118.0											
HumanObservation	21691	Pycnogonida	SOMBASE Pycnogonids				-54.6665992737	-65.2332992554		Ammotheidae		Achelia	BAS	Animalia					Arthropoda	Achelia assimilis	urn:lsid:marinespecies.org:taxname:240271					050f1b33-b69a-48bd-a208-75e399a8c7ae	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia assimilis	2	1065	1274	1302	1358	379601	379608	1562	134568	240271	240271	Achelia assimilis	['ON_LAND']	-34.0	-927	7.03	33.95	12.0	12.0				12.0											
PreservedSpecimen	P.45155	Pycnogonida	co113	0.8961	100000	Australia	-14.666	145.466	1982-01-09	Ammotheidae	POINT (145.46600 -14.66600)	Achelia	AM	Animalia	Lizard Island, between South and Bird Islands	2017-03-02T15:51:18	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45155	present	Arthropoda	Achelia assimilis	urn:lsid:marinespecies.org:taxname:379231	Female	variabilis	species		06baeb64-93a6-4cc7-9fb6-e19f07b2f6b2	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	379382400000.0	379382400000.0	379382400000.0	1982.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia assimilis	2	1065	1274	1302	1358	379601	379608	1562	134568	240271	240271	Achelia variabilis	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91																	
PreservedSpecimen	P.42798	Pycnogonida	co113	0.0009	100	Australia	-22.64733	150.79199	1993-09-21	Ammotheidae	POINT (150.79199 -22.64733)	Achelia	AM	Animalia	island off southern end of Freshwater Bay	2017-03-02T15:57:41	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42798	present	Arthropoda	Achelia assimilis	urn:lsid:marinespecies.org:taxname:379231	Female	variabilis	species		093c9e11-55ab-42b5-9bbf-5fba71b92c95	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	748569600000.0	748569600000.0	748569600000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia assimilis	2	1065	1274	1302	1358	379601	379608	1562	134568	240271	240271	Achelia variabilis	['NO_DEPTH']	-12.5	44	24.1	35.44																	
PreservedSpecimen	P.43124	Pycnogonida	co113		10000	Australia	-27.42016	153.55466	1993-06-03	Ammotheidae	POINT (153.55466 -27.42016)	Achelia	AM	Animalia	North Stradbroke Island, Boat Rock	2017-03-02T16:19:14	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43124	present	Arthropoda	Achelia assimilis	urn:lsid:marinespecies.org:taxname:240271	Female	assimilis	species	Pycnogonid	09ed6408-87f2-4711-8bbc-d908ec568f06	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	739065600000.0	739065600000.0	739065600000.0	1993.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia assimilis	2	1065	1274	1302	1358	379601	379608	1562	134568	240271	240271	Achelia assimilis	['NO_DEPTH']	34.41	1250	23.53	35.4																	
PreservedSpecimen	P.71956	Pycnogonida	co113	0.8961	100000	Australia	-14.666	145.466	1982-01-13	Ammotheidae	POINT (145.46600 -14.66600)	Achelia	AM	Animalia	reef off North Point, Lizard Island	2017-03-02T12:36:51	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.71956	present	Arthropoda	Achelia assimilis	urn:lsid:marinespecies.org:taxname:240271	Female	assimilis	species	Pycnogonid	0a6418cb-5a74-406c-b720-bf2e9177c908	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	379728000000.0	379728000000.0	379728000000.0	1982.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia assimilis	2	1065	1274	1302	1358	379601	379608	1562	134568	240271	240271	Achelia assimilis	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91																	
PreservedSpecimen	2008-20590	Pycnogonida	IU				-23.346666	168.080002		Ammotheidae	POINT  (168.080002 -23.346666)	Achelia	MNHN	Animalia	Banc Antigonia	2015-08-25T14:39Z	462403009		Arthropoda	Achelia assimilis	urn:lsid:marinespecies.org:taxname:240271		assimilis	SPECIES		0c47b350-f6c5-493d-9186-74c42c92b924	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia assimilis	2	1065	1274	1302	1358	379601	379608	1562	134568	240271	240271	Achelia assimilis (Haswell, W.A., 1885)	['NO_DEPTH']	164.0	83272	24.54	35.28					(Haswell, 1885)				NC	SMIB 4/DW55	WGS84	1	CC_BY_4_0	B. Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20590	Pacific Ocean	
PreservedSpecimen	J48954	Pycnogonida	co119		1000		-37.01	150.345	1986-07-21	Ammotheidae	POINT (150.34500 -37.01000)	Achelia	NMV	Animalia	Off Eden	2017-02-10T11:36:44	J48954	present	Arthropoda	Achelia assimilis	urn:lsid:marinespecies.org:taxname:240271	Unknown	assimilis	species	Pycnogonid	0c5b1ac0-803c-409f-9b5a-7772e3056846	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	522288000000.0	522288000000.0	522288000000.0	1986.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Achelia assimilis	2	1065	1274	1302	1358	379601	379608	1562	134568	240271	240271	Achelia assimilis	['NO_DEPTH']	378.0	33421	18.78	35.59			1	individuals								1					Juvenile
