associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	typeStatus	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228136.180355	Invertebrate Zoology: Crustacea	South Africa	22	-27.9916706085	32.6800003052	observedindividualcount=1;	1976-05-22T12:00:00Z	Child, C. Allan	1.0	USNM	Zululand Area	550.0	550	5	Alcohol (Ethanol)	Nymphon modestum	Stock	urn:lsid:marinespecies.org:taxname:239994	male	Indian Ocean	1976	089a7085-f1bc-46f5-a396-b51e4892561b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	550	201571200000	201571200000	201571200000	1976	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon modestum	2	1065	1274	1302	1358	379601	379609	1566	134591	239994	239994	Nymphon modestum	[]	502	9276	24.66	35.22									
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon modestum</i> Stock, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239994	sm_id_1108	WoRMS type localities		22	-32.07	18.3		1957-01-22			WoRMS Editorial Board	Atlantic Ocean		23	1		Nymphon modestum	Stock, 1959	urn:lsid:marinespecies.org:taxname:239994			1957	a63d5251-a9cc-43b4-8c68-519db8a2bd12	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	23	-408412800000	-408412800000	-408412800000	1957	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon modestum	2	1065	1274	1302	1358	379601	379609	1566	134591	239994	239994	Nymphon modestum	[]	5	1251	14.87	35.05	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1108	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1108	modestum	holotype	Biota	1.0
