associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234650.186391	Invertebrate Zoology: Crustacea	United States	18	51.4975013733	178.660003662	observedindividualcount=1;	1986-08-18T12:00:00Z	Bowman, Thomas E.	1.0	USNM	juvenile	Aleutian Islands, Rat Islands, Amchitka Island, W Of Island	154	154	8	Alcohol (Ethanol)	Eurycyde muricata	Child	urn:lsid:marinespecies.org:taxname:240361	Alaska	Paratype	North Pacific Ocean	1986	84efb64c-75f7-455e-a75d-246a18a82ecc	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	154	524707200000	524707200000	524707200000	1986	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde muricata	2	1065	1274	1302	1358	379601	379608	379788	134573	240361	240361	Eurycyde muricata	[]	153	10779	5.26	32.71	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234649.186390	Invertebrate Zoology: Crustacea	United States	20	51.7744407654	177.378326416	observedindividualcount=1;	1986-08-20T12:00:00Z	Bowman, Thomas E.	1.0	USNM		Aleutian Islands, Rat Islands, Kiska Island	137	137	8	Alcohol (Ethanol)	Eurycyde muricata	Child	urn:lsid:marinespecies.org:taxname:240361	Alaska	Holotype	North Pacific Ocean	1986	a45f8be6-07c0-484a-a842-c6f68a457168	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	137	524880000000	524880000000	524880000000	1986	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Eurycyde	Eurycyde muricata	2	1065	1274	1302	1358	379601	379608	379788	134573	240361	240361	Eurycyde muricata	[]	165	4551	5.33	32.79	female
