basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	genus	geodeticDatum	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	datasetName	footprintWKT	individualCount	locality	modified	occurrenceRemarks	startDayOfYear	waterBody
PreservedSpecimen	JR230_09_0657_4	Pycnogonida	1000	AQ	7	-66.258	-70.654	2009-12-07	JR230	Nymphonidae	JR230_BASWAP4-AGT-12c	Nymphon	EPSG:4326	Claudia Arango	https://orcid.org/0000-0003-1098-830X	BAS	https://ror.org/01rhff309	Animalia	en	509.61	509.61	12	JR230_09_0657_4	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	Nymphon hiemale	Hodgson, 1907	urn:lsid:marinespecies.org:taxname:173428	hiemale	species	PhysicalObject	7/12/2009	2009	0516f674-27c6-47ec-a36a-ca8e884f505b	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	509.61	1260144000000.0	1260144000000.0	1260144000000.0	2009.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hiemale	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173428	173428	Nymphon hiemale	[]	492	118316	-0.76	33.46									
HumanObservation	34425	Pycnogonida				-77.2165985107	164.300003052			Nymphonidae		Nymphon				BAS		Animalia		378.0	378.0				Pantopoda			Arthropoda			Nymphon hiemale		urn:lsid:marinespecies.org:taxname:173428						05f7e7ca-65f5-47c5-a9a1-f4a54e3155e1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	378.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hiemale		2	1065	1274	1302	1358	379601	379609	1566	134591	173428	173428	Nymphon hiemale	[]	357	19023	-1.64	34.28	SOMBASE Pycnogonids								
HumanObservation	Stn 27 Nymphon hiemale	Pycnogonida	1000		15	-54.2233	-36.4268	1926-03-15	12	Nymphonidae	Stn 27	Nymphon	WGS84			NIWA		Animalia	en	110.0	110.0	3	5322	present	Pantopoda			Arthropoda		Large dredge, light pattern 1.2m in length	Nymphon hiemale	Hodgson, 1907	urn:lsid:marinespecies.org:taxname:173428	hiemale				1926	0763cfe1-03b1-4fad-82ac-57fe7df422d7	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	110.0	-1382227200000.0	-1382227200000.0	-1382227200000.0	1926.0	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hiemale		2	1065	1274	1302	1358	379601	379609	1566	134591	173428	173428	Nymphon hiemale	[]	213	3012	1.82	33.77	Discovery Reports	Discovery Expedition Biological Reports	POINT (-36.4268 -54.2233)	4	West Cumberland Bay, 3.3 miles S 44° E of Jason Light, South Georgia	2019-03-15	Large dredge, light pattern 1.2m in length	74	Atlantic Ocean
HumanObservation	34567	Pycnogonida				-61.4249992371	-53.7667007446			Nymphonidae		Nymphon				BAS		Animalia		342.0	342.0				Pantopoda			Arthropoda			Nymphon hiemale		urn:lsid:marinespecies.org:taxname:173428						0a2bcff9-230b-4aab-96da-3b6c20b829f4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	342.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hiemale		2	1065	1274	1302	1358	379601	379609	1566	134591	173428	173428	Nymphon hiemale	[]	676	20860	-0.87	34.03	SOMBASE Pycnogonids								
HumanObservation	23051	Pycnogonida				-53.6333007812	-38.0299987793			Nymphonidae		Nymphon				BAS		Animalia		132.0	132.0				Pantopoda			Arthropoda			Nymphon hiemale		urn:lsid:marinespecies.org:taxname:173428						10fe6765-b35f-481f-924b-aeba174ee4d3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	132.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hiemale		2	1065	1274	1302	1358	379601	379609	1566	134591	173428	173428	Nymphon hiemale	[]	147	40547	1.76	33.76	SOMBASE Pycnogonids								
PreservedSpecimen	JR17003a_0141-4	Pycnogonida	226	AQ	5	-64.0558	-58.4768	2018-03-05	JR17003a	Nymphonidae	JR17003a_038	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	868.0	736.0	3	JR17003a_0141-4	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	Nymphon hiemale	Hodgson, 1907	urn:lsid:marinespecies.org:taxname:173428	hiemale	species	PhysicalObject	5/3/2018	2018	118d1138-983c-401a-9c49-41a426dab562	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	802.0	1520208000000.0	1520208000000.0	1520208000000.0	2018.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hiemale	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173428	173428	Nymphon hiemale	[]	848	1797	-1.52	32.67			LINESTRING (-58.47601 -64.05378, -58.47756 -64.05778)						
HumanObservation	39546	Pycnogonida				-71.1820983887	-109.926300049			Nymphonidae		Nymphon				BAS		Animalia		986.0	975.0				Pantopoda			Arthropoda			Nymphon hiemale		urn:lsid:marinespecies.org:taxname:173428						12da020f-a528-4d10-aaf8-12fef7232c92	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	980.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hiemale		2	1065	1274	1302	1358	379601	379609	1566	134591	173428	173428	Nymphon hiemale	[]	1011	257443	-1.69	33.45	SOMBASE Pycnogonids								
HumanObservation	23039	Pycnogonida				-66.6666030884	162.800003052			Nymphonidae		Nymphon				BAS		Animalia		157.0	152.0				Pantopoda			Arthropoda			Nymphon hiemale		urn:lsid:marinespecies.org:taxname:173428						12e2c4c9-6b41-429e-b055-ba26b062ad5c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	154.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hiemale		2	1065	1274	1302	1358	379601	379609	1566	134591	173428	173428	Nymphon hiemale	[]	304	9727	-1.64	33.89	SOMBASE Pycnogonids								
HumanObservation	38538	Pycnogonida				-66.5514984131	93.0080032349			Nymphonidae		Nymphon				BAS		Animalia		45.0	45.0				Pantopoda			Arthropoda			Nymphon hiemale		urn:lsid:marinespecies.org:taxname:173428						12f8c3a3-8f21-460a-9a65-22330bd2da4f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	45.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hiemale		2	1065	1274	1302	1358	379601	379609	1566	134591	173428	173428	Nymphon hiemale	[]	293	154	-1.56	33.71	SOMBASE Pycnogonids								
HumanObservation	23018	Pycnogonida				-77.8666000366	166.718307495			Nymphonidae		Nymphon				BAS		Animalia		290.0	278.0				Pantopoda			Arthropoda			Nymphon hiemale		urn:lsid:marinespecies.org:taxname:173428						13b4d970-d200-4a6f-8266-28ff4877e7a3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	284.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hiemale		2	1065	1274	1302	1358	379601	379609	1566	134591	173428	173428	Nymphon hiemale	['DEPTH_EXCEEDS_BATH']	25	997	-1.7	34.3	SOMBASE Pycnogonids								
